"reg_code","Region","lt_code","Land_Type","own_code","Ownership","cnty_code","County","area_ac"
"1","Central_Coast","0","Water","1","BLM","10","Fresno",220.170896105926
"1","Central_Coast","0","Water","1","BLM","27","Monterey",1.1119742227572
"1","Central_Coast","0","Water","1","BLM","35","San Benito",7.56142471474896
"1","Central_Coast","0","Water","1","BLM","40","San Luis Obispo",1033.69123747509
"1","Central_Coast","0","Water","1","BLM","42","Santa Barbara",2.00155360096296
"1","Central_Coast","0","Water","2","DoD","1","Alameda",7.11663502564608
"1","Central_Coast","0","Water","2","DoD","7","Contra Costa",2.44634329006584
"1","Central_Coast","0","Water","2","DoD","27","Monterey",413.432016021127
"1","Central_Coast","0","Water","2","DoD","35","San Benito",171.021635460057
"1","Central_Coast","0","Water","2","DoD","40","San Luis Obispo",410.76327788651
"1","Central_Coast","0","Water","2","DoD","48","Solano",3.11352782372016
"1","Central_Coast","0","Water","3","Easement","1","Alameda",381.40715840572
"1","Central_Coast","0","Water","3","Easement","7","Contra Costa",0.22239484455144
"1","Central_Coast","0","Water","3","Easement","10","Fresno",0.22239484455144
"1","Central_Coast","0","Water","3","Easement","24","Merced",11.3421370721234
"1","Central_Coast","0","Water","3","Easement","27","Monterey",151.006099450428
"1","Central_Coast","0","Water","3","Easement","35","San Benito",1.55676391186008
"1","Central_Coast","0","Water","3","Easement","40","San Luis Obispo",171.911214838263
"1","Central_Coast","0","Water","3","Easement","41","San Mateo",126.765061394321
"1","Central_Coast","0","Water","3","Easement","42","Santa Barbara",0.88957937820576
"1","Central_Coast","0","Water","3","Easement","43","Santa Clara",8.8957937820576
"1","Central_Coast","0","Water","3","Easement","44","Santa Cruz",31.5800679263045
"1","Central_Coast","0","Water","3","Easement","48","Solano",6.44945049199176
"1","Central_Coast","0","Water","3","Easement","50","Stanislaus",0.44478968910288
"1","Central_Coast","0","Water","4","Local_gov","1","Alameda",3113.30542887561
"1","Central_Coast","0","Water","4","Local_gov","7","Contra Costa",3104.40963509355
"1","Central_Coast","0","Water","4","Local_gov","27","Monterey",4874.22780803391
"1","Central_Coast","0","Water","4","Local_gov","28","Napa",31.8024627708559
"1","Central_Coast","0","Water","4","Local_gov","38","San Francisco",278.438345378403
"1","Central_Coast","0","Water","4","Local_gov","40","San Luis Obispo",925.607343023093
"1","Central_Coast","0","Water","4","Local_gov","41","San Mateo",1875.67811894684
"1","Central_Coast","0","Water","4","Local_gov","42","Santa Barbara",5.559871113786
"1","Central_Coast","0","Water","4","Local_gov","43","Santa Clara",3711.76995556353
"1","Central_Coast","0","Water","4","Local_gov","44","Santa Cruz",257.755624835119
"1","Central_Coast","0","Water","4","Local_gov","48","Solano",194.817883827061
"1","Central_Coast","0","Water","5","NPS","35","San Benito",4.89268658013168
"1","Central_Coast","0","Water","5","NPS","38","San Francisco",52.2627884695884
"1","Central_Coast","0","Water","6","Other_fed","1","Alameda",8231.94517107155
"1","Central_Coast","0","Water","6","Other_fed","7","Contra Costa",40.4758617083621
"1","Central_Coast","0","Water","6","Other_fed","24","Merced",10559.0848244578
"1","Central_Coast","0","Water","6","Other_fed","27","Monterey",100.077680048148
"1","Central_Coast","0","Water","6","Other_fed","40","San Luis Obispo",16.2348236522551
"1","Central_Coast","0","Water","6","Other_fed","41","San Mateo",1911.48368891963
"1","Central_Coast","0","Water","6","Other_fed","42","Santa Barbara",0.88957937820576
"1","Central_Coast","0","Water","6","Other_fed","43","Santa Clara",5970.63439167251
"1","Central_Coast","0","Water","6","Other_fed","44","Santa Cruz",1.1119742227572
"1","Central_Coast","0","Water","6","Other_fed","48","Solano",9.11818862660904
"1","Central_Coast","0","Water","7","Private","1","Alameda",6678.29478703519
"1","Central_Coast","0","Water","7","Private","7","Contra Costa",2791.94487849878
"1","Central_Coast","0","Water","7","Private","10","Fresno",63.160135852609
"1","Central_Coast","0","Water","7","Private","15","Kern",112.087001653926
"1","Central_Coast","0","Water","7","Private","16","Kings",442.788135501917
"1","Central_Coast","0","Water","7","Private","24","Merced",70.276770878255
"1","Central_Coast","0","Water","7","Private","27","Monterey",2142.55193240857
"1","Central_Coast","0","Water","7","Private","28","Napa",169.687266392749
