"reg_code","Region","lt_code","Land_Type","own_code","Ownership","cnty_code","County","area_ha"
"1","Central_Coast","0","Water","1","BLM","10","Fresno",89.1
"1","Central_Coast","0","Water","1","BLM","27","Monterey",0.45
"1","Central_Coast","0","Water","1","BLM","35","San Benito",3.06
"1","Central_Coast","0","Water","1","BLM","40","San Luis Obispo",418.32
"1","Central_Coast","0","Water","1","BLM","42","Santa Barbara",0.81
"1","Central_Coast","0","Water","2","DoD","1","Alameda",2.88
"1","Central_Coast","0","Water","2","DoD","7","Contra Costa",0.99
"1","Central_Coast","0","Water","2","DoD","27","Monterey",167.31
"1","Central_Coast","0","Water","2","DoD","35","San Benito",69.21
"1","Central_Coast","0","Water","2","DoD","40","San Luis Obispo",166.23
"1","Central_Coast","0","Water","2","DoD","48","Solano",1.26
"1","Central_Coast","0","Water","3","Easement","1","Alameda",154.35
"1","Central_Coast","0","Water","3","Easement","7","Contra Costa",0.09
"1","Central_Coast","0","Water","3","Easement","10","Fresno",0.09
"1","Central_Coast","0","Water","3","Easement","24","Merced",4.59
"1","Central_Coast","0","Water","3","Easement","27","Monterey",61.11
"1","Central_Coast","0","Water","3","Easement","35","San Benito",0.63
"1","Central_Coast","0","Water","3","Easement","40","San Luis Obispo",69.57
"1","Central_Coast","0","Water","3","Easement","41","San Mateo",51.3
"1","Central_Coast","0","Water","3","Easement","42","Santa Barbara",0.36
"1","Central_Coast","0","Water","3","Easement","43","Santa Clara",3.6
"1","Central_Coast","0","Water","3","Easement","44","Santa Cruz",12.78
"1","Central_Coast","0","Water","3","Easement","48","Solano",2.61
"1","Central_Coast","0","Water","3","Easement","50","Stanislaus",0.18
"1","Central_Coast","0","Water","4","Local_gov","1","Alameda",1259.91
"1","Central_Coast","0","Water","4","Local_gov","7","Contra Costa",1256.31
"1","Central_Coast","0","Water","4","Local_gov","27","Monterey",1972.53
"1","Central_Coast","0","Water","4","Local_gov","28","Napa",12.87
"1","Central_Coast","0","Water","4","Local_gov","38","San Francisco",112.68
"1","Central_Coast","0","Water","4","Local_gov","40","San Luis Obispo",374.58
"1","Central_Coast","0","Water","4","Local_gov","41","San Mateo",759.06
"1","Central_Coast","0","Water","4","Local_gov","42","Santa Barbara",2.25
"1","Central_Coast","0","Water","4","Local_gov","43","Santa Clara",1502.1
"1","Central_Coast","0","Water","4","Local_gov","44","Santa Cruz",104.31
"1","Central_Coast","0","Water","4","Local_gov","48","Solano",78.84
"1","Central_Coast","0","Water","5","NPS","35","San Benito",1.98
"1","Central_Coast","0","Water","5","NPS","38","San Francisco",21.15
"1","Central_Coast","0","Water","6","Other_fed","1","Alameda",3331.35
"1","Central_Coast","0","Water","6","Other_fed","7","Contra Costa",16.38
"1","Central_Coast","0","Water","6","Other_fed","24","Merced",4273.11
"1","Central_Coast","0","Water","6","Other_fed","27","Monterey",40.5
"1","Central_Coast","0","Water","6","Other_fed","40","San Luis Obispo",6.57
"1","Central_Coast","0","Water","6","Other_fed","41","San Mateo",773.55
"1","Central_Coast","0","Water","6","Other_fed","42","Santa Barbara",0.36
"1","Central_Coast","0","Water","6","Other_fed","43","Santa Clara",2416.23
"1","Central_Coast","0","Water","6","Other_fed","44","Santa Cruz",0.45
"1","Central_Coast","0","Water","6","Other_fed","48","Solano",3.69
"1","Central_Coast","0","Water","7","Private","1","Alameda",2702.61
"1","Central_Coast","0","Water","7","Private","7","Contra Costa",1129.86
"1","Central_Coast","0","Water","7","Private","10","Fresno",25.56
"1","Central_Coast","0","Water","7","Private","15","Kern",45.36
"1","Central_Coast","0","Water","7","Private","16","Kings",179.19
"1","Central_Coast","0","Water","7","Private","24","Merced",28.44
"1","Central_Coast","0","Water","7","Private","27","Monterey",867.06
"1","Central_Coast","0","Water","7","Private","28","Napa",68.67
"1","Central_Coast","0","Water","7","Private","35","San Benito",307.53
"1","Central_Coast","0","Water","7","Private","38","San Francisco",384.84
"1","Central_Coast","0","Water","7","Private","39","San Joaquin",0.27
"1","Central_Coast","0","Water","7","Private","40","San Luis Obispo",2601.81
"1","Central_Coast","0","Water","7","Private","41","San Mateo",1640.52
"1","Central_Coast","0","Water","7","Private","42","Santa Barbara",78.75
"1","Central_Coast","0","Water","7","Private","43","Santa Clara",1179.36
"1","Central_Coast","0","Water","7","Private","44","Santa Cruz",122.58
"1","Central_Coast","0","Water","7","Private","48","Solano",1751.13
"1","Central_Coast","0","Water","7","Private","50","Stanislaus",10.53
"1","Central_Coast","0","Water","8","State_gov","1","Alameda",2356.02
"1","Central_Coast","0","Water","8","State_gov","7","Contra Costa",27.99
"1","Central_Coast","0","Water","8","State_gov","10","Fresno",0.18
"1","Central_Coast","0","Water","8","State_gov","24","Merced",0.18
"1","Central_Coast","0","Water","8","State_gov","27","Monterey",469.8
"1","Central_Coast","0","Water","8","State_gov","28","Napa",4.32
"1","Central_Coast","0","Water","8","State_gov","35","San Benito",0.45
"1","Central_Coast","0","Water","8","State_gov","38","San Francisco",11.25
"1","Central_Coast","0","Water","8","State_gov","40","San Luis Obispo",271.44
"1","Central_Coast","0","Water","8","State_gov","41","San Mateo",428.67
"1","Central_Coast","0","Water","8","State_gov","43","Santa Clara",12.33
"1","Central_Coast","0","Water","8","State_gov","44","Santa Cruz",24.48
"1","Central_Coast","0","Water","8","State_gov","48","Solano",22.68
"1","Central_Coast","0","Water","8","State_gov","50","Stanislaus",0.45
"1","Central_Coast","0","Water","9","USFS_nonwild","27","Monterey",5.76
"1","Central_Coast","0","Water","9","USFS_nonwild","40","San Luis Obispo",0.45
"1","Central_Coast","0","Water","9","USFS_nonwild","42","Santa Barbara",0.18
"1","Central_Coast","20","Barren","1","BLM","7","Contra Costa",0.81
"1","Central_Coast","20","Barren","1","BLM","10","Fresno",2869.2
"1","Central_Coast","20","Barren","1","BLM","15","Kern",3500.91
"1","Central_Coast","20","Barren","1","BLM","16","Kings",58.05
"1","Central_Coast","20","Barren","1","BLM","24","Merced",10.71
"1","Central_Coast","20","Barren","1","BLM","27","Monterey",106.38
"1","Central_Coast","20","Barren","1","BLM","35","San Benito",1497.33
"1","Central_Coast","20","Barren","1","BLM","40","San Luis Obispo",14411.34
"1","Central_Coast","20","Barren","1","BLM","42","Santa Barbara",467.19
"1","Central_Coast","20","Barren","1","BLM","43","Santa Clara",0.18
"1","Central_Coast","20","Barren","1","BLM","50","Stanislaus",0.45
"1","Central_Coast","20","Barren","2","DoD","7","Contra Costa",2.07
"1","Central_Coast","20","Barren","2","DoD","27","Monterey",264.42
"1","Central_Coast","20","Barren","2","DoD","35","San Benito",4.41
"1","Central_Coast","20","Barren","2","DoD","39","San Joaquin",5.58
"1","Central_Coast","20","Barren","2","DoD","40","San Luis Obispo",80.1
"1","Central_Coast","20","Barren","2","DoD","48","Solano",5.76
"1","Central_Coast","20","Barren","3","Easement","1","Alameda",7.02
"1","Central_Coast","20","Barren","3","Easement","10","Fresno",0.81
"1","Central_Coast","20","Barren","3","Easement","27","Monterey",105.84
"1","Central_Coast","20","Barren","3","Easement","40","San Luis Obispo",178.92
"1","Central_Coast","20","Barren","3","Easement","41","San Mateo",1.26
"1","Central_Coast","20","Barren","3","Easement","42","Santa Barbara",3.69
"1","Central_Coast","20","Barren","3","Easement","44","Santa Cruz",101.52
"1","Central_Coast","20","Barren","3","Easement","48","Solano",2.52
"1","Central_Coast","20","Barren","3","Easement","50","Stanislaus",2.07
"1","Central_Coast","20","Barren","4","Local_gov","1","Alameda",122.13
"1","Central_Coast","20","Barren","4","Local_gov","7","Contra Costa",35.73
"1","Central_Coast","20","Barren","4","Local_gov","27","Monterey",49.23
"1","Central_Coast","20","Barren","4","Local_gov","28","Napa",1.53
"1","Central_Coast","20","Barren","4","Local_gov","38","San Francisco",1.44
"1","Central_Coast","20","Barren","4","Local_gov","40","San Luis Obispo",15.12
"1","Central_Coast","20","Barren","4","Local_gov","41","San Mateo",21.69
"1","Central_Coast","20","Barren","4","Local_gov","42","Santa Barbara",235.62
"1","Central_Coast","20","Barren","4","Local_gov","43","Santa Clara",21.15
"1","Central_Coast","20","Barren","4","Local_gov","44","Santa Cruz",16.92
"1","Central_Coast","20","Barren","4","Local_gov","48","Solano",8.1
"1","Central_Coast","20","Barren","5","NPS","27","Monterey",31.41
"1","Central_Coast","20","Barren","5","NPS","35","San Benito",58.32
"1","Central_Coast","20","Barren","5","NPS","38","San Francisco",28.62
"1","Central_Coast","20","Barren","5","NPS","41","San Mateo",2.25
"1","Central_Coast","20","Barren","6","Other_fed","1","Alameda",52.56
"1","Central_Coast","20","Barren","6","Other_fed","10","Fresno",3.6
"1","Central_Coast","20","Barren","6","Other_fed","15","Kern",541.89
"1","Central_Coast","20","Barren","6","Other_fed","24","Merced",156.87
"1","Central_Coast","20","Barren","6","Other_fed","27","Monterey",63.99
"1","Central_Coast","20","Barren","6","Other_fed","35","San Benito",17.91
"1","Central_Coast","20","Barren","6","Other_fed","40","San Luis Obispo",302.04
"1","Central_Coast","20","Barren","6","Other_fed","41","San Mateo",6.39
"1","Central_Coast","20","Barren","6","Other_fed","42","Santa Barbara",79.47
"1","Central_Coast","20","Barren","6","Other_fed","43","Santa Clara",7.29
"1","Central_Coast","20","Barren","6","Other_fed","48","Solano",0.09
"1","Central_Coast","20","Barren","7","Private","1","Alameda",166.86
"1","Central_Coast","20","Barren","7","Private","7","Contra Costa",391.68
"1","Central_Coast","20","Barren","7","Private","10","Fresno",4050.09
"1","Central_Coast","20","Barren","7","Private","15","Kern",11061.27
"1","Central_Coast","20","Barren","7","Private","16","Kings",2727
"1","Central_Coast","20","Barren","7","Private","24","Merced",146.61
"1","Central_Coast","20","Barren","7","Private","27","Monterey",12495.78
"1","Central_Coast","20","Barren","7","Private","28","Napa",5.4
"1","Central_Coast","20","Barren","7","Private","35","San Benito",2444.22
"1","Central_Coast","20","Barren","7","Private","38","San Francisco",18.72
"1","Central_Coast","20","Barren","7","Private","39","San Joaquin",2.88
"1","Central_Coast","20","Barren","7","Private","40","San Luis Obispo",22164.84
"1","Central_Coast","20","Barren","7","Private","41","San Mateo",130.95
"1","Central_Coast","20","Barren","7","Private","42","Santa Barbara",2553.48
"1","Central_Coast","20","Barren","7","Private","43","Santa Clara",592.29
"1","Central_Coast","20","Barren","7","Private","44","Santa Cruz",428.76
"1","Central_Coast","20","Barren","7","Private","48","Solano",371.88
"1","Central_Coast","20","Barren","7","Private","50","Stanislaus",13.23
"1","Central_Coast","20","Barren","7","Private","56","Ventura",0.18
"1","Central_Coast","20","Barren","8","State_gov","1","Alameda",13.86
"1","Central_Coast","20","Barren","8","State_gov","10","Fresno",73.35
"1","Central_Coast","20","Barren","8","State_gov","15","Kern",28.98
"1","Central_Coast","20","Barren","8","State_gov","24","Merced",7.92
"1","Central_Coast","20","Barren","8","State_gov","27","Monterey",35.19
"1","Central_Coast","20","Barren","8","State_gov","28","Napa",0.81
"1","Central_Coast","20","Barren","8","State_gov","35","San Benito",5.58
"1","Central_Coast","20","Barren","8","State_gov","39","San Joaquin",4.59
"1","Central_Coast","20","Barren","8","State_gov","40","San Luis Obispo",2226.96
"1","Central_Coast","20","Barren","8","State_gov","41","San Mateo",54.72
"1","Central_Coast","20","Barren","8","State_gov","42","Santa Barbara",8.64
"1","Central_Coast","20","Barren","8","State_gov","44","Santa Cruz",29.34
"1","Central_Coast","20","Barren","9","USFS_nonwild","27","Monterey",93.6
"1","Central_Coast","20","Barren","9","USFS_nonwild","40","San Luis Obispo",70.02
"1","Central_Coast","20","Barren","9","USFS_nonwild","42","Santa Barbara",448.74
"1","Central_Coast","20","Barren","9","USFS_nonwild","56","Ventura",127.53
"1","Central_Coast","30","Sparse","1","BLM","10","Fresno",547.65
"1","Central_Coast","30","Sparse","1","BLM","15","Kern",87.21
"1","Central_Coast","30","Sparse","1","BLM","16","Kings",42.12
"1","Central_Coast","30","Sparse","1","BLM","24","Merced",9.54
"1","Central_Coast","30","Sparse","1","BLM","27","Monterey",52.02
