Land_Cat_ID,Region_ID,Region,Land_Type_ID,Land_Type,Ownership_ID,Ownership,Area_sqm
100001,1,Central_Coast,0,Water,1,BLM,5117400
100002,1,Central_Coast,0,Water,2,DoD,4078800
100003,1,Central_Coast,0,Water,3,Easement,3612600
100004,1,Central_Coast,0,Water,4,Local_gov,74354400
100005,1,Central_Coast,0,Water,5,NPS,231300
100006,1,Central_Coast,0,Water,6,Other_fed,108621900
100007,1,Central_Coast,0,Water,7,Private,131240700
100008,1,Central_Coast,0,Water,8,State_gov,36302400
100009,1,Central_Coast,0,Water,9,USFS_nonwild,63900
102001,1,Central_Coast,20,Barren,1,BLM,229225500
102002,1,Central_Coast,20,Barren,2,DoD,3623400
102003,1,Central_Coast,20,Barren,3,Easement,4036500
102004,1,Central_Coast,20,Barren,4,Local_gov,5286600
102005,1,Central_Coast,20,Barren,5,NPS,1206000
102006,1,Central_Coast,20,Barren,6,Other_fed,12321000
102007,1,Central_Coast,20,Barren,7,Private,597661200
102008,1,Central_Coast,20,Barren,8,State_gov,24899400
102009,1,Central_Coast,20,Barren,9,USFS_nonwild,7398900
103001,1,Central_Coast,30,Sparse,1,BLM,24713100
103002,1,Central_Coast,30,Sparse,2,DoD,1291500
103003,1,Central_Coast,30,Sparse,3,Easement,2763000
103004,1,Central_Coast,30,Sparse,4,Local_gov,2399400
103005,1,Central_Coast,30,Sparse,5,NPS,942300
103006,1,Central_Coast,30,Sparse,6,Other_fed,6971400
103007,1,Central_Coast,30,Sparse,7,Private,87059700
103008,1,Central_Coast,30,Sparse,8,State_gov,3429900
103009,1,Central_Coast,30,Sparse,9,USFS_nonwild,4523400
104001,1,Central_Coast,40,Desert,1,BLM,241234200
104002,1,Central_Coast,40,Desert,2,DoD,55479600
104003,1,Central_Coast,40,Desert,3,Easement,113175900
104004,1,Central_Coast,40,Desert,4,Local_gov,84240000
104005,1,Central_Coast,40,Desert,5,NPS,19104300
104006,1,Central_Coast,40,Desert,6,Other_fed,22851000
104007,1,Central_Coast,40,Desert,7,Private,2427725700
104008,1,Central_Coast,40,Desert,8,State_gov,108456300
104009,1,Central_Coast,40,Desert,9,USFS_nonwild,33706800
105001,1,Central_Coast,50,Shrubland,1,BLM,635249700
105002,1,Central_Coast,50,Shrubland,2,DoD,142607700
105003,1,Central_Coast,50,Shrubland,3,Easement,219459600
105004,1,Central_Coast,50,Shrubland,4,Local_gov,184958100
105005,1,Central_Coast,50,Shrubland,5,NPS,64592100
105006,1,Central_Coast,50,Shrubland,6,Other_fed,238884300
105007,1,Central_Coast,50,Shrubland,7,Private,3213953100
105008,1,Central_Coast,50,Shrubland,8,State_gov,165654000
105009,1,Central_Coast,50,Shrubland,9,USFS_nonwild,422710200
106001,1,Central_Coast,60,Grassland,1,BLM,658476900
106002,1,Central_Coast,60,Grassland,2,DoD,386235000
106003,1,Central_Coast,60,Grassland,3,Easement,452044800
106004,1,Central_Coast,60,Grassland,4,Local_gov,396749700
106005,1,Central_Coast,60,Grassland,5,NPS,13246200
106006,1,Central_Coast,60,Grassland,6,Other_fed,740150100
106007,1,Central_Coast,60,Grassland,7,Private,8645519700
106008,1,Central_Coast,60,Grassland,8,State_gov,355120200
106009,1,Central_Coast,60,Grassland,9,USFS_nonwild,257341500
107001,1,Central_Coast,70,Savanna,1,BLM,263367900
107002,1,Central_Coast,70,Savanna,2,DoD,82466100
107003,1,Central_Coast,70,Savanna,3,Easement,157140900
107004,1,Central_Coast,70,Savanna,4,Local_gov,103770900
107005,1,Central_Coast,70,Savanna,5,NPS,23642100
107006,1,Central_Coast,70,Savanna,6,Other_fed,134055900
107007,1,Central_Coast,70,Savanna,7,Private,2542842900
107008,1,Central_Coast,70,Savanna,8,State_gov,128696400
107009,1,Central_Coast,70,Savanna,9,USFS_nonwild,251906400
108001,1,Central_Coast,80,Woodland,1,BLM,117000900
108002,1,Central_Coast,80,Woodland,2,DoD,181039500
108003,1,Central_Coast,80,Woodland,3,Easement,370946700
108004,1,Central_Coast,80,Woodland,4,Local_gov,499219200
108005,1,Central_Coast,80,Woodland,5,NPS,12474000
108006,1,Central_Coast,80,Woodland,6,Other_fed,522537300
108007,1,Central_Coast,80,Woodland,7,Private,2194822800
108008,1,Central_Coast,80,Woodland,8,State_gov,296208900
108009,1,Central_Coast,80,Woodland,9,USFS_nonwild,277533000
109001,1,Central_Coast,90,Forest,1,BLM,5160600
109002,1,Central_Coast,90,Forest,2,DoD,3364200
109003,1,Central_Coast,90,Forest,3,Easement,89550000
109004,1,Central_Coast,90,Forest,4,Local_gov,171564300
109005,1,Central_Coast,90,Forest,5,NPS,800100
109006,1,Central_Coast,90,Forest,6,Other_fed,132083100
109007,1,Central_Coast,90,Forest,7,Private,608405400
109008,1,Central_Coast,90,Forest,8,State_gov,172301400
109009,1,Central_Coast,90,Forest,9,USFS_nonwild,44540100
110001,1,Central_Coast,100,Meadow,1,BLM,900
110002,1,Central_Coast,100,Meadow,2,DoD,7799400
110003,1,Central_Coast,100,Meadow,3,Easement,1023300
110004,1,Central_Coast,100,Meadow,4,Local_gov,7103700
110005,1,Central_Coast,100,Meadow,5,NPS,9900
110006,1,Central_Coast,100,Meadow,6,Other_fed,1189800
110007,1,Central_Coast,100,Meadow,7,Private,36332100
110008,1,Central_Coast,100,Meadow,8,State_gov,1410300
111002,1,Central_Coast,110,Coastal_marsh,2,DoD,126900
111003,1,Central_Coast,110,Coastal_marsh,3,Easement,1353600
111004,1,Central_Coast,110,Coastal_marsh,4,Local_gov,5762700
111005,1,Central_Coast,110,Coastal_marsh,5,NPS,16200
111006,1,Central_Coast,110,Coastal_marsh,6,Other_fed,8970300
111007,1,Central_Coast,110,Coastal_marsh,7,Private,20996100
111008,1,Central_Coast,110,Coastal_marsh,8,State_gov,4793400
113001,1,Central_Coast,130,Cultivated,1,BLM,5124600
113002,1,Central_Coast,130,Cultivated,2,DoD,6521400
113003,1,Central_Coast,130,Cultivated,3,Easement,20570400
113004,1,Central_Coast,130,Cultivated,4,Local_gov,12459600
113005,1,Central_Coast,130,Cultivated,5,NPS,222300
113006,1,Central_Coast,130,Cultivated,6,Other_fed,3797100
113007,1,Central_Coast,130,Cultivated,7,Private,2431028700
113008,1,Central_Coast,130,Cultivated,8,State_gov,13140900
113009,1,Central_Coast,130,Cultivated,9,USFS_nonwild,435600
116001,1,Central_Coast,160,Developed_all,1,BLM,50243400
116002,1,Central_Coast,160,Developed_all,2,DoD,84797100
116003,1,Central_Coast,160,Developed_all,3,Easement,46689300
116004,1,Central_Coast,160,Developed_all,4,Local_gov,182229300
116005,1,Central_Coast,160,Developed_all,5,NPS,8118000
116006,1,Central_Coast,160,Developed_all,6,Other_fed,29154600
116007,1,Central_Coast,160,Developed_all,7,Private,4438676700
116008,1,Central_Coast,160,Developed_all,8,State_gov,61946100
116009,1,Central_Coast,160,Developed_all,9,USFS_nonwild,19903500
200001,2,Central_Valley,0,Water,1,BLM,707400
200002,2,Central_Valley,0,Water,2,DoD,8194500
200003,2,Central_Valley,0,Water,3,Easement,30446100
200004,2,Central_Valley,0,Water,4,Local_gov,45430200
200006,2,Central_Valley,0,Water,6,Other_fed,33698700
200007,2,Central_Valley,0,Water,7,Private,350544600
200008,2,Central_Valley,0,Water,8,State_gov,45528300
202001,2,Central_Valley,20,Barren,1,BLM,51535800
202002,2,Central_Valley,20,Barren,2,DoD,4198500
202003,2,Central_Valley,20,Barren,3,Easement,27865800
202004,2,Central_Valley,20,Barren,4,Local_gov,4209300
202006,2,Central_Valley,20,Barren,6,Other_fed,12665700
202007,2,Central_Valley,20,Barren,7,Private,646529400
202008,2,Central_Valley,20,Barren,8,State_gov,16820100
203001,2,Central_Valley,30,Sparse,1,BLM,2367900
203002,2,Central_Valley,30,Sparse,2,DoD,279900
203003,2,Central_Valley,30,Sparse,3,Easement,8819100
203004,2,Central_Valley,30,Sparse,4,Local_gov,1063800
203006,2,Central_Valley,30,Sparse,6,Other_fed,2096100
203007,2,Central_Valley,30,Sparse,7,Private,77070600
203008,2,Central_Valley,30,Sparse,8,State_gov,3019500
204001,2,Central_Valley,40,Desert,1,BLM,41482800
204002,2,Central_Valley,40,Desert,2,DoD,276300
204003,2,Central_Valley,40,Desert,3,Easement,54077400
204004,2,Central_Valley,40,Desert,4,Local_gov,4042800
204006,2,Central_Valley,40,Desert,6,Other_fed,12798000
204007,2,Central_Valley,40,Desert,7,Private,388237500
204008,2,Central_Valley,40,Desert,8,State_gov,11581200
205001,2,Central_Valley,50,Shrubland,1,BLM,14737500
205002,2,Central_Valley,50,Shrubland,2,DoD,18748800
205003,2,Central_Valley,50,Shrubland,3,Easement,465839100
205004,2,Central_Valley,50,Shrubland,4,Local_gov,43990200
205006,2,Central_Valley,50,Shrubland,6,Other_fed,68113800
205007,2,Central_Valley,50,Shrubland,7,Private,3173249700
205008,2,Central_Valley,50,Shrubland,8,State_gov,85824000
206001,2,Central_Valley,60,Grassland,1,BLM,101960100
206002,2,Central_Valley,60,Grassland,2,DoD,34152300
206003,2,Central_Valley,60,Grassland,3,Easement,503289900
206004,2,Central_Valley,60,Grassland,4,Local_gov,26593200
206006,2,Central_Valley,60,Grassland,6,Other_fed,132693300
206007,2,Central_Valley,60,Grassland,7,Private,2934767700
206008,2,Central_Valley,60,Grassland,8,State_gov,86316300
207001,2,Central_Valley,70,Savanna,1,BLM,1956600
207002,2,Central_Valley,70,Savanna,2,DoD,1134900
207003,2,Central_Valley,70,Savanna,3,Easement,55190700
207004,2,Central_Valley,70,Savanna,4,Local_gov,13241700
207006,2,Central_Valley,70,Savanna,6,Other_fed,12425400
207007,2,Central_Valley,70,Savanna,7,Private,504727200
207008,2,Central_Valley,70,Savanna,8,State_gov,18476100
208001,2,Central_Valley,80,Woodland,1,BLM,343800
208002,2,Central_Valley,80,Woodland,2,DoD,2921400
208003,2,Central_Valley,80,Woodland,3,Easement,40297500
208004,2,Central_Valley,80,Woodland,4,Local_gov,7725600
208006,2,Central_Valley,80,Woodland,6,Other_fed,8694000
208007,2,Central_Valley,80,Woodland,7,Private,257302800
208008,2,Central_Valley,80,Woodland,8,State_gov,10158300
209001,2,Central_Valley,90,Forest,1,BLM,1800
209002,2,Central_Valley,90,Forest,2,DoD,16200
209003,2,Central_Valley,90,Forest,3,Easement,135763200
209004,2,Central_Valley,90,Forest,4,Local_gov,5400
209006,2,Central_Valley,90,Forest,6,Other_fed,146700
209007,2,Central_Valley,90,Forest,7,Private,4404600
209008,2,Central_Valley,90,Forest,8,State_gov,124200
210001,2,Central_Valley,100,Meadow,1,BLM,900
210007,2,Central_Valley,100,Meadow,7,Private,153900
210008,2,Central_Valley,100,Meadow,8,State_gov,900
211001,2,Central_Valley,110,Coastal_marsh,1,BLM,207000
211002,2,Central_Valley,110,Coastal_marsh,2,DoD,6300
211003,2,Central_Valley,110,Coastal_marsh,3,Easement,2281500
211004,2,Central_Valley,110,Coastal_marsh,4,Local_gov,101700
211006,2,Central_Valley,110,Coastal_marsh,6,Other_fed,503100
211007,2,Central_Valley,110,Coastal_marsh,7,Private,3723300
211008,2,Central_Valley,110,Coastal_marsh,8,State_gov,429300
213001,2,Central_Valley,130,Cultivated,1,BLM,28186200
213002,2,Central_Valley,130,Cultivated,2,DoD,85336200
213003,2,Central_Valley,130,Cultivated,3,Easement,498605400
213004,2,Central_Valley,130,Cultivated,4,Local_gov,79597800
213006,2,Central_Valley,130,Cultivated,6,Other_fed,194169600
213007,2,Central_Valley,130,Cultivated,7,Private,28719801000
213008,2,Central_Valley,130,Cultivated,8,State_gov,236230200
216001,2,Central_Valley,160,Developed_all,1,BLM,19057500
216002,2,Central_Valley,160,Developed_all,2,DoD,34054200
216003,2,Central_Valley,160,Developed_all,3,Easement,56727000
216004,2,Central_Valley,160,Developed_all,4,Local_gov,86513400
216006,2,Central_Valley,160,Developed_all,6,Other_fed,28386000
216007,2,Central_Valley,160,Developed_all,7,Private,5061054600
216008,2,Central_Valley,160,Developed_all,8,State_gov,26657100
300001,3,Delta,0,Water,1,BLM,234000
300002,3,Delta,0,Water,2,DoD,8801100
300003,3,Delta,0,Water,3,Easement,3156300
300004,3,Delta,0,Water,4,Local_gov,6278400
300006,3,Delta,0,Water,6,Other_fed,1381500
300007,3,Delta,0,Water,7,Private,344059200
300008,3,Delta,0,Water,8,State_gov,61489800
302002,3,Delta,20,Barren,2,DoD,292500
302003,3,Delta,20,Barren,3,Easement,17100
302004,3,Delta,20,Barren,4,Local_gov,16200
302006,3,Delta,20,Barren,6,Other_fed,3600
302007,3,Delta,20,Barren,7,Private,2456100
302008,3,Delta,20,Barren,8,State_gov,140400
303002,3,Delta,30,Sparse,2,DoD,900
303003,3,Delta,30,Sparse,3,Easement,9900
303004,3,Delta,30,Sparse,4,Local_gov,23400
303006,3,Delta,30,Sparse,6,Other_fed,11700
303007,3,Delta,30,Sparse,7,Private,739800
303008,3,Delta,30,Sparse,8,State_gov,64800
304002,3,Delta,40,Desert,2,DoD,4500
304003,3,Delta,40,Desert,3,Easement,99900
304004,3,Delta,40,Desert,4,Local_gov,4500
304007,3,Delta,40,Desert,7,Private,579600
304008,3,Delta,40,Desert,8,State_gov,154800
305001,3,Delta,50,Shrubland,1,BLM,79200
305002,3,Delta,50,Shrubland,2,DoD,366300
305003,3,Delta,50,Shrubland,3,Easement,1624500
305004,3,Delta,50,Shrubland,4,Local_gov,95400
305006,3,Delta,50,Shrubland,6,Other_fed,130500
305007,3,Delta,50,Shrubland,7,Private,21880800
305008,3,Delta,50,Shrubland,8,State_gov,6085800
306001,3,Delta,60,Grassland,1,BLM,781200
306002,3,Delta,60,Grassland,2,DoD,3346200
306003,3,Delta,60,Grassland,3,Easement,19694700
306004,3,Delta,60,Grassland,4,Local_gov,704700
306006,3,Delta,60,Grassland,6,Other_fed,686700
306007,3,Delta,60,Grassland,7,Private,85017600
306008,3,Delta,60,Grassland,8,State_gov,22066200
307001,3,Delta,70,Savanna,1,BLM,23400
307002,3,Delta,70,Savanna,2,DoD,65700
307003,3,Delta,70,Savanna,3,Easement,291600
307004,3,Delta,70,Savanna,4,Local_gov,7200
307006,3,Delta,70,Savanna,6,Other_fed,23400
307007,3,Delta,70,Savanna,7,Private,3956400
307008,3,Delta,70,Savanna,8,State_gov,808200
308001,3,Delta,80,Woodland,1,BLM,28800
308002,3,Delta,80,Woodland,2,DoD,17100
308003,3,Delta,80,Woodland,3,Easement,845100
308004,3,Delta,80,Woodland,4,Local_gov,30600
308006,3,Delta,80,Woodland,6,Other_fed,105300
308007,3,Delta,80,Woodland,7,Private,1356300
308008,3,Delta,80,Woodland,8,State_gov,852300
309003,3,Delta,90,Forest,3,Easement,3305700
309004,3,Delta,90,Forest,4,Local_gov,900
309007,3,Delta,90,Forest,7,Private,1176300
309008,3,Delta,90,Forest,8,State_gov,1800
310002,3,Delta,100,Meadow,2,DoD,1121400
310003,3,Delta,100,Meadow,3,Easement,49500
310004,3,Delta,100,Meadow,4,Local_gov,77400
310007,3,Delta,100,Meadow,7,Private,5309100
310008,3,Delta,100,Meadow,8,State_gov,790200
311001,3,Delta,110,Coastal_marsh,1,BLM,153000
311002,3,Delta,110,Coastal_marsh,2,DoD,7416000
311003,3,Delta,110,Coastal_marsh,3,Easement,2081700
311004,3,Delta,110,Coastal_marsh,4,Local_gov,94500
311006,3,Delta,110,Coastal_marsh,6,Other_fed,85500
311007,3,Delta,110,Coastal_marsh,7,Private,108925200
311008,3,Delta,110,Coastal_marsh,8,State_gov,39036600
312001,3,Delta,120,Fresh_marsh,1,BLM,0
312002,3,Delta,120,Fresh_marsh,2,DoD,0
312003,3,Delta,120,Fresh_marsh,3,Easement,0
312004,3,Delta,120,Fresh_marsh,4,Local_gov,0
312006,3,Delta,120,Fresh_marsh,6,Other_fed,0
312007,3,Delta,120,Fresh_marsh,7,Private,0
312008,3,Delta,120,Fresh_marsh,8,State_gov,0
313001,3,Delta,130,Cultivated,1,BLM,4561200
313002,3,Delta,130,Cultivated,2,DoD,4095900
313003,3,Delta,130,Cultivated,3,Easement,102665700
313004,3,Delta,130,Cultivated,4,Local_gov,6057900
313006,3,Delta,130,Cultivated,6,Other_fed,6379200
313007,3,Delta,130,Cultivated,7,Private,1974507300
