Landcat,Area_2010_m2,Area_2011_m2,Area_2012_m2,Area_2013_m2,Area_2014_m2,Area_2015_m2,Area_2016_m2,Area_2017_m2,Area_2018_m2,Area_2019_m2,Area_2020_m2,Area_2021_m2,Area_2022_m2,Area_2023_m2,Area_2024_m2,Area_2025_m2,Area_2026_m2,Area_2027_m2,Area_2028_m2,Area_2029_m2,Area_2030_m2,Area_2031_m2,Area_2032_m2,Area_2033_m2,Area_2034_m2,Area_2035_m2,Area_2036_m2,Area_2037_m2,Area_2038_m2,Area_2039_m2,Area_2040_m2,Area_2041_m2,Area_2042_m2,Area_2043_m2,Area_2044_m2,Area_2045_m2,Area_2046_m2,Area_2047_m2,Area_2048_m2,Area_2049_m2,Area_2050_m2
102001,24667.97018,0,0,-11385.21701,0,-14136.64445,0,0,0,0,9392.80403,26660.38316,0,11385.21701,0,0,0,0,0,-34819.78868,72675.63523,-21252.40508,-18880.48487,6356.746162,-27229.64401,22106.29635,-65654.7514,7590.144671,58538.99078,0,-3889.949144,-57495.34588,0,0,-7590.144671,-54364.41121,34819.78868,-58444.11397,-18595.85444,-27419.39762,-15085.41253
102002,0,0,0,-1120.946172,0,-3038.254776,0,0,-2196.601589,634.0705619,-283.0672151,0,0,2683.477199,-411.3910193,0,0,-3740.261469,0,-4287.524752,-588.7798074,-1483.272207,-15.09691814,0,-2513.63687,-256.6476084,-6638.869752,0,-2864.640217,-71.71036116,-166.0660995,0,-245.3249198,-777.4912842,-56.61344302,-2366.441918,0,2268.31195,0,11.3226886,-437.810626
102003,-95.22918371,180.1633205,-545.637485,-772.1285166,-7.721285166,-1173.635345,-164.7207502,-2241.74646,-2741.056234,61.77028133,-2558.319152,177.5895588,-3276.398672,-267.6712191,-1055.242306,-5271.064006,-627.9978601,110.671754,-2514.565202,-2380.729593,-4197.805368,2192.844987,-2028.124237,-265.0974574,-2741.056234,-2926.367078,-2197.99251,-3008.727453,295.982598,-2818.269085,-1469.617943,-2566.040437,-4226.116747,-8580.921581,-2923.793316,452.9820631,-5731.767355,-6444.699352,-4192.657845,-72.06532821,-2118.205897
102004,-2810.368771,-1628.255371,-429.859418,1725.950693,-6438.121738,-10023.54006,-1149.548292,-3409.566747,-9551.346007,-1009.51833,-11671.3345,-11580.1522,-2836.420857,-9414.572556,-950.9011368,78.15625782,-7346.688235,-8851.196198,-2175.349176,-7848.190889,-7476.948664,-4982.461436,-902.0534756,-2989.476861,-4308.363712,-3373.745129,-4015.277745,-4178.103282,-6245.987604,-3328.153979,-4699.145001,-4445.137163,-8489.723505,-1048.596459,-2422.843992,-1165.830846,-1963.675978,-2846.190389,-3331.410489,-4966.178882,-9886.766614
102005,0,0,0,0,0,-3901.698997,0,0,0,-9319.395559,-239.3680366,-2178.249133,0,0,0,-3901.698997,0,-2625.069468,0,0,-6095.905999,0,0,-7931.060947,0,-4771.402863,-7524.135285,0,0,-2194.207002,0,-1555.892238,-8170.428984,-4771.402863,0,0,0,0,0,0,0
102006,987.0262551,0,0,0,365.5652797,-30.4637733,0,-2303.061262,-1590.208967,0,0,-1340.406025,-79.20581059,0,-298.5449784,2169.020659,-2205.577187,0,-767.6870873,1072.32482,0,0,0,2193.391678,-24.37101864,0,-584.9044474,-18.27826398,2936.707747,0,-5032.61535,0,0,-24.37101864,54.83479195,-24.37101864,-426.4928263,-511.7913915,0,0,-389.9362983
102007,530943.6386,390287.9253,459031.8212,55623.42117,13226.07214,-242821.1808,-604835.407,-231020.6733,-316739.3485,-173338.1032,-594117.2726,-951854.8048,-221860.1004,-145117.2027,-551904.719,-410721.0188,125898.4791,-677248.8119,-769884.1156,-845175.0493,-952541.1878,-590790.9551,-623473.345,-666530.6776,-1278889.898,-1225457.623,-587675.8323,-301005.3385,-1284011.371,-991189.8298,-779493.4774,-1345944.236,-1346947.411,-737280.9238,-361459.8399,108527.7097,-1097262.4,-657317.306,-812096.6692,-706552.0855,-1146629.177
102008,0,0,0,0,-1421.728126,0,444.2900395,-15905.58342,-1617.215744,6611.035788,2168.135393,18286.97803,0,-1706.073752,-639.7776569,-12031.37427,10574.10294,-799.7220711,-24009.43374,-7908.362704,-26835.11839,-1279.555314,-17824.91639,-9721.066065,17185.13873,2896.771058,-941.8948838,-11782.57185,-9045.745205,7268.585047,-8939.115595,0,-2363.62301,-17824.91639,-29589.71663,7055.325828,-5278.16567,-6522.17778,0,0,14039.56525
102009,363.7794507,0,0,0,35.86557964,0,0,0,0,0,107.5967389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599.4675455,0,0,799.2900606,0,0,0,0,0,947.8760335,0
103001,2659.486025,0,0,-1227.455089,0,-1524.090068,0,0,0,0,1012.650448,2874.290666,0,1227.455089,0,0,0,0,0,-3753.966813,7835.254982,-2291.249499,-2035.529689,685.3290911,-2935.66342,2383.30863,-7078.324344,818.3033924,6311.164914,0,-419.3804886,-6198.648197,0,0,-818.3033924,-5861.098048,3753.966813,-6300.936121,-2004.843311,-2956.121005,-1626.377992
