Landcat,Area_2010_m2,Area_2011_m2,Area_2012_m2,Area_2013_m2,Area_2014_m2,Area_2015_m2,Area_2016_m2,Area_2017_m2,Area_2018_m2,Area_2019_m2,Area_2020_m2,Area_2021_m2,Area_2022_m2,Area_2023_m2,Area_2024_m2,Area_2025_m2,Area_2026_m2,Area_2027_m2,Area_2028_m2,Area_2029_m2,Area_2030_m2,Area_2031_m2,Area_2032_m2,Area_2033_m2,Area_2034_m2,Area_2035_m2,Area_2036_m2,Area_2037_m2,Area_2038_m2,Area_2039_m2,Area_2040_m2,Area_2041_m2,Area_2042_m2,Area_2043_m2,Area_2044_m2,Area_2045_m2,Area_2046_m2,Area_2047_m2,Area_2048_m2,Area_2049_m2,Area_2050_m2,Area_2051_m2,Area_2052_m2,Area_2053_m2,Area_2054_m2,Area_2055_m2,Area_2056_m2,Area_2057_m2,Area_2058_m2,Area_2059_m2,Area_2060_m2,Area_2061_m2,Area_2062_m2,Area_2063_m2,Area_2064_m2,Area_2065_m2,Area_2066_m2,Area_2067_m2,Area_2068_m2,Area_2069_m2,Area_2070_m2,Area_2071_m2,Area_2072_m2,Area_2073_m2,Area_2074_m2,Area_2075_m2,Area_2076_m2,Area_2077_m2,Area_2078_m2,Area_2079_m2,Area_2080_m2,Area_2081_m2,Area_2082_m2,Area_2083_m2,Area_2084_m2,Area_2085_m2,Area_2086_m2,Area_2087_m2,Area_2088_m2,Area_2089_m2,Area_2090_m2,Area_2091_m2,Area_2092_m2,Area_2093_m2,Area_2094_m2,Area_2095_m2,Area_2096_m2,Area_2097_m2,Area_2098_m2,Area_2099_m2,Area_2100_m2
102001,24667.97018,0,0,-11385.21701,0,-14136.64445,0,0,0,0,9392.80403,26660.38316,0,11385.21701,0,0,0,0,0,-34819.78868,72675.63523,-21252.40508,-18880.48487,6356.746162,-27229.64401,22106.29635,-65654.7514,7590.144671,58538.99078,0,-3889.949144,-57495.34588,0,0,-7590.144671,-54364.41121,34819.78868,-58444.11397,-18595.85444,-27419.39762,-15085.41253,82827.45372,-22011.41955,49620.57079,0,0,0,0,76186.07714,0,7305.514246,0,21157.52827,0,7590.144671,3700.195527,-73814.15693,0,66603.51949,-39184.12186,1138.521701,34250.52783,69829.33097,-30929.83953,0,-7020.883821,-50000.07802,-23529.44848,-14421.27487,0,0,-1138.521701,0,-664.1376587,1138.521701,-1328.275317,0,0,0,0,0,-45445.99122,-664.1376587,-1138.521701,0,1138.521701,-12713.49232,0,0,0,0
102002,0,0,0,-1120.946172,0,-3038.254776,0,0,-2196.601589,634.0705619,-283.0672151,0,0,2683.477199,-411.3910193,0,0,-3740.261469,0,-4287.524752,-588.7798074,-1483.272207,-15.09691814,0,-2513.63687,-256.6476084,-6638.869752,0,-2864.640217,-71.71036116,-166.0660995,0,-245.3249198,-777.4912842,-56.61344302,-2366.441918,0,2268.31195,0,11.3226886,-437.810626,-2026.76126,-418.9394784,0,0,0,0,0,0,4498.881606,-11.3226886,-607.6509551,-11.3226886,0,0,0,0,0,0,0,0,-392.5198716,0,0,0,0,-1747.468275,0,-3577.969599,0,0,-2404.184214,0,0,0,0,1777.662111,-2909.930971,0,0,-1607.821782,0,0,-320.8095105,-2215.472737,-3623.260354,-1517.240273,-7178.584575,-3985.586389,-3864.811044,-1449.304141
102003,-95.22918371,180.1633205,-545.637485,-772.1285166,-7.721285166,-1173.635345,-164.7207502,-2241.74646,-2741.056234,61.77028133,-2558.319152,177.5895588,-3276.398672,-267.6712191,-1055.242306,-5271.064006,-627.9978601,110.671754,-2514.565202,-2380.729593,-4197.805368,2192.844987,-2028.124237,-265.0974574,-2741.056234,-2926.367078,-2197.99251,-3008.727453,295.982598,-2818.269085,-1469.617943,-2566.040437,-4226.116747,-8580.921581,-2923.793316,452.9820631,-5731.767355,-6444.699352,-4192.657845,-72.06532821,-2118.205897,-1026.930927,-3587.82384,-216.1959846,-113.2455158,-2511.991441,-4169.493989,-550.7850085,-193.0321291,-1397.552615,-2306.090503,-3335.595192,-1765.600541,-4506.656775,-2705.02357,-1639.486217,-182.7370823,-311.4251683,-3484.873371,-1376.962521,-1019.209642,-6143.56923,33.45890238,990.8982629,-6879.665083,-1400.126377,-4071.691044,-3405.086758,-875.0789854,-3572.38127,1469.617943,1726.994115,-11581.92775,-1405.2739,-2710.171093,1405.2739,-1454.175373,-1109.291302,-3719.085688,-913.6854113,-2383.303354,-1708.977783,-2602.073101,-3940.429196,1513.371892,-1943.1901,-4087.133614,-3775.708446,-7533.40056,-69.49156649,-12.86880861
102004,-2810.368771,-1628.255371,-429.859418,1725.950693,-6438.121738,-10023.54006,-1149.548292,-3409.566747,-9551.346007,-1009.51833,-11671.3345,-11580.1522,-2836.420857,-9414.572556,-950.9011368,78.15625782,-7346.688235,-8851.196198,-2175.349176,-7848.190889,-7476.948664,-4982.461436,-902.0534756,-2989.476861,-4308.363712,-3373.745129,-4015.277745,-4178.103282,-6245.987604,-3328.153979,-4699.145001,-4445.137163,-8489.723505,-1048.596459,-2422.843992,-1165.830846,-1963.675978,-2846.190389,-3331.410489,-4966.178882,-9886.766614,-2543.33489,-1722.694183,-4129.255621,-4122.7426,-7984.96434,-3543.083688,-6346.939437,-2256.761944,-7408.561939,-1403.55613,-2155.810111,-651.3021485,-5702.15031,-4637.271297,0,-6701.899108,-2181.862197,-6988.472053,-2859.216432,-9382.007449,-2321.892159,-2308.866116,-4174.846772,-1032.313905,-4015.277745,-1439.377748,-6239.474582,-5044.33514,-8688.37066,-2465.178632,-6083.162067,-4712.171044,-1901.802274,-5900.797465,-1771.541844,-6047.340448,-8079.403152,-3188.124017,-8216.176603,-11915.57281,-12742.72653,-2657.312766,-2373.996331,-2211.170794,-5920.33653,-12527.79683,-862.9753467,-1843.18508,-81.41276856,-843.4362823
102005,0,0,0,0,0,-3901.698997,0,0,0,-9319.395559,-239.3680366,-2178.249133,0,0,0,-3901.698997,0,-2625.069468,0,0,-6095.905999,0,0,-7931.060947,0,-4771.402863,-7524.135285,0,0,-2194.207002,0,-1555.892238,-8170.428984,-4771.402863,0,0,0,0,0,0,0,-5665.043533,-5457.591235,0,-7835.313732,0,0,0,-7994.892423,0,0,-9263.543017,0,0,-8425.754889,0,0,0,-2465.490777,0,0,0,0,-6869.862651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102006,987.0262551,0,0,0,365.5652797,-30.4637733,0,-2303.061262,-1590.208967,0,0,-1340.406025,-79.20581059,0,-298.5449784,2169.020659,-2205.577187,0,-767.6870873,1072.32482,0,0,0,2193.391678,-24.37101864,0,-584.9044474,-18.27826398,2936.707747,0,-5032.61535,0,0,-24.37101864,54.83479195,-24.37101864,-426.4928263,-511.7913915,0,0,-389.9362983,0,0,0,-584.9044474,0,-12.18550932,0,-822.5218792,-414.3073169,0,767.6870873,-261.9884504,0,0,0,-292.4522237,0,-6275.537301,0,0,-2217.762697,2217.762697,0,0,0,0,0,0,0,6238.980773,0,0,0,-2217.762697,-6238.980773,0,280.2667144,0,0,0,-852.9856525,0,0,0,0,0,0,0,0,0
102007,530943.6386,390287.9253,459031.8212,55623.42117,13226.07214,-242821.1808,-604835.407,-231020.6733,-316739.3485,-173338.1032,-594117.2726,-951854.8048,-221860.1004,-145117.2027,-551904.719,-410721.0188,125898.4791,-677248.8119,-769884.1156,-845175.0493,-952541.1878,-590790.9551,-623473.345,-666530.6776,-1278889.898,-1225457.623,-587675.8323,-301005.3385,-1284011.371,-991189.8298,-779493.4774,-1345944.236,-1346947.411,-737280.9238,-361459.8399,108527.7097,-1097262.4,-657317.306,-812096.6692,-706552.0855,-1146629.177,-510536.9445,-870175.2296,-1259090.389,-523842.2147,-1244517.95,-915714.1007,-998080.059,-1032082.416,-849768.5354,-805259.2387,-965080.877,-775163.9847,-602776.258,-387040.8058,-364574.9627,-613758.3858,-484401.5924,-1143223.661,-724688.436,-799636.1781,-845227.848,-413440.1514,-632396.3238,-835116.8986,-1051353.938,-1065794.38,-692903.6239,-1188260.945,-1267247.787,-751589.3691,-1199058.277,-704255.3425,-1283588.982,-949690.0585,-1147843.547,-492083.8019,-1148001.943,-1106660.567,-854282.8235,-1226883.187,-1086385.87,-509084.9805,-1259803.171,-467242.0177,-1228203.155,-1407797.903,-752302.1515,-579571.2332,-824609.9591,-535431.5274
102008,0,0,0,0,-1421.728126,0,444.2900395,-15905.58342,-1617.215744,6611.035788,2168.135393,18286.97803,0,-1706.073752,-639.7776569,-12031.37427,10574.10294,-799.7220711,-24009.43374,-7908.362704,-26835.11839,-1279.555314,-17824.91639,-9721.066065,17185.13873,2896.771058,-941.8948838,-11782.57185,-9045.745205,7268.585047,-8939.115595,0,-2363.62301,-17824.91639,-29589.71663,7055.325828,-5278.16567,-6522.17778,0,0,14039.56525,15354.66377,3323.289496,-8548.14036,14874.83052,959.6664854,-13453.1024,4762.789224,-27777.01327,0,-2665.740237,11658.17064,-88.8580079,0,-7161.955437,0,-5580.282896,-4247.412778,-2825.684651,-17.77160158,-1137.382501,497.6048443,17.77160158,-106.6296095,-8139.393524,-639.7776569,0,-3003.400667,5864.628522,-12671.15193,-408.7468364,4798.332427,-14394.99728,-586.4628522,-1172.925704,-1066.296095,-6344.461764,9578.893252,-7002.011023,2008.190979,-7517.387469,-29447.54382,-1634.987345,-12315.7199,-19033.38529,-479.8332427,0,-4140.783168,0,426.5184379,4869.418833
102009,363.7794507,0,0,0,35.86557964,0,0,0,0,0,107.5967389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,599.4675455,0,0,799.2900606,0,0,0,0,0,947.8760335,0,573.8492743,0,0,0,0,-799.2900606,0,0,0,799.2900606,0,0,0,0,0,0,0,0,0,-799.2900606,0,0,0,0,0,-1311.655484,0,0,0,0,0,0,0,0,0,0,1311.655484,0,-512.3654235,-799.2900606,799.2900606,0,0,-947.8760335,947.8760335,0,0,0,0,0
103001,2659.486025,0,0,-1227.455089,0,-1524.090068,0,0,0,0,1012.650448,2874.290666,0,1227.455089,0,0,0,0,0,-3753.966813,7835.254982,-2291.249499,-2035.529689,685.3290911,-2935.66342,2383.30863,-7078.324344,818.3033924,6311.164914,0,-419.3804886,-6198.648197,0,0,-818.3033924,-5861.098048,3753.966813,-6300.936121,-2004.843311,-2956.121005,-1626.377992,8929.735769,-2373.079838,5349.658428,0,0,0,0,8213.720301,0,787.6170152,0,2281.020706,0,818.3033924,398.9229038,-7958.000491,0,7180.612268,-4224.491263,122.7455089,3692.594058,7528.39121,-3334.586324,0,-756.9306379,-5390.573597,-2536.740516,-1554.776446,0,0,-122.7455089,0,-71.60154683,122.7455089,-143.2030937,0,0,0,0,0,-4899.591562,-71.60154684,-122.7455089,0,122.7455089,-1370.658182,0,0,0,0
