Simulation,Wildfire,LULCC
BAU_All,1,1
BAU_EcoFlux,0,0
BAU_Fire,1,0
BAU_LULCC,0,1
BAU_Manage,0,0
BAU_Manage+Wildfire,1,0
BAU_MedSlash,1,0
BAU_HiSlash,1,0
Sample_Intervention,1,1
Private_clearcut,1,0
Private_partial_cut,1,0
Private_understory,1,0
Private_burn,1,0
USFS_partial_cut,1,0
USFS_understory,1,0
USFS_burn,1,0
USFS_forest_expansion,1,0
Urban_forest_expansion,1,0
Private_clearcut_HiSlashUtil,1,0
Private_clearcut_MedSlashUtil,1,0
Private_partial_cut_HiSlashUtil,1,0
Private_partial_cut_MedSlashUti,1,0
Private_understory_HiSlashUtil,1,0
Private_understory_MedSlashUtil,1,0
USFS_partial_cut_HiSlashUtil,1,0
USFS_thinning_MedSlashUtil,1,0
USFS_understory_HiSlashUtil,1,0
USFS_understory_MedSlashUtil,1,0
Restore_delta_fresh_marsh,0,0
Restore_tidal_marsh,0,0
Restore_mountain_meadow,0,0
Cultivated_soil_conservation,0,0
Grassland_compost_low,0,0
Grassland_compost_med,0,0
Woodland_restoration,0,0
Growth_reduction,0,1
