"Region","Ownership","X2001_ha","X2002_ha","X2003_ha","X2004_ha","X2005_ha","X2006_ha","X2007_ha","X2008_ha","X2009_ha","X2010_ha","X2011_ha","X2012_ha","X2013_ha","X2014_ha","X2015_ha","X2016_ha","X2017_ha","X2018_ha","X2019_ha","X2020_ha","X2021_ha","X2022_ha","X2023_ha","X2024_ha","X2025_ha","X2026_ha","X2027_ha","X2028_ha","X2029_ha","X2030_ha","X2031_ha","X2032_ha","X2033_ha","X2034_ha","X2035_ha","X2036_ha","X2037_ha","X2038_ha","X2039_ha","X2040_ha","X2041_ha","X2042_ha","X2043_ha","X2044_ha","X2045_ha","X2046_ha","X2047_ha","X2048_ha","X2049_ha","X2050_ha","X2051_ha","X2052_ha","X2053_ha","X2054_ha","X2055_ha","X2056_ha","X2057_ha","X2058_ha","X2059_ha","X2060_ha","X2061_ha","X2062_ha","X2063_ha","X2064_ha","X2065_ha","X2066_ha","X2067_ha","X2068_ha","X2069_ha","X2070_ha","X2071_ha","X2072_ha","X2073_ha","X2074_ha","X2075_ha","X2076_ha","X2077_ha","X2078_ha","X2079_ha","X2080_ha","X2081_ha","X2082_ha","X2083_ha","X2084_ha","X2085_ha","X2086_ha","X2087_ha","X2088_ha","X2089_ha","X2090_ha","X2091_ha","X2092_ha","X2093_ha","X2094_ha","X2095_ha","X2096_ha","X2097_ha","X2098_ha","X2099_ha","X2100_ha"
"Central_Coast","BLM",2106.9363,1784.0008,1943.4465,2685.3344,2593.5308,2357.7394,2354.7853,1677.1751,1855.7997,1900.7136,2175.5963,2274.2755,1773.8144,1872.3739,2166.3386,2165.0112,2860.6672,2149.3528,1858.9089,1986.8288,1979.1359,1965.1271,1650.1997,1379.1274,1295.5041,1646.0363,1716.1561,2186.2311,2048.8515,1800.77,1518.1374,1799.3091,2098.2618,1664.5268,1985.4629,1430.7639,1309.3426,1738.6745,2187.8129,1578.3212,1696.7396,1695.03,1201.1992,1305.4562,1751.0068,1561.4686,1341.8229,1755.7526,1864.1687,1948.0016,1690.0518,1710.4991,1420.5497,1575.966,1515.9703,1690.4388,1295.8394,1579.7373,1358.8738,1393.1033,1494.4278,1325.2675,1429.006,1381.5429,1712.6824,1395.2197,1314.2624,1396.4522,1391.5377,1475.8974,1167.4394,1640.5937,1741.159,1553.1376,1231.9813,1609.8162,1563.3627,1149.2648,1611.4637,1519.4034,1695.3841,1443.0928,1434.6878,1310.028,1407.7434,1852.2062,1227.4583,1327.9081,1288.4927,1478.6666,1852.5596,1399.594,1388.8994,1454.4849,1739.2722,1416.1325,1756.8061,1689.3638,1342.1616,1703.9886
"Central_Coast","DoD",1222.4556,1518.1107,1169.1034,1125.3884,830.4676,854.2584,1390.6624,1506.3593,1246.1782,645.8475,934.1177,936.9274,1305.4673,1079.7389,910.0637,837.9114,888.8642,1688.3455,1061.2083,994.5869,762.8018,683.408,1087.8565,1243.5092,891.5728,1034.909,944.8182,937.5877,764.2215,1163.494,1029.9048,1140.902,851.5784,795.7152,1384.4721,939.4381,847.7057,835.456,959.673,1225.7296,971.4953,1451.2872,990.5575,637.7364,831.8677,1382.3086,952.5632,1202.6098,822.43,857.6636,1342.4345,1254.7769,1102.9739,1019.891,1096.737,845.8729,1109.6969,1060.1118,974.0909,844.6145,824.8953,849.7449,1066.8685,1072.4081,1292.868,1002.3942,988.0828,1079.9911,1068.1171,1108.9081,998.5358,886.9959,1160.6121,752.713,630.5871,1198.2311,1290.9539,955.4408,906.3864,1086.5539,883.5602,1188.2108,938.8679,1132.03,977.3645,1049.7227,1023.4976,854.6059,950.0714,889.0742,1297.2317,847.1342,812.7724,892.3164,1326.1461,1391.2468,1125.9172,1206.8219,1094.7536,1100.3091
"Central_Coast","Easement",1430.2508,1933.3187,1590.4892,1377.4098,1039.6643,1003.0368,1827.364,1871.1742,1372.099,985.7017,1070.4685,1042.5406,1345.1762,1442.2691,1058.2277,929.1323,1169.6971,1760.0162,1317.8772,1412.7498,986.53,885.134,1155.1512,1636.5465,1142.8033,1207.6093,1120.4754,967.0222,918.5281,1252.9379,1083.8323,1371.4596,1131.9389,916.8234,1636.7003,1374.3369,911.6742,841.1385,954.493,1426.8042,1121.7778,1874.7636,1096.3492,793.0894,1036.5143,1852.7746,1363.0895,1322.0058,891.3796,1207.0439,1954.2992,1780.6283,1406.8957,1285.7543,1078.4852,1068.6485,1285.609,1255.6824,1399.6398,1169.4463,858.0771,995.2702,1529.661,1394.8405,1650.8429,1386.353,1126.8707,1391.3319,1124.2685,1456.6855,1119.0776,1048.3998,1362.4572,956.0972,756.6546,1375.8565,1441.702,1396.1582,1120.979,1383.644,1156.3701,1617.5639,1290.4203,1406.9853,982.2273,1327.8496,1566.4967,1134.5039,1339.5051,1005.7601,1553.6074,1258.4888,1243.5183,1305.0064,1443.6908,1619.2831,1458.2895,1434.9655,1459.1725,1228.142
"Central_Coast","Local_gov",1131.8121,1554.6994,1215.1038,1134.5432,843.8735,951.1567,1317.0025,1255.1169,1178.9973,846.3534,956.8573,954.634,1242.8347,1150.0133,966.6193,922.2214,922.5792,1550.7892,1071.8306,1265.7197,946.1207,739.4028,1024.8038,1572.1274,1087.6477,1026.7009,872.4772,788.2049,846.2143,1059.6909,1040.4974,1067.4789,869.3222,808.659,1217.9052,1187.2683,766.375,694.3174,704.3748,1219.1513,1011.7647,1334.9729,1143.608,640.8313,899.5712,1564.5203,1339.9063,1199.6051,753.3885,1022.2311,1462.0265,1406.5644,1370.8955,1196.6934,1054.3646,1138.121,1243.9338,1259.8816,1728.2641,1188.8559,648.888,1049.5656,1512.5639,1419.8629,1552.795,1109.8152,968.0389,1373.5548,1084.967,1280.7892,944.8199,888.6361,1375.9651,883.5385,748.9237,1185.2577,1456.1318,1564.4994,1038.8606,1229.009,1197.4124,1537.5175,1286.6993,1646.3567,1053.38,1261.8557,1545.3433,1088.4618,1283.6636,808.0113,1312.6082,1328.1846,1060.7002,1303.0464,1472.4435,1491.9898,1487.5065,1232.3431,1266.0373,1176.3458
"Central_Coast","NPS",145.0539,141.2788,174.1423,164.8784,118.7638,118.0768,220.2968,179.4512,137.4693,130.4697,134.3631,128.2655,149.7907,140.7147,132.9788,77.0379,145.5981,166.6102,119.3879,131.1869,163.066,134.3308,149.2318,120.9453,124.4161,126.9618,142.7981,126.5124,126.2656,150.8564,123.9793,110.534,127.2287,124.0906,116.1341,150.3901,99.8768,98.4692,111.5226,140.1608,109.5429,140.4185,99.8187,119.6518,115.013,180.9228,103.7726,140.7187,120.9129,141.9324,142.85,119.4259,161.6641,118.0167,128.332,141.6777,135.7104,165.9861,181.6896,149.9606,127.6726,124.138,155.9542,156.3457,142.6719,101.4157,115.0171,116.0808,115.1378,114.5585,145.29,87.7087,139.2946,114.8234,82.8641,158.1758,185.2261,131.4825,134.927,99.65,129.7113,163.0192,115.0424,179.5355,108.8012,154.1411,122.3068,103.5277,137.6713,91.6596,168.5282,116.4904,139.7771,131.6294,154.0565,107.9286,152.1806,133.0378,149.1122,122.0699
"Central_Coast","Other_fed",2759.8886,3405.4045,3030.1681,2435.288,1980.7598,2125.3134,3602.5711,3480.6517,2942.9941,1929.2489,2197.43,2634.658,3000.3893,2812.1812,2063.0117,2439.3055,2651.5618,3795.0415,2618.49,2773.004,2248.2631,1520.2342,2397.8415,2868.2225,2406.931,2553.0522,2082.4865,1861.413,2280.187,2809.8739,2531.4838,2663.8407,2021.8094,1742.0897,3709.2286,2502.3776,2070.6452,1838.7558,2063.0504,2692.4219,2725.0216,3264.2768,2319.9903,1731.049,2120.2946,3510.7192,2652.6694,2986.8575,1889.8378,1892.4042,3131.7196,3124.0104,2665.3388,2709.2537,2705.4204,2312.7531,2615.4759,2843.3567,2760.4471,2451.5789,1868.1014,2293.2003,2766.3318,2828.266,3025.2285,2443.7462,2070.1616,2508.5061,2225.2184,2506.431,2224.3948,2390.5355,3143.9246,1912.4176,1544.5576,2476.4312,3054.9098,2749.4605,2471.5603,2728.9931,2603.102,2918.8236,2557.547,2820.2864,2136.0744,2749.9959,2509.0673,2301.4344,2452.7857,2164.61,2920.3076,2380.6087,2585.1021,2558.3692,2855.5733,3272.9786,2506.4769,2605.7962,2660.1317,2975.2363
"Central_Coast","Private",25513.0214,26741.8335,25485.9375,24474.9331,21489.0932,21775.5331,30705.7135,28014.0306,23587.6826,20218.571,23961.5004,23319.9479,24239.237,24373.2514,23131.6575,22101.2793,25368.3522,30233.2737,23175.0402,25483.4707,22218.7612,19826.514,21519.3663,24698.2745,20170.3557,21964.2168,21511.9824,20823.4294,21197.9242,24184.5142,20773.4115,23873.0223,21658.4582,18367.4181,26878.448,21997.2791,17522.9011,18726.5912,22930.0972,24125.6652,21827.8572,26675.403,19564.6059,16391.4483,21997.6151,25980.2167,21464.0072,23707.975,18046.9888,22884.5409,28161.6814,26525.8593,22976.8167,22181.6633,19994.2751,20757.0086,20943.7985,23748.8067,23872.6565,20530.1285,18219.8333,19232.3622,24381.6106,23229.7124,25961.8101,21890.4825,18013.0314,20459.7634,18990.6826,22383.1232,18001.0529,18555.8781,25416.7602,18884.0848,14506.4529,23721.6755,25649.8277,21449.353,22208.6541,21297.626,22709.757,25894.1306,22406.467,23575.9314,18343.1407,24330.882,22631.5105,21079.1809,20549.2767,18742.821,25525.5748,22233.1929,21531.4141,21469.6997,24211.5454,24852.806,23875.5728,24043.3154,21507.4369,22576.8086
"Central_Coast","State_gov",1221.2435,1615.1727,1212.4416,1135.41,835.1255,996.2613,1483.4959,1376.2818,1166.6405,803.315,1040.0763,967.9597,1277.9544,1042.7311,1025.2392,1038.273,1018.9806,1542.9802,1010.9542,1293.5602,1016.5712,925.9683,978.9375,1686.3644,964.654,1146.4698,827.4478,865.4019,881.8363,1266.8844,1097.6317,1162.1255,857.83,715.6964,1288.7598,1227.8309,803.5194,749.3948,822.3531,1151.5418,1045.7945,1334.2809,1117.3981,687.8276,849.8316,1580.8494,1273.8641,1131.507,861.4103,1032.1108,1431.4815,1358.8156,1122.496,1052.3339,895.576,1057.4174,1046.0706,1180.0379,1403.874,1051.5783,750.1645,936.474,1450.1271,1248.4993,1497.7772,1063.9059,868.219,1304.578,867.2099,1218.4445,830.3874,917.8961,1278.9359,830.3281,740.7052,1082.8532,1350.3919,1531.5689,933.4637,1175.1578,1069.6809,1369.5788,1024.0673,1390.9287,874.798,1197.1191,1585.2642,1020.9606,1012.0445,832.5839,1270.6268,1180.1796,981.0695,1141.7768,1209.5119,1413.004,1411.2794,1212.0635,1087.8513,1043.9376
"Central_Coast","USFS_nonwild",2218.9542,2554.5134,2097.2456,1828.3265,1682.565,1716.2166,2840.7256,2511.0928,2161.4046,1594.0139,1842.8308,1801.0211,1976.0725,1998.67,1961.8918,1779.303,1845.476,2544.2034,2247.9085,2078.5319,1858.8116,1199.866,1634.724,1592.6847,1655.6529,1602.4618,1556.5683,1614.902,1902.3781,1920.3881,2009.7897,2132.1347,1494.4867,1316.0848,2643.0726,1779.3962,1535.4227,1593.3489,1677.7306,2045.9449,2239.2363,2040.4947,1680.9054,1402.5216,1636.5548,1995.8679,1820.5944,1794.1305,1519.2722,1573.0989,2222.6263,2306.9885,1872.8536,1899.7014,1781.7983,1500.7312,1745.9814,2258.81,2102.6776,1687.2168,1596.6901,1692.0441,1832.947,2084.6237,2085.5141,1701.7629,1291.5923,1630.1151,1693.7854,1638.9781,1541.6951,1819.3166,1934.2074,1665.8515,1038.6888,1939.2156,2182.7516,1625.7393,2026.5516,1823.1884,1934.2613,2088.7636,1988.7048,1872.5705,1486.4419,1911.138,1432.3184,1986.8104,1687.7285,1527.734,2191.8128,2066.7922,1792.4751,2036.5837,2037.7862,2108.4317,2071.7059,1845.972,1706.8153,1998.8482
"Central_Valley","BLM",148.634,98.7561,128.5813,306.3299,244.1202,243.4191,132.5479,76.9981,135.7538,190.6624,233.1084,186.1181,110.4873,128.1585,189.8123,191.469,295.618,131.5866,101.5528,121.0833,151.7937,214.2647,145.9847,82.4351,101.7528,108.9882,148.4528,211.2129,212.4846,89.0531,79.457,104.5818,143.1278,152.7823,148.4761,106.104,110.5291,135.7918,235.5795,134.8515,95.6214,68.7603,74.7528,142.2984,184.7209,89.8557,70.7751,99.68,146.2735,147.8493,83.524,111.6816,91.3661,121.6659,112.311,163.8773,80.3579,112.4818,66.9352,72.5377,91.1103,108.6635,93.3079,57.3456,72.3471,73.1223,97.6284,92.0524,91.5712,100.6235,68.9882,141.2313,135.19,119.59,133.6914,124.0743,68.6507,63.477,97.7037,79.7864,136.6861,94.9279,78.2532,66.5704,88.526,180.9579,79.4781,75.1373,57.0212,121.8768,115.0899,106.3494,116.1774,84.2935,98.3442,78.9886,105.5825,176.2268,89.7061,123.7467
