Scenario,Wildfire,LULCC
EcoFlux,0,0
WildFire,1,0
LULCC,0,1
WildFire_LULCC,1,1
BAU_Manage,0,0
BAU_Manage_Wildfire,1,0
BAU_Manage_LULCC,0,1
BAU_All,1,1
BAU_MedSlash,1,0
BAU_HiSlash,1,0
BAU_Plus,1,1
Private_clearcut,1,0
Private_partial_cut,1,0
Private_thinning,1,0
Private_understory,1,0
Private_burn,1,0
Private_reforestation,1,0
Private_afforestation,1,0
USFS_thinning,1,0
USFS_understory,1,0
USFS_burn,1,0
USFS_reforestation,1,0
USFS_afforestation,1,0
Private_clearcut_HiSlashUtil,1,0
Private_clearcut_MedSlashUtil,1,0
Private_partial_cut_HiSlashUtil,1,0
Private_partial_cut_MedSlashUti,1,0
Private_thinning_HiSlashUtil,1,0
Private_thinning_MedSlashUtil,1,0
Private_understory_HiSlashUtil,1,0
Private_understory_MedSlashUtil,1,0
Private_burn_HiSlashUtil,1,0
Private_burn_MedSlashUtil,1,0
USFS_thinning_HiSlashUtil,1,0
USFS_thinning_MedSlashUtil,1,0
USFS_understory_HiSlashUtil,1,0
USFS_understory_MedSlashUtil,1,0
USFS_burn_HiSlashUtil,1,0
USFS_burn_MedSlashUtil,1,0
Delta_fresh_marsh_restoration,0,0
Coastal_marsh_restoration,0,0
Meadow_restoration,1,0
Woodland_restoration,1,0
Cultivated_soil_conservation,0,0
Grassland_compost_low,0,0
Grassland_compost_med,0,0
Urban_forest_expansion,0,0
Urban_forest_exp_LULCC,0,1
Growth_reduction,0,1
Growth_red_urb_frst_exp,0,1
Private_harvest,1,0
Private_clear2partial,1,0
Private_clear2reserve,1,0
Private_partial2reserve,1,0
