zone,label,non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs
100001,,5686,0,0,0,0,0,0,0,0,nan,0,0
100002,,4532,0,0,0,0,0,0,0,0,nan,0,0
100003,,4014,0,0,0,0,0,0,0,0,nan,0,0
100004,,82616,0,0,0,0,0,0,0,0,nan,0,0
100005,,257,0,0,0,0,0,0,0,0,nan,0,0
100006,,120691,0,0,0,0,0,0,0,0,nan,0,0
100007,,145823,0,0,0,0,0,0,0,0,nan,0,0
100008,,40336,0,0,0,0,0,0,0,0,nan,0,0
100009,,71,0,0,0,0,0,0,0,0,nan,0,0
102001,,254695,0,0,1.52280000448227,1.52280000448227,1.52053399532267,1.52053399532267,0.0586987561434253,0.0034455439727853,3.86040406357169,387272.405938707,387272.405938707
102002,,4026,0,0,1.52280000448227,1.52280000448227,1.49897079427807,1.49897079427807,0.188995476524185,0.0357192901466036,12.6083494919064,6034.85641776352,6034.85641776352
102003,,4485,0,0,1.52280000448227,1.52280000448227,1.15338943483308,1.15338943483308,0.65274363125882,0.42607424814895,56.5935157324627,5172.95161522635,5172.95161522635
102004,,5874,0,0,1.52280000448227,1.52280000448227,0.979165069276431,0.979165069276431,0.729594640188507,0.532308338991797,74.5119145975716,5751.61561692975,5751.61561692975
102005,,1340,0,1.52280000448227,1.52280000448227,0,1.52280000448223,1.52280000448223,2.17190132285294e-07,4.71715535621034e-14,1.42625513295254e-05,2040.55200600619,2040.55200600619
102006,,13690,0,0,1.52280000448227,1.52280000448227,1.46506931037511,1.46506931037511,0.290825494418653,0.0845794682038542,19.850630434965,20056.7988590352,20056.7988590352
102007,,664068,0,0,1.52280000448227,1.52280000448227,1.47409144616375,1.47409144616375,0.267956841986371,0.071800869167309,18.1777624911748,978896.958471072,978896.958471072
102008,,27666,0,0,1.52280000448227,1.52280000448227,1.51014027770383,1.51014027770383,0.13826772332517,0.0191179633135258,9.15595228910833,41779.540922954,41779.540922954
102009,,8221,0,0,1.52280000448227,1.52280000448227,1.52094767507672,1.52094767507672,0.0530782074175071,0.00281729610265591,3.48981153574725,12503.7108368057,12503.7108368057
103001,,27459,0,1.51810000896454,1.52280000448227,0.0046999955177307,1.52030135068705,1.52030135068705,0.00234529121213397,5.50039086971285e-06,0.154264890383351,41745.9547885157,41745.9547885157
103002,,1435,0,1.52280000448227,1.52280000448227,0,1.52280000448223,1.52280000448223,2.36164965901329e-07,5.57738911191761e-14,1.55086002893485e-05,2185.218006432,2185.218006432
103003,,3070,0,1.51810000896454,1.52280000448227,0.0046999955177307,1.5227540761873,1.5227540761873,0.000462334638241167,2.13753317717591e-07,0.0303617403145471,4674.855013895,4674.855013895
103004,,2666,0,1.51810000896454,1.52280000448227,0.0046999955177307,1.52279295272599,1.52279295272599,0.000181916480771946,3.30936059764499e-08,0.011946238682435,4059.76601196749,4059.76601196749
103005,,1047,0,1.51810000896454,1.52280000448227,0.0046999955177307,1.52274164732682,1.52274164732682,0.000520454442259361,2.70872826467503e-07,0.0341787750517641,1594.31050475118,1594.31050475118
103006,,7746,0,1.51810000896454,1.52280000448227,0.0046999955177307,1.52244383389521,1.52244383389521,0.0012438416778676,1.54714211960049e-06,0.0817003327265742,11792.8499373523,11792.8499373523
103007,,96733,0,1.51810000896454,1.52280000448227,0.0046999955177307,1.5218213104523,1.5218213104523,0.00190840586767722,3.64201295578483e-06,0.125402756195471,147210.340823982,147210.340823982
103008,,3811,0,1.51810000896454,1.52280000448227,0.0046999955177307,1.52134474478375,1.52134474478375,0.00217300098874526,4.72193329708787e-06,0.14283422585156,5797.84482237087,5797.84482237087
103009,,5026,0,1.51810000896454,1.52280000448227,0.0046999955177307,1.52044533104134,1.52044533104134,0.00234999317552493,5.52246792501375e-06,0.154559531181266,7641.75823381376,7641.75823381376
104001,,268038,0,0.0235000003501773,9.94049982070923,9.91699982035905,0.244176902822282,0.244176902822282,0.257017230833891,0.0660578569455215,105.258616954837,65448.6886786788,65448.6886786788
104002,,61644,0,0.122199995517731,0.700300004482269,0.578100008964539,0.699620439550638,0.699620439550638,0.0193718671336859,0.000375269236245182,2.76891097494641,43127.4023756595,43127.4023756595
104003,,125751,0,0.0470000007003546,13.8039003944397,13.7569003937393,0.649086706882246,0.649086706882246,0.273944296462083,0.0750454775641054,42.2045766085578,81623.3024771494,81623.3024771494
104004,,93600,0,0.0470000007003546,0.700300004482269,0.653300003781915,0.608807875041133,0.608807875041133,0.201546324224249,0.0406209208083061,33.1050783813583,56984.4171038501,56984.4171038501
104005,,21227,0,0.075199998319149,0.700300004482269,0.62510000616312,0.446496679667571,0.446496679667571,0.272676822496019,0.0743526495265256,61.0702912055326,9477.78501930352,9477.78501930352
104006,,25390,0,0.0470000007003546,20.0361005020142,19.9891005013138,0.620266722600354,0.620266722600354,0.348611085686478,0.121529689063505,56.2034158829269,15748.572086823,15748.572086823
104007,,2697473,0,0.0235000003501773,20.0361005020142,20.012600501664,0.579105352931872,0.579105352931872,0.245101243990795,0.0600746198058352,42.3241199118443,1562121.0536892,1562121.0536892
104008,,120507,0,0.0235000003501773,0.700300004482269,0.676800004132092,0.540212831193667,0.540212831193667,0.258419691547992,0.0667807369797594,47.8366444900951,65099.4276486553,65099.4276486553
104009,,37452,0,0.075199998319149,20.0361005020142,19.960900503695,0.613805420909158,0.613805420909158,0.284800332867904,0.0811112296016691,46.3991231042018,22988.2406238898,22988.2406238898
105001,,705833,0,0.084600003361702,5.9925,5.9078999966383,1.53138051916013,1.53138051916013,1.17620660216931,1.38346197098668,76.8069455927514,1080898.90598035,1080898.90598035
105002,,158453,0,0.084600003361702,5.9925,5.9078999966383,3.04204619001292,3.04204619001292,0.869592366703974,0.756190884229818,28.5857712995568,482021.344946117,482021.344946117
105003,,243844,0,0.084600003361702,5.9925,5.9078999966383,2.8210491414602,2.8210491414602,0.88370835207778,0.780940451532025,31.3255213845855,687895.90685022,687895.90685022
105004,,205509,0,0.084600003361702,5.9925,5.9078999966383,2.84586581238526,2.84586581238526,1.03845195778375,1.07838246862491,36.4898426786108,584851.037237483,584851.037237483
105005,,71769,0,0.084600003361702,5.9925,5.9078999966383,3.25978616195099,3.25978616195099,0.7523401545423,0.566015708136731,23.0794327346927,233951.59305706,233951.59305706
105006,,265427,0,0.084600003361702,5.9925,5.9078999966383,2.75795173398925,2.75795173398925,1.00240031394288,1.00480638939279,36.3458251132248,732034.854897564,732034.854897564
105007,,3571059,0,0.084600003361702,5.9925,5.9078999966383,2.68665061593251,2.68665061593251,1.04927166777519,1.10097103279573,39.0550100393683,9594187.86188132,9594187.86188132
105008,,184060,0,0.084600003361702,5.9925,5.9078999966383,2.35850115488478,2.35850115488478,1.22954531519173,1.51178168210994,52.1324873064054,434105.722568093,434105.722568093
105009,,469678,0,0.084600003361702,5.9925,5.9078999966383,2.52616192942175,2.52616192942175,1.2153024671215,1.4769600865916,48.1086526151428,1186482.68268695,1186482.68268695
106001,,731641,0,1.5275,1.53219999551773,0.0046999955177307,1.52888944021088,1.52888944021088,0.00214472759555553,4.59985645913741e-06,0.140280097379685,1118598.19892533,1118598.19892533
106002,,429150,0,1.5275,1.53219999551773,0.0046999955177307,1.52764561608152,1.52764561608152,0.000814368408047186,6.63195904025307e-07,0.0533087254972181,655589.116141385,655589.116141385
106003,,502272,0,1.5275,1.53219999551773,0.0046999955177307,1.52786733686618,1.52786733686618,0.00126157254613366,1.59156528915818e-06,0.0825708172229982,767404.983022451,767404.983022451
106004,,440833,0,1.5275,1.53219999551773,0.0046999955177307,1.52767896601508,1.52767896601508,0.000899510000373411,8.09118240771773e-07,0.0588808264291131,673451.301625327,673451.301625327
106005,,14718,0,1.5275,1.53219999551773,0.0046999955177307,1.52852730571984,1.52852730571984,0.00194241453148503,3.7729742121242e-06,0.127077515999642,22496.8648855846,22496.8648855846
106006,,822389,0,1.5275,1.53219999551773,0.0046999955177307,1.52761576408872,1.52761576408872,0.000728484235761227,5.30689281752619e-07,0.0476876615760637,1256294.40061316,1256294.40061316
106007,,9606133,0,1.5275,1.53219999551773,0.0046999955177307,1.52794605685873,1.52794605685873,0.00137751987903998,1.89756101715032e-06,0.090155007296003,14677653.0390105,14677653.0390105
106008,,394578,0,1.5275,1.53219999551773,0.0046999955177307,1.52776042000333,1.52776042000333,0.00107524340603328,1.15614838221805e-06,0.0703803680181044,602820.651004073,602820.651004073
106009,,285935,0,1.5275,1.53219999551773,0.0046999955177307,1.52802766977933,1.52802766977933,0.00148377767383419,2.20159618536879e-06,0.0971041102971953,436916.591758353,436916.591758353
107001,,292631,0,1.08099997758865,30.9730007171631,29.8920007395744,7.15631324905817,7.15631324905817,3.09379820502471,9.57158733341411,43.2317325605035,2094159.10238514,2094159.10238514
107002,,91629,0,1.08099997758865,30.9730007171631,29.8920007395744,7.44541043649829,7.44541043649829,2.66708893610058,7.11336339307012,35.8219195415499,682215.512885902,682215.512885902
107003,,174601,0,1.08099997758865,52.64,51.5590000224113,10.4397813243165,10.4397813243165,5.80349186030048,33.680517772574,55.5901668819719,1822796.25900699,1822796.25900699
107004,,115301,0,1.08099997758865,74.3539985656738,73.2729985880852,12.7155495022545,12.7155495022545,6.31530614801771,39.8830917431903,49.6660104771563,1466115.57315944,1466115.57315944
107005,,26269,0,1.08099997758865,74.3539985656738,73.2729985880852,7.21657053173255,7.21657053173255,4.64188362198733,21.5470835600742,64.3225698630138,189572.091298082,189572.091298082
107006,,148951,0,1.08099997758865,52.64,51.5590000224113,7.7486220255584,7.7486220255584,4.34734141245421,18.8993773564394,56.104703495857,1154164.99932895,1154164.99932895
107007,,2825381,0,1.08099997758865,74.3539985656738,73.2729985880852,8.3578257214234,8.3578257214234,4.35572301058757,18.9723229449621,52.1155041486766,23614041.994621,23614041.994621
107008,,142996,0,1.55099997758865,74.3539985656738,72.8029985880852,11.6345530594953,11.6345530594953,8.33234604646258,69.4279906380006,71.6172422254096,1663694.5492956,1663694.5492956
107009,,279896,0,1.08099997758865,49.7730007171631,48.6920007395744,6.4051001764653,6.4051001764653,3.07669681804912,9.4660633101936,48.0351084804894,1792761.91899193,1792761.91899193
108001,,130001,0,0.300799993276596,106.210597991943,105.909797998667,11.1479536548452,11.1479536548452,6.28007115091757,39.4392936605871,56.3338469584332,1449245.12308353,1449245.12308353
108002,,201155,0,0.282000011205673,61.4760014343262,61.1940014231205,10.7162152609191,10.7162152609191,5.09654588110024,25.9747799181599,47.5591965727567,2155620.28081017,2155620.28081017
108003,,412163,0,0.282000011205673,130.166505737305,129.884505726099,15.8294028621431,15.8294028621431,8.68074960036794,75.3554136242881,54.8394002980899,6524294.17186947,6524294.17186947
108004,,554688,0,0.282000011205673,130.166505737305,129.884505726099,22.2592151885622,22.2592151885622,12.5207631353512,156.769509491571,56.2497960026235,12346919.5545132,12346919.5545132
108005,,13860,0,1.69199995517731,109.181001434326,107.489001479149,24.8994042590141,24.8994042590141,15.1457468780097,229.393648492739,60.8277480073708,345105.743029936,345105.743029936
108006,,580597,0,0.282000011205673,109.181001434326,108.89900142312,10.4901650069056,10.4901650069056,7.36376068512592,54.2249714278061,70.196805105338,6090558.3325144,6090558.3325144
108007,,2438692,0,0.282000011205673,130.166505737305,129.884505726099,15.1677700783422,15.1677700783422,9.84538787082708,96.9316623270289,64.909922948299,36989519.5478925,36989519.5478925
108008,,329121,0,0.282000011205673,109.181001434326,108.89900142312,17.6876803604767,17.6876803604767,13.990609832088,195.737163473719,79.0980476069106,5821387.04792046,5821387.04792046
108009,,308370,0,0.282000011205673,103.682002868652,103.400002857447,8.86229123031953,8.86229123031953,5.92823654030108,35.1439884777609,66.8928202226021,2732864.74669363,2732864.74669363
109001,,5734,0,0.564000022411346,186.59,186.025999977589,18.7058330219688,18.7058330219688,21.9811155420147,483.1694404714,117.509418138178,107259.246547969,107259.246547969
109002,,3738,0,0.47,186.59,186.12,25.8396333002127,25.8396333002127,21.5574201740738,464.722364561563,83.4277325982654,96588.5492761951,96588.5492761951
109003,,99500,0,0.376000005602837,213.192002868652,212.81600286305,43.7852964932525,43.7852964932525,34.1809788823345,1168.3393173546,78.0649707090643,4356637.00107862,4356637.00107862
109004,,190627,0,0.422999988794327,213.192002868652,212.769002879858,58.0259561355403,58.0259561355403,32.4882668109663,1055.48748038053,55.9891968605883,11061313.9402496,11061313.9402496
