zone,label,non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs
100001,,5686,0,0,0,0,0,0,0,0,nan,0,0
100002,,4532,0,0,0,0,0,0,0,0,nan,0,0
100003,,4014,0,0,0,0,0,0,0,0,nan,0,0
100004,,82616,0,0,0,0,0,0,0,0,nan,0,0
100005,,257,0,0,0,0,0,0,0,0,nan,0,0
100006,,120691,0,0,0,0,0,0,0,0,nan,0,0
100007,,145823,0,0,0,0,0,0,0,0,nan,0,0
100008,,40336,0,0,0,0,0,0,0,0,nan,0,0
100009,,71,0,0,0,0,0,0,0,0,nan,0,0
102001,,254695,0,0,0.376000005602837,0.376000005602837,0.375440497165092,0.375440497165092,0.01449352009841,0.000210062124843014,3.86040403415425,95622.8174254631,95622.8174254631
102002,,4026,0,0,0.376000005602837,0.376000005602837,0.370116249926506,0.370116249926506,0.0466655503171284,0.00217767358640044,12.6083494919217,1490.08802220411,1490.08802220411
102003,,4485,0,0,0.376000005602837,0.376000005602837,0.284787518179011,0.284787518179011,0.161171268904727,0.0259761779203599,56.5935157324622,1277.27201903286,1277.27201903286
102004,,5874,0,0,0.376000005602837,0.376000005602837,0.241769155798769,0.241769155798769,0.180146826892054,0.0324528792392755,74.5119145975735,1420.15202116197,1420.15202116197
102005,,1340,0,0.376000005602837,0.376000005602837,0,0.376000005602847,0.376000005602847,0,0,0,503.840007507816,503.840007507816
102006,,13690,0,0,0.376000005602837,0.376000005602837,0.361745513060192,0.361745513060192,0.0718087649125259,0.00515649871826241,19.8506304349316,4952.29607379403,4952.29607379403
102007,,664068,0,0,0.376000005602837,0.376000005602837,0.36397320094265,0.36397320094265,0.066162183983378,0.00437743458945036,18.1777624869153,241702.955603584,241702.955603584
102008,,27666,0,0,0.376000005602837,0.376000005602837,0.372874147101729,0.372874147101729,0.0341401790060158,0.0011655518225628,9.15595228882994,10315.9361537164,10315.9361537164
102009,,8221,0,0,0.376000005602837,0.376000005602837,0.375542640311967,0.375542640311967,0.013105730385705,0.000171760168942792,3.48981153639915,3087.33604600468,3087.33604600468
103001,,27459,0,0.19739999383688,0.667399979829788,0.469999985992908,0.417534369445885,0.417534369445885,0.234529337457115,0.0550040101280732,56.1700675727274,11465.0762506145,11465.0762506145
103002,,1435,0,0.667399979829788,0.667399979829788,0,0.667399979829808,0.667399979829808,0,0,0,957.718971055775,957.718971055775
103003,,3070,0,0.19739999383688,0.667399979829788,0.469999985992908,0.662807146090423,0.662807146090423,0.0462335124282109,0.00213753767144953,6.97540946879042,2034.8179384976,2034.8179384976
103004,,2666,0,0.19739999383688,0.667399979829788,0.469999985992908,0.666694803556716,0.666694803556716,0.0181916344763255,0.000330935564920236,2.72863000870502,1777.40834628221,1777.40834628221
103005,,1047,0,0.19739999383688,0.667399979829788,0.469999985992908,0.661564258895787,0.661564258895787,0.052045490855657,0.00270873311840628,7.86703485803871,692.657779063889,692.657779063889
103006,,7746,0,0.19739999383688,0.667399979829788,0.469999985992908,0.631782888198275,0.631782888198275,0.124384305085379,0.0154714553515727,19.6878243157392,4893.79025198384,4893.79025198384
103007,,96733,0,0.19739999383688,0.667399979829788,0.469999985992908,0.569530486297115,0.569530486297115,0.190840831126044,0.0364202228248791,33.5084487516767,55092.3925309788,55092.3925309788
103008,,3811,0,0.19739999383688,0.667399979829788,0.469999985992908,0.521873875533873,0.521873875533873,0.217300299008471,0.047219419949171,41.6384703653109,1988.86133965959,1988.86133965959
103009,,5026,0,0.19739999383688,0.667399979829788,0.469999985992908,0.431932418204186,0.431932418204186,0.234999527846208,0.0552247780879405,54.406550178208,2170.89233389424,2170.89233389424
104001,,268038,0,0.075199998319149,19.8057997131348,19.7305997148156,1.16392773230626,1.16392773230626,1.22929051789688,1.51115517739119,105.615708241706,311976.861511906,311976.861511906
104002,,61644,0,0.488799982070923,3.38870001792908,2.89990003585815,3.38517486540153,3.38517486540153,0.100351313034188,0.0100703860276857,2.96443513331727,208675.719402812,208675.719402812
104003,,125751,0,0.300799993276596,30.2632997131348,29.9624997198582,3.11027654601003,3.11027654601003,0.966669825884442,0.934450552275457,31.0798673875003,391120.385937307,391120.385937307
104004,,93600,0,0.300799993276596,3.38870001792908,3.08790002465248,2.89334441579464,2.89334441579464,1.09096417849528,1.19020283875989,37.705990774543,270817.037318379,270817.037318379
104005,,21227,0,0.310200012326241,3.38870001792908,3.07850000560284,2.04790383163557,2.04790383163557,1.43894116158915,2.07055166651553,70.2640983116834,43470.8546341283,43470.8546341283
104006,,25390,0,0.300799993276596,42.9297982788086,42.628998285532,2.9578582875332,2.9578582875332,1.18870426495576,1.41301782952402,40.1880059624871,75100.0219204679,75100.0219204679
104007,,2697473,0,0.075199998319149,42.9297982788086,42.8545982804894,2.79430470157608,2.79430470157608,1.173846611554,1.37791586745681,42.0085401170429,7537561.48627452,7537561.48627452
104008,,120507,0,0.075199998319149,3.38870001792908,3.31350001960993,2.59692038841771,2.59692038841771,1.27746337666622,1.63191267872347,49.1914724210924,312947.085247053,312947.085247053
104009,,37452,0,0.310200012326241,42.9297982788086,42.6195982664823,2.92795443953866,2.92795443953866,1.13437001802353,1.28679533779071,38.7427482718026,109657.749669602,109657.749669602
105001,,705833,0,0.310200012326241,39.95,39.6397999876738,8.72531070664266,8.72531070664266,8.97370252835757,80.5273370674511,102.846796292604,6158612.23200171,6158612.23200171
105002,,158453,0,0.310200012326241,39.95,39.6397999876738,20.259005237112,20.259005237112,5.88411560245622,34.6228164230687,29.0444448460739,3210100.15683611,3210100.15683611
105003,,243844,0,0.310200012326241,39.95,39.6397999876738,18.7316735770773,18.7316735770773,6.01117851853702,36.1342671817209,32.0909847900251,4567606.21172883,4567606.21172883
105004,,205509,0,0.310200012326241,39.95,39.6397999876738,18.8424757417325,18.8424757417325,7.05887934158013,49.8277775589867,37.4625895149546,3872298.3472077,3872298.3472077
105005,,71769,0,0.531099997758865,39.95,39.4189000022411,21.7324030717128,21.7324030717128,5.02120567024895,25.2125063829402,23.1046960323712,1559712.83605376,1559712.83605376
105006,,265427,0,0.310200012326241,39.95,39.6397999876738,18.0907903792735,18.0907903792735,7.28150342505916,53.0202921291483,40.2497805369606,4801784.21799943,4801784.21799943
105007,,3571059,0,0.310200012326241,39.95,39.6397999876738,17.6441970262014,17.6441970262014,7.47100689145492,55.815943972167,42.3425723503346,63008468.5881898,63008468.5881898
105008,,184060,0,0.310200012326241,39.95,39.6397999876738,15.0873948253693,15.0873948253693,8.96303532713128,80.3360022754034,59.4074419797115,2776985.89155748,2776985.89155748
105009,,469678,0,0.310200012326241,39.95,39.6397999876738,16.2143835660649,16.2143835660649,9.01589136633723,81.2862971295942,55.6042807893519,7615539.24454221,7615539.24454221
106001,,731641,0,1.01990003585815,1.76719999551773,0.747299959659576,1.25114035427278,1.25114035427278,0.162464522398377,0.0263947210381328,12.9853155038556,915385.57994049,915385.57994049
106002,,429150,0,1.01990003585815,1.76719999551773,0.747299959659576,1.32645730060764,1.32645730060764,0.0601157613920587,0.00361390476774694,4.53205401821229,569249.150555768,569249.150555768
106003,,502272,0,1.01990003585815,1.76719999551773,0.747299959659576,1.31118528043793,1.31118528043793,0.0873132137839782,0.00762359730128667,6.6591057028047,658571.653176121,658571.653176121
106004,,440833,0,1.01990003585815,1.76719999551773,0.747299959659576,1.32352820620616,1.32352820620616,0.0629262591080536,0.0039597140853339,4.75443279659519,583454.909726479,583454.909726479
106005,,14718,0,1.01990003585815,1.76719999551773,0.747299959659576,1.26802695705325,1.26802695705325,0.134554910857279,0.0181050240358102,10.611360437476,18662.8207539097,18662.8207539097
106006,,822389,0,1.01990003585815,1.76719999551773,0.747299959659576,1.32738762410093,1.32738762410093,0.0503604053527982,0.00253617042729815,3.7939486882672,1091628.98079674,1091628.98079674
106007,,9606133,0,1.01990003585815,1.76719999551773,0.747299959659576,1.30730358744922,1.30730358744922,0.0984286669705441,0.00968820248159829,7.52913614829096,12558132.1324144,12558132.1324144
106008,,394578,0,1.01990003585815,1.76719999551773,0.747299959659576,1.31860875237249,1.31860875237249,0.0759984846353612,0.00577576966687123,5.7635355823797,520294.004293631,520294.004293631
106009,,285935,0,1.01990003585815,1.76719999551773,0.747299959659576,1.30441979062286,1.30441979062286,0.111178356915369,0.0123606270464011,8.52320378106817,372979.272831746,372979.272831746
107001,,292631,0,2.82,78.02,75.2,17.1333575877166,17.1333575877166,7.0375513744832,49.5271293484904,41.0751444277834,5013751.56425111,5013751.56425111
107002,,91629,0,2.82,78.02,75.2,18.0890955471205,18.0890955471205,6.46222025453222,41.7602906180865,35.7243967101545,1657485.7358871,1657485.7358871
107003,,174601,0,2.82,152.844005737305,150.024005737305,25.9779151356863,25.9779151356863,15.0756942717494,227.276557775256,58.0327335469644,4535769.96060596,4535769.96060596
107004,,115301,0,2.82,169.67,166.85,31.8923237026265,31.8923237026265,16.3413826047497,267.040785434816,51.2392347359873,3677216.81523654,3677216.81523654
107005,,26269,0,2.82,169.67,166.85,17.6240918748803,17.6240918748803,11.7710866095602,138.558479969768,66.7897483349914,462967.269461231,462967.269461231
107006,,148951,0,2.82,152.844005737305,150.024005737305,19.5462667652126,19.5462667652126,11.1546154984141,124.42544691746,57.0677543307988,2911435.98094518,2911435.98094518
107007,,2825381,0,2.82,169.67,166.85,20.4132442844992,20.4132442844992,10.9469405459374,119.835507316288,53.6266572494307,57675192.5497828,57675192.5497828
107008,,142996,0,3.68009996414185,187.342002868652,183.66190290451,29.614674514745,29.614674514745,22.5072311648201,506.575454706651,76.000265184795,4234779.99691048,4234779.99691048
107009,,279896,0,2.82,136.910994262695,134.090994262695,15.5848543217818,15.5848543217818,7.37642980838691,54.4117167180589,47.3307588000833,4362138.38524944,4362138.38524944
108001,,130001,0,0.479399991035461,285.299409179687,284.820009188652,28.3147749413352,28.3147749413352,16.5718135431346,274.625004108418,58.5270890461583,3680949.05714852,3680949.05714852
108002,,201155,0,0.235,169.575994262695,169.340994262695,27.726418526645,27.726418526645,14.5092726553087,210.51899298609,52.3301364774732,5577307.71872727,5577307.71872727
108003,,412163,0,0.235,379.031505737305,378.796505737305,40.4021024215485,40.4021024215485,24.2422105055323,587.684770194539,60.0023490178637,16652251.7403727,16652251.7403727
108004,,554688,0,0.235,346.310108032227,346.075108032227,56.4506797177778,56.4506797177778,32.9410959114912,1085.11579985006,58.3537631011327,31312514.6312947,31312514.6312947
108005,,13860,0,3.85399991035461,337.600994262695,333.746994352341,60.8665763909551,60.8665763909551,38.3749463775727,1472.63650948158,63.0476505382605,843610.748778638,843610.748778638
108006,,580597,0,0.235,337.600994262695,337.365994262695,26.8028348783031,26.8028348783031,19.8167224251004,392.702487673478,73.935173331766,15561645.5218381,15561645.5218381
108007,,2438692,0,0.235,379.031505737305,378.796505737305,38.8734927382292,38.8734927382292,26.9418192054734,725.861622100414,69.306402146309,94800475.7527777,94800475.7527777
108008,,329121,0,0.235,337.600994262695,337.365994262695,45.3785137909053,45.3785137909053,38.7120013685474,1498.61904995842,85.3090992510779,14935021.8373765,14935021.8373765
108009,,308370,0,0.235,337.600994262695,337.365994262695,22.635831564399,22.635831564399,16.2273384442736,263.326512984999,71.6887223608585,6980211.37951372,6980211.37951372
109001,,5734,0,1.31599997758865,475.358011474609,474.042011497021,57.024594911844,57.024594911844,55.403900182052,3069.59215538278,97.157902248499,326979.027224514,326979.027224514
109002,,3738,0,0.286700006723404,475.358011474609,475.071311467886,72.900268646983,72.900268646983,55.0495149008352,3030.44909081727,75.5134595832705,272501.204202423,272501.204202423
109003,,99500,0,0.286700006723404,534.061022949219,533.774322942495,117.443535023095,117.443535023095,90.5186511304009,8193.62620246722,77.0741881301518,11685631.7347979,11685631.7347979
109004,,190627,0,0.286700006723404,534.061022949219,533.774322942495,153.514613727763,153.514613727763,88.1598051201541,7772.15123882355,57.4276304902759,29264030.2710823,29264030.2710823
109005,,889,0,6.01600008964539,475.358011474609,469.342011384964,174.523712943809,174.523712943809,70.453899450647,4963.75194780188,40.3692416705178,155151.580807046,155151.580807046
109006,,146759,0,0.986999955177307,475.358011474609,474.371011519432,80.830291189485,80.830291189485,76.4018820386969,5837.24757905495,94.5213495019994,11862572.7046776,11862572.7046776
