zone,label,non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs
100001,,5686,0,0,0,0,0,0,0,0,nan,0,0
100002,,4532,0,0,0,0,0,0,0,0,nan,0,0
100003,,4014,0,0,0,0,0,0,0,0,nan,0,0
100004,,82616,0,0,0,0,0,0,0,0,nan,0,0
100005,,257,0,0,0,0,0,0,0,0,nan,0,0
100006,,120691,0,0,0,0,0,0,0,0,nan,0,0
100007,,145823,0,0,0,0,0,0,0,0,nan,0,0
100008,,40336,0,0,0,0,0,0,0,0,nan,0,0
100009,,71,0,0,0,0,0,0,0,0,nan,0,0
102001,,254695,0,0,1.59330004930496,1.59330004930496,1.59092913225617,1.59092913225617,0.0614162926318179,0.00377196100063709,3.86040404859018,405201.695339986,405201.695339986
102002,,4026,0,0,1.59330004930496,1.59330004930496,1.56836763422651,1.56836763422651,0.197745272641362,0.0391031928520068,12.6083494919153,6314.24809539592,6314.24809539592
102003,,4485,0,0,1.59330004930496,1.59330004930496,1.20678712764532,1.20678712764532,0.682963262941234,0.466438818527337,56.5935157324582,5412.44026748925,5412.44026748925
102004,,5874,0,0,1.59330004930496,1.59330004930496,1.02449681413435,1.02449681413435,0.763372191202635,0.582737102301512,74.5119145975721,6017.89428622518,6017.89428622518
102005,,1340,0,1.59330004930496,1.59330004930496,0,1.59330004930502,1.59330004930502,0,0,0,2135.02206606872,2135.02206606872
102006,,13690,0,0,1.59330004930496,1.59330004930496,1.53289663618663,1.53289663618663,0.304289646196632,0.0925921887824712,19.8506304347832,20985.354949395,20985.354949395
102007,,664068,0,0,1.59330004930496,1.59330004930496,1.5423364637316,1.5423364637316,0.2803622591782,0.0786029963715044,18.1777624902856,1024216.29079732,1024216.29079732
102008,,27666,0,0,1.59330004930496,1.59330004930496,1.58005422369406,1.58005422369406,0.144669010856127,0.0209291227020901,9.15595228864365,43713.7801527198,43713.7801527198
102009,,8221,0,0,1.59330004930496,1.59330004930496,1.59136196385368,1.59136196385368,0.0555355333986161,0.0030841954698688,3.48981153628493,13082.5867048411,13082.5867048411
103001,,27459,0,0.827199995517731,2.81060000896454,1.98340001344681,1.75616709457212,1.75616709457212,0.989713840276284,0.979533485634431,56.3564733296306,48222.5922498558,48222.5922498558
103002,,1435,0,2.81060000896454,2.81060000896454,0,2.81060000896459,2.81060000896459,0,0,0,4033.21101286419,4033.21101286419
103003,,3070,0,0.827199995517731,2.81060000896454,1.98340001344681,2.79121824987558,2.79121824987558,0.195105429580588,0.0380661286518259,6.98997398678104,8569.04002711804,8569.04002711804
103004,,2666,0,0.827199995517731,2.81060000896454,1.98340001344681,2.80762416498347,2.80762416498347,0.076768700290988,0.00589343334436754,2.73429404292935,7485.12602384593,7485.12602384593
103005,,1047,0,0.827199995517731,2.81060000896454,1.98340001344681,2.78597326572214,2.78597326572214,0.219631979445706,0.0482382063952388,7.88349199714146,2916.91400921108,2916.91400921108
103006,,7746,0,0.827199995517731,2.81060000896454,1.98340001344681,2.66029587678117,2.66029587678117,0.524901786662205,0.275521885641175,19.7309551634276,20606.651861547,20606.651861547
103007,,96733,0,0.827199995517731,2.81060000896454,1.98340001344681,2.39759073114741,2.39759073114741,0.805348336825243,0.648585943627184,33.5899003263092,231926.144196082,231926.144196082
103008,,3811,0,0.827199995517731,2.81060000896454,1.98340001344681,2.19647982637021,2.19647982637021,0.917007295361343,0.840902379745926,41.7489514063392,8370.78461829687,8370.78461829687
103009,,5026,0,0.827199995517731,2.81060000896454,1.98340001344681,1.81692686255411,1.81692686255411,0.991698043789176,0.983465010055278,54.5810656569366,9131.87441119694,9131.87441119694
104001,,268038,0,0.136299996078014,6.22279989242554,6.08649989634752,2.13659463442794,2.13659463442794,2.24935406923599,5.05959372878851,105.277530561535,572688.552622797,572688.552622797
104002,,61644,0,0.897699984312057,6.22279989242554,5.32509990811348,6.21632706148233,6.21632706148233,0.184264424632039,0.0339533781849763,2.96420093102533,383199.265378017,383199.265378017
104003,,125751,0,0.554599975347519,6.22279989242554,5.66819991707802,5.69540859612639,5.69540859612639,1.57924546699596,2.49401624502729,27.7283963097933,716203.326371489,716203.326371489
104004,,93600,0,0.554599975347519,6.22279989242554,5.66819991707802,5.31319806212431,5.31319806212431,2.00329870638263,4.01320570699434,37.7041977912203,497315.338614835,497315.338614835
104005,,21227,0,0.568700017929077,6.22279989242554,5.65409987449646,3.76068766176136,3.76068766176136,2.64233838307131,6.98195213065191,70.2621068465373,79828.1169962084,79828.1169962084
104006,,25390,0,0.554599975347519,8.58220010757446,8.02760013222694,5.40905923798224,5.40905923798224,1.90830460077432,3.64162644933644,35.2797874235554,137336.014052369,137336.014052369
104007,,2697473,0,0.136299996078014,8.58220010757446,8.44590011149645,5.13030389996258,5.13030389996258,2.14568351114902,4.60395773001681,41.8237116745594,13838856.2519438,13838856.2519438
104008,,120507,0,0.136299996078014,6.22279989242554,6.08649989634752,4.76883346294918,4.76883346294918,2.3458396046059,5.50296345053758,49.1910573693041,574677.814119617,574677.814119617
104009,,37452,0,0.568700017929077,8.58220010757446,8.01350008964538,5.36699306088526,5.36699306088526,1.93932379325891,3.76097677510013,36.1342705544514,201004.624116275,201004.624116275
105001,,705833,0,0.573400013446808,73.3904971313477,72.8170971179008,16.0270014416375,16.0270014416375,16.4857475464695,271.779872165924,102.862332710847,11312386.5085553,11312386.5085553
105002,,158453,0,0.573400013446808,73.3904971313477,72.8170971179008,37.2157669528075,37.2157669528075,10.8094899323374,116.845072597303,29.0454579265951,5896949.92097321,5896949.92097321
105003,,243844,0,0.573400013446808,73.3904971313477,72.8170971179008,34.4101260957127,34.4101260957127,11.0428568475996,121.944687356578,32.0918813749291,8390702.78768296,8390702.78768296
105004,,205509,0,0.573400013446808,73.3904971313477,72.8170971179008,34.6138158422148,34.6138158422148,12.9676012275017,168.158681595504,37.4636569588682,7113450.67991772,7113450.67991772
105005,,71769,0,0.977599964141846,73.3904971313477,72.4128971672058,39.9224645822955,39.9224645822955,9.22425574362193,85.0868940237422,23.1054265815859,2865195.36060676,2865195.36060676
105006,,265427,0,0.573400013446808,73.3904971313477,72.8170971179008,33.2325490445661,33.2325490445661,13.3767664290333,178.937880096913,40.2520023700095,8820815.79525205,8820815.79525205
105007,,3571059,0,0.573400013446808,73.3904971313477,72.8170971179008,32.4122594687235,32.4122594687235,13.7248694248897,188.372040730273,42.3446857758671,115746090.88612,115746090.88612
105008,,184060,0,0.573400013446808,73.3904971313477,72.8170971179008,27.715285564463,27.715285564463,16.4658970710351,271.125766353922,59.4108872980473,5101275.46099507,5101275.46099507
105009,,469678,0,0.573400013446808,73.3904971313477,72.8170971179008,29.7853573365051,29.7853573365051,16.563172607447,274.338686824081,55.6084401483645,13989527.0630951,13989527.0630951
106001,,731641,0,4.30990003585815,7.47299982070923,3.16309978485107,5.28035937575887,5.28035937575887,0.683393919957938,0.467027249835477,12.9421857742348,3863327.4140396,3863327.4140396
106002,,429150,0,4.30990003585815,7.47299982070923,3.16309978485107,5.59570490751274,5.59570490751274,0.252824473007218,0.0639202141513774,4.51818809579787,2401396.76105909,2401396.76105909
106003,,502272,0,4.30990003585815,7.47299982070923,3.16309978485107,5.53162574266944,5.53162574266944,0.366544705558871,0.134355021173239,6.62634680310068,2778380.72502206,2778380.72502206
106004,,440833,0,4.30990003585815,7.47299982070923,3.16309978485107,5.58337376783457,5.58337376783457,0.264255856020141,0.0698311574409375,4.73290642912894,2461335.40819582,2461335.40819582
106005,,14718,0,4.30990003585815,7.47299982070923,3.16309978485107,5.35068926100394,5.35068926100394,0.56484055038711,0.319044847361613,10.5564072745486,78751.444543456,78751.444543456
106006,,822389,0,4.30990003585815,7.47299982070923,3.16309978485107,5.59953521010943,5.59953521010943,0.211415251614254,0.0446964086151183,3.77558571705315,4604996.16190669,4604996.16190669
106007,,9606133,0,4.30990003585815,7.47299982070923,3.16309978485107,5.51543888204136,5.51543888204136,0.413563897550443,0.171035097357113,7.4982953559151,52982039.4542606,52982039.4542606
106008,,394578,0,4.30990003585815,7.47299982070923,3.16309978485107,5.56277738785758,5.56277738785758,0.319239236125616,0.101913689882067,5.7388461530467,2194949.57614607,2194949.57614607
106009,,285935,0,4.30990003585815,7.47299982070923,3.16309978485107,5.50351688273207,5.50351688273207,0.467677262610932,0.218722021963254,8.49778918782504,1573648.09986399,1573648.09986399
107001,,292631,0,0.371300010085106,13.6910996055603,13.3197995954752,3.22899095410586,3.22899095410586,1.31428314599327,1.72734018784195,40.7025960949836,944902.851890952,944902.851890952
107002,,91629,0,0.371300010085106,13.6910996055603,13.3197995954752,3.30131465852124,3.30131465852124,1.14252797220761,1.30537016727683,34.6082724728634,302496.160845642,302496.160845642
107003,,174601,0,0.371300010085106,32.7965994262695,32.4252994161844,4.51822214706729,4.51822214706729,2.76634030632184,7.65263869038079,61.2263013255651,788886.105100096,788886.105100096
107004,,115301,0,0.371300010085106,35.2781988525391,34.906898842454,5.27033354042336,5.27033354042336,3.10069728513875,9.6143236540668,58.8330370621984,607674.727544354,607674.727544354
107005,,26269,0,0.371300010085106,35.2781988525391,34.906898842454,3.25690425074058,3.25690425074058,2.1038148712522,4.42603701250192,64.5955394842761,85555.6177627044,85555.6177627044
107006,,148951,0,0.371300010085106,32.7965994262695,32.4252994161844,3.35597081177746,3.35597081177746,1.92515363608988,3.70621652255008,57.3650291991138,499875.208385065,499875.208385065
107007,,2825381,0,0.371300010085106,35.2781988525391,34.906898842454,3.70457015576385,3.70457015576385,2.03410058243391,4.13756517945796,54.907870465595,10466822.1312622,10466822.1312622
107008,,142996,0,0.639200006723404,37.8678998565674,37.228699849844,5.17170553694144,5.17170553694144,4.64632744404171,21.5883587172551,89.8412991778638,739533.204960478,739533.204960478
107009,,279896,0,0.371300010085106,30.3760987091064,30.0047986990213,2.90488514226578,2.90488514226578,1.34524060075237,1.80967227391259,46.3095969330853,813065.731779623,813065.731779623
108001,,130001,0,0.103399999439716,53.7821001434326,53.6787001439929,5.2507648281381,5.2507648281381,3.19779321206644,10.2258814271382,60.9014746752687,682604.678422781,682604.678422781
108002,,201155,0,0.0986999969184399,34.4932997131348,34.3945997162163,4.75754579157206,4.75754579157206,2.79806728712879,7.82918054330028,58.8132497239551,957004.123703678,957004.123703678
108003,,412163,0,0.0986999969184399,78.3302017211914,78.231501724273,6.95605721667016,6.95605721667016,4.66501331581541,21.7623492367351,67.0640446233784,2867029.41059442,2867029.41059442
108004,,554688,0,0.0986999969184399,74.6125,74.5138000030816,9.55318551838424,9.55318551838424,6.04110787992776,36.4949844169253,63.2365808064985,5299037.36882152,5299037.36882152
108005,,13860,0,0.742600020170212,74.6125,73.8698999798298,10.9874830259942,10.9874830259942,6.48213042903808,42.0180148990614,58.9955899244863,152286.51474028,152286.51474028
108006,,580597,0,0.0986999969184399,74.6125,74.5138000030816,4.54975309886153,4.54975309886153,3.57031562341213,12.7471536507807,78.4727334831755,2641572.99993971,2641572.99993971
108007,,2438692,0,0.0986999969184399,78.3302017211914,78.231501724273,6.82050256961931,6.82050256961931,5.15375878694009,26.5612296339622,75.562742398142,16633105.0525101,16633105.0525101
108008,,329121,0,0.0986999969184399,74.6125,74.5138000030816,7.89672163914576,7.89672163914576,7.33290465123906,53.7714906241634,92.8601131751721,2598976.92259729,2598976.92259729
108009,,308370,0,0.0986999969184399,74.6125,74.5138000030816,3.93301877455244,3.93301877455244,3.01882225128195,9.11328778483501,76.7558566161556,1212824.99950873,1212824.99950873
109001,,5734,0,0.0940000014007091,94.7237968444824,94.6297968430817,11.1807056990948,11.1807056990948,10.8909032752512,118.611774150877,97.4080131286607,64110.1664786097,64110.1664786097
109002,,3738,0,0.0940000014007091,94.7237968444824,94.6297968430817,14.2441597148213,14.2441597148213,10.942200079078,119.731742570575,76.8188527659687,53244.6690140021,53244.6690140021
109003,,99500,0,0.0187999995797873,107.155302581787,107.136502582207,23.2416941904682,23.2416941904682,17.7695528652362,315.757009030422,76.455497261141,2312548.57195158,2312548.57195158
109004,,190627,0,0.0187999995797873,107.155302581787,107.136502582207,30.1704822529066,30.1704822529066,17.5105186643867,306.618263895834,58.0385773008308,5751308.52042484,5751308.52042484
109005,,889,0,0.916500022411346,94.7237968444824,93.8072968220711,34.5645557759902,34.5645557759902,14.0792415373233,198.22504226629,40.7331765770971,30727.8900848553,30727.8900848553
