zone,label,non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs
100001,,5686,0,0,0,0,0,0,0,0,nan,0,0
100002,,4532,0,0,0,0,0,0,0,0,nan,0,0
100003,,4014,0,0,0,0,0,0,0,0,nan,0,0
100004,,82616,0,0,0,0,0,0,0,0,nan,0,0
100005,,257,0,0,0,0,0,0,0,0,nan,0,0
100006,,120691,0,0,0,0,0,0,0,0,nan,0,0
100007,,145823,0,0,0,0,0,0,0,0,nan,0,0
100008,,40336,0,0,0,0,0,0,0,0,nan,0,0
100009,,71,0,0,0,0,0,0,0,0,nan,0,0
102001,,254695,0,0,0,0,0,0,0,0,nan,0,0
102002,,4026,0,0,0,0,0,0,0,0,nan,0,0
102003,,4485,0,0,0,0,0,0,0,0,nan,0,0
102004,,5874,0,0,0,0,0,0,0,0,nan,0,0
102005,,1340,0,0,0,0,0,0,0,0,nan,0,0
102006,,13690,0,0,0,0,0,0,0,0,nan,0,0
102007,,664068,0,0,0,0,0,0,0,0,nan,0,0
102008,,27666,0,0,0,0,0,0,0,0,nan,0,0
102009,,8221,0,0,0,0,0,0,0,0,nan,0,0
103001,,27459,0,0,0,0,0,0,0,0,nan,0,0
103002,,1435,0,0,0,0,0,0,0,0,nan,0,0
103003,,3070,0,0,0,0,0,0,0,0,nan,0,0
103004,,2666,0,0,0,0,0,0,0,0,nan,0,0
103005,,1047,0,0,0,0,0,0,0,0,nan,0,0
103006,,7746,0,0,0,0,0,0,0,0,nan,0,0
103007,,96733,0,0,0,0,0,0,0,0,nan,0,0
103008,,3811,0,0,0,0,0,0,0,0,nan,0,0
103009,,5026,0,0,0,0,0,0,0,0,nan,0,0
104001,,268038,0,0,2.98449995517731,2.98449995517731,8.50965156973879e-05,8.50965156973879e-05,0.0146553705025288,0.000214779884566391,17222.0570753388,22.8090998744965,22.8090998744965
104002,,61644,0,0,0,0,0,0,0,0,nan,0,0
104003,,125751,0,0,3.97149991035461,3.97149991035461,0.00122460654273494,0.00122460654273494,0.0642209362937892,0.00412432865845093,5244.20979740671,153.995497355461,153.995497355461
104004,,93600,0,0,0,0,0,0,0,0,nan,0,0
104005,,21227,0,0,0,0,0,0,0,0,nan,0,0
104006,,25390,0,0,5.09950017929077,5.09950017929077,0.00170525402607717,0.00170525402607717,0.0802826237064139,0.00644529966918565,4707.95684858162,43.2963997220993,43.2963997220993
104007,,2697473,0,0,5.09950017929077,5.09950017929077,7.92918398258915e-05,7.92918398258915e-05,0.0159536108607036,0.000254517699494761,20120.1168944175,213.887597050667,213.887597050667
104008,,120507,0,0,0,0,0,0,0,0,nan,0,0
104009,,37452,0,0,5.09950017929077,5.09950017929077,0.000734641674198198,0.000734641674198198,0.055921949323587,0.00312726441614983,7612.13953518513,27.5137999820709,27.5137999820709
105001,,705833,0,0,0,0,0,0,0,0,nan,0,0
105002,,158453,0,0,0,0,0,0,0,0,nan,0,0
105003,,243844,0,0,0,0,0,0,0,0,nan,0,0
105004,,205509,0,0,0,0,0,0,0,0,nan,0,0
105005,,71769,0,0,0,0,0,0,0,0,nan,0,0
105006,,265427,0,0,0,0,0,0,0,0,nan,0,0
105007,,3571059,0,0,0,0,0,0,0,0,nan,0,0
105008,,184060,0,0,0,0,0,0,0,0,nan,0,0
105009,,469678,0,0,0,0,0,0,0,0,nan,0,0
106001,,731641,0,0,0,0,0,0,0,0,nan,0,0
106002,,429150,0,0,0,0,0,0,0,0,nan,0,0
106003,,502272,0,0,0,0,0,0,0,0,nan,0,0
106004,,440833,0,0,0,0,0,0,0,0,nan,0,0
106005,,14718,0,0,0,0,0,0,0,0,nan,0,0
106006,,822389,0,0,0,0,0,0,0,0,nan,0,0
106007,,9606133,0,0,0,0,0,0,0,0,nan,0,0
106008,,394578,0,0,0,0,0,0,0,0,nan,0,0
106009,,285935,0,0,0,0,0,0,0,0,nan,0,0
107001,,292631,0,1.04810000896454,4.15950017929077,3.11140017032623,1.80875403359412,1.80875403359412,0.344802508448679,0.118888769832502,19.062984908099,529297.501604681,529297.501604681
107002,,91629,0,1.04810000896454,4.15950017929077,3.11140017032623,1.82818919965371,1.82818919965371,0.375758853813406,0.141194716219165,20.553608668325,167515.14817507,167515.14817507
107003,,174601,0,1.04810000896454,5.65409987449646,4.60599986553192,2.32242151936865,2.32242151936865,0.730797255010922,0.534064627931498,31.4670376982035,405497.119703285,405497.119703285
107004,,115301,0,1.04810000896454,5.65409987449646,4.60599986553192,2.71663738996598,2.71663738996598,0.774639501693279,0.600066357583611,28.5146447794043,313231.007700467,313231.007700467
107005,,26269,0,1.04810000896454,5.65409987449646,4.60599986553192,1.84466725503013,1.84466725503013,0.543365274014005,0.295245821004314,29.4560047364818,48457.5641223865,48457.5641223865
107006,,148951,0,1.04810000896454,5.65409987449646,4.60599986553192,1.9952857176832,1.9952857176832,0.60532733204154,0.366421178916529,30.3378772612279,297199.802934631,297199.802934631
107007,,2825381,0,1.04810000896454,5.65409987449646,4.60599986553192,1.99628824567872,1.99628824567872,0.536169679476055,0.287477925189456,26.8583297345301,5640274.87986398,5640274.87986398
107008,,142996,0,1.04810000896454,5.65409987449646,4.60599986553192,2.4101063686269,2.4101063686269,0.823472946382025,0.678107693423094,34.1674938957644,344635.570288173,344635.570288173
107009,,279896,0,1.04810000896454,4.87389994621277,3.82579993724823,1.75495187927353,1.75495187927353,0.382464989742923,0.146279468379055,21.7934744684422,491204.011201144,491204.011201144
108001,,130001,0,0,38.7327017211914,38.7327017211914,4.52810224589286,4.52810224589286,1.79329410637003,3.2159037519415,39.6036575365897,588657.820068318,588657.820068318
108002,,201155,0,0,23.1475,23.1475,4.74875735385332,4.74875735385332,1.36134428893148,1.85325827300636,28.6673794319442,955236.285514364,955236.285514364
108003,,412163,0,0,48.5603998565674,48.5603998565674,5.82742428025664,5.82742428025664,2.9833939629547,8.90063953819455,51.1957568125331,2401848.67362342,2401848.67362342
108004,,554688,0,0,44.5372010040283,44.5372010040283,7.22482836161056,7.22482836161056,4.81102248746287,23.1459373748735,66.5901284662547,4007525.59424504,4007525.59424504
108005,,13860,0,0,44.5372010040283,44.5372010040283,6.99358510469119,6.99358510469119,5.81153925575388,33.7739885211683,83.0981416363345,96931.08955102,96931.08955102
108006,,580597,0,0,44.5372010040283,44.5372010040283,4.6879763935465,4.6879763935465,2.16033734408698,4.66705744025677,46.0825132793098,2721825.03016392,2721825.03016392
108007,,2438692,0,0,48.5603998565674,48.5603998565674,5.6356802443674,5.6356802443674,3.24513463372169,10.53089879098,57.5819509448757,13743688.3264968,13743688.3264968
108008,,329121,0,0,44.5372010040283,44.5372010040283,6.63507094056296,6.63507094056296,5.46757985888291,29.8944295132621,82.4042411582567,2183741.18302902,2183741.18302902
108009,,308370,0,0,44.5372010040283,44.5372010040283,4.19845562157873,4.19845562157873,1.87827493785092,3.52791674215889,44.7372821614973,1294677.76002623,1294677.76002623
109001,,5734,0,1.48990003585815,38.7327017211914,37.2428016853332,7.20112876339031,7.20112876339031,4.89850186602503,23.9953205314507,68.0240838204204,41291.27232928,41291.27232928
109002,,3738,0,0,38.7327017211914,38.7327017211914,8.61178066317909,8.61178066317909,4.51370618929948,20.3735435633205,52.4131578106545,32190.8361189634,32190.8361189634
109003,,99500,0,0,40.1897010040283,40.1897010040283,11.5533988934293,11.5533988934293,7.85084932299827,61.6358350924225,67.9527245221596,1149563.18989622,1149563.18989622
109004,,190627,0,0,40.1897010040283,40.1897010040283,14.7413454424498,14.7413454424498,7.37511742567302,54.3923570424659,50.0301512807326,2810098.45765788,2810098.45765788
109005,,889,0,2.12910009860992,38.7327017211914,36.6036016225815,15.2006460947503,15.2006460947503,5.65007722014319,31.9233725935811,37.1699807029551,13513.374378233,13513.374378233
109006,,146759,0,0.977599964141846,38.7327017211914,37.7551017570496,10.4578720103472,10.4578720103472,7.36535975997069,54.2485243937954,70.4288573495956,1534786.83836654,1534786.83836654
109007,,676006,0,0,41.6748991394043,41.6748991394043,14.7266631566315,14.7266631566315,8.09027757111621,65.452591177706,54.936257352183,9955312.65386185,9955312.65386185
109008,,191446,0,0,41.6748991394043,41.6748991394043,19.0542396281114,19.0542396281114,10.864110808497,118.028903659301,57.0167638307056,3647857.95984342,3647857.95984342
109009,,49489,0,0,38.7327017211914,38.7327017211914,9.61114382629027,9.61114382629027,7.34599792409402,53.9636855007937,76.4320881766416,475645.896819279,475645.896819279
110001,,1,0,0,0,0,0,0,0,0,nan,0,0
110002,,8666,0,0,0,0,0,0,0,0,nan,0,0
110003,,1137,0,0,0,0,0,0,0,0,nan,0,0
110004,,7893,0,0,0,0,0,0,0,0,nan,0,0
110005,,11,0,0,0,0,0,0,0,0,nan,0,0
110006,,1322,0,0,0,0,0,0,0,0,nan,0,0
110007,,40369,0,0,0,0,0,0,0,0,nan,0,0
110008,,1567,0,0,0,0,0,0,0,0,nan,0,0
111002,,141,0,0,0,0,0,0,0,0,nan,0,0
111003,,1504,0,0,0,0,0,0,0,0,nan,0,0
111004,,6403,0,0,0,0,0,0,0,0,nan,0,0
111005,,18,0,0,0,0,0,0,0,0,nan,0,0
111006,,9967,0,0,0,0,0,0,0,0,nan,0,0
111007,,23329,0,0,0,0,0,0,0,0,nan,0,0
111008,,5326,0,0,0,0,0,0,0,0,nan,0,0
200001,,786,0,0,0,0,0,0,0,0,nan,0,0
200002,,9105,0,0,0,0,0,0,0,0,nan,0,0
200003,,33829,0,0,0,0,0,0,0,0,nan,0,0
200004,,50478,0,0,0,0,0,0,0,0,nan,0,0
200006,,37443,0,0,0,0,0,0,0,0,nan,0,0
200007,,389494,0,0,0,0,0,0,0,0,nan,0,0
200008,,50587,0,0,0,0,0,0,0,0,nan,0,0
202001,,57262,0,0,0,0,0,0,0,0,nan,0,0
202002,,4665,0,0,0,0,0,0,0,0,nan,0,0
202003,,30962,0,0,0,0,0,0,0,0,nan,0,0
202004,,4677,0,0,0,0,0,0,0,0,nan,0,0
202006,,14073,0,0,0,0,0,0,0,0,nan,0,0
202007,,718366,0,0,0,0,0,0,0,0,nan,0,0
202008,,18689,0,0,0,0,0,0,0,0,nan,0,0
203001,,2631,0,0,0,0,0,0,0,0,nan,0,0
203002,,311,0,0,0,0,0,0,0,0,nan,0,0
203003,,9799,0,0,0,0,0,0,0,0,nan,0,0
203004,,1182,0,0,0,0,0,0,0,0,nan,0,0
203006,,2329,0,0,0,0,0,0,0,0,nan,0,0
203007,,85634,0,0,0,0,0,0,0,0,nan,0,0
203008,,3355,0,0,0,0,0,0,0,0,nan,0,0
204001,,46092,0,0,0,0,0,0,0,0,nan,0,0
204002,,307,0,0,0,0,0,0,0,0,nan,0,0
204003,,60086,0,0,0,0,0,0,0,0,nan,0,0
204004,,4492,0,0,0,0,0,0,0,0,nan,0,0
204006,,14220,0,0,0,0,0,0,0,0,nan,0,0
204007,,431375,0,0,1.42879998207092,1.42879998207092,1.9873195925646e-05,1.9873195925646e-05,0.00532864213832554,2.83944270383386e-05,26813.2119175106,8.57279989242554,8.57279989242554
204008,,12868,0,0,0,0,0,0,0,0,nan,0,0
205001,,16375,0,0,0,0,0,0,0,0,nan,0,0
205002,,20832,0,0,0,0,0,0,0,0,nan,0,0
205003,,517599,0,0,0,0,0,0,0,0,nan,0,0
205004,,48878,0,0,0,0,0,0,0,0,nan,0,0
205006,,75682,0,0,0,0,0,0,0,0,nan,0,0
205007,,3525833,0,0,0,0,0,0,0,0,nan,0,0
205008,,95360,0,0,0,0,0,0,0,0,nan,0,0
206001,,113289,0,0,0,0,0,0,0,0,nan,0,0
206002,,37947,0,0,0,0,0,0,0,0,nan,0,0
206003,,559211,0,0,0,0,0,0,0,0,nan,0,0
206004,,29548,0,0,0,0,0,0,0,0,nan,0,0
206006,,147437,0,0,0,0,0,0,0,0,nan,0,0
206007,,3260853,0,0,0,0,0,0,0,0,nan,0,0
206008,,95907,0,0,0,0,0,0,0,0,nan,0,0
207001,,2174,0,1.04810000896454,3.49680002689362,2.44870001792908,1.73892864134513,1.73892864134513,0.446990375421698,0.199800395719631,25.7049291612066,3780.43086628431,3780.43086628431
207002,,1261,0,1.04810000896454,2.89050004482269,1.84240003585815,1.54334059274362,1.54334059274362,0.376917997994231,0.142067177211979,24.4222176081159,1946.1524874497,1946.1524874497
