zone,label,non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs
100001,,5686,0,0,0,0,0,0,0,0,nan,0,0
100002,,4532,0,0,0,0,0,0,0,0,nan,0,0
100003,,4014,0,0,0,0,0,0,0,0,nan,0,0
100004,,82616,0,0,0,0,0,0,0,0,nan,0,0
100005,,257,0,0,0,0,0,0,0,0,nan,0,0
100006,,120691,0,0,0,0,0,0,0,0,nan,0,0
100007,,145823,0,0,0,0,0,0,0,0,nan,0,0
100008,,40336,0,0,0,0,0,0,0,0,nan,0,0
100009,,71,0,0,0,0,0,0,0,0,nan,0,0
102001,,254695,0,0,0,0,0,0,0,0,nan,0,0
102002,,4026,0,0,0,0,0,0,0,0,nan,0,0
102003,,4485,0,0,0,0,0,0,0,0,nan,0,0
102004,,5874,0,0,0,0,0,0,0,0,nan,0,0
102005,,1340,0,0,0,0,0,0,0,0,nan,0,0
102006,,13690,0,0,0,0,0,0,0,0,nan,0,0
102007,,664068,0,0,0,0,0,0,0,0,nan,0,0
102008,,27666,0,0,0,0,0,0,0,0,nan,0,0
102009,,8221,0,0,0,0,0,0,0,0,nan,0,0
103001,,27459,0,0,0,0,0,0,0,0,nan,0,0
103002,,1435,0,0,0,0,0,0,0,0,nan,0,0
103003,,3070,0,0,0,0,0,0,0,0,nan,0,0
103004,,2666,0,0,0,0,0,0,0,0,nan,0,0
103005,,1047,0,0,0,0,0,0,0,0,nan,0,0
103006,,7746,0,0,0,0,0,0,0,0,nan,0,0
103007,,96733,0,0,0,0,0,0,0,0,nan,0,0
103008,,3811,0,0,0,0,0,0,0,0,nan,0,0
103009,,5026,0,0,0,0,0,0,0,0,nan,0,0
104001,,268038,0,0,6.2275,6.2275,0.84126232675484,0.84126232675484,0.611133687071651,0.373484383473791,72.6448418805454,225490.271538714,225490.271538714
104002,,61644,0,0.0140999996848404,1.87530000448227,1.86120000479743,1.87339023871505,1.87339023871505,0.055503195999589,0.00308060476616879,2.96271405992051,115483.26787535,115483.26787535
104003,,125751,0,0.00939999978989363,8.29079971313477,8.28139971334487,1.72246080669921,1.72246080669921,0.485148357248625,0.235368928541039,28.1660026957783,216601.168903232,216601.168903232
104004,,93600,0,0.00939999978989363,1.87530000448227,1.86590000469238,1.55752055066592,1.55752055066592,0.699888189968458,0.489843478457324,44.9360484951046,145783.92354233,145783.92354233
104005,,21227,0,0.00939999978989363,1.87530000448227,1.86590000469238,1.08596127148335,1.08596127148335,0.868401652479081,0.754121430028398,79.9661714724781,23051.6999097771,23051.6999097771
104006,,25390,0,0.00939999978989363,10.6454998207092,10.6360998209193,1.63755016014458,1.63755016014458,0.592694652260484,0.351286950818176,36.1939845682745,41577.3985660709,41577.3985660709
104007,,2697473,0,0,10.6454998207092,10.6454998207092,1.59907555472916,1.59907555472916,0.5550829129086,0.308117040203097,34.7127383235257,4313463.13384193,4313463.13384193
104008,,120507,0,0,1.87530000448227,1.87530000448227,1.52246470008189,1.52246470008189,0.577327831462925,0.333307424981684,37.9206054125177,183467.653612768,183467.653612768
104009,,37452,0,0.00939999978989363,10.6454998207092,10.6360998209193,1.61675733468855,1.61675733468855,0.609256265042285,0.371193196493275,37.6838411040609,60550.7956987557,60550.7956987557
105001,,705833,0,0,2.16670006275177,2.16670006275177,1.01165863196582,1.01165863196582,0.729982124069419,0.5328739014609,72.1569609553907,714062.047176333,714062.047176333
105002,,158453,0,0,2.16670006275177,2.16670006275177,0.798894336462942,0.798894336462942,1.04495163601495,1.09192392161032,130.799730117178,126587.204295563,126587.204295563
105003,,243844,0,0,2.16670006275177,2.16670006275177,1.19367948179578,1.19367948179578,1.07377902155771,1.15300138713743,89.9553890247245,291071.57955901,291071.57955901
105004,,205509,0,0,2.16670006275177,2.16670006275177,1.25040120762545,1.25040120762545,1.06934673913571,1.14350244850017,85.5202900168685,256968.701777898,256968.701777898
105005,,71769,0,0,2.16670006275177,2.16670006275177,0.549744022160666,0.549744022160666,0.942712904314696,0.88870761996145,171.482156478854,39454.5787264488,39454.5787264488
105006,,265427,0,0,2.16670006275177,2.16670006275177,0.887137003403202,0.887137003403202,1.01108475273547,1.02229237721415,113.971658138121,235470.113402302,235470.113402302
105007,,3571059,0,0,2.16670006275177,2.16670006275177,1.11409742259493,1.11409742259493,1.04073642202791,1.08313230013545,93.4152077655693,3978507.62783443,3978507.62783443
105008,,184060,0,0,2.16670006275177,2.16670006275177,1.09371399224976,1.09371399224976,0.982025389549967,0.964373865720765,89.7881344216829,201308.997413491,201308.997413491
105009,,469678,0,0,2.16670006275177,2.16670006275177,0.882245449645832,0.882245449645832,0.939036410837874,0.881789380879277,106.437093125823,414371.278298755,414371.278298755
106001,,731641,0,0,0,0,0,0,0,0,nan,0,0
106002,,429150,0,0,0,0,0,0,0,0,nan,0,0
106003,,502272,0,0,0,0,0,0,0,0,nan,0,0
106004,,440833,0,0,0,0,0,0,0,0,nan,0,0
106005,,14718,0,0,0,0,0,0,0,0,nan,0,0
106006,,822389,0,0,0,0,0,0,0,0,nan,0,0
106007,,9606133,0,0,0,0,0,0,0,0,nan,0,0
106008,,394578,0,0,0,0,0,0,0,0,nan,0,0
106009,,285935,0,0,0,0,0,0,0,0,nan,0,0
107001,,292631,0,2.48629998207092,9.87470010757446,7.38840012550354,4.29191716054626,4.29191716054626,0.819441747705072,0.671484777881944,19.0926739042833,1255948.01060781,1255948.01060781
107002,,91629,0,2.48629998207092,9.87470010757446,7.38840012550354,4.33819222637697,4.33819222637697,0.893160358496091,0.797735425988865,20.5883075688882,397504.215510696,397504.215510696
107003,,174601,0,2.48629998207092,13.4278998565674,10.9415998744965,5.51344383591505,5.51344383591505,1.73727438158674,3.01812227691758,31.5097865016776,962652.807194604,962652.807194604
107004,,115301,0,2.48629998207092,13.4278998565674,10.9415998744965,6.45089970329645,6.45089970329645,1.8409090541806,3.38894614576411,28.5372450177746,743795.186689783,743795.186689783
107005,,26269,0,2.48629998207092,13.4278998565674,10.9415998744965,4.377168730882,4.377168730882,1.2910074431443,1.66670021825397,29.4941210293293,114983.845391539,114983.845391539
107006,,148951,0,2.48629998207092,13.4278998565674,10.9415998744965,4.73623924419881,4.73623924419881,1.43916660071747,2.07120050462069,30.3862732964818,705467.571662657,705467.571662657
107007,,2825381,0,2.48629998207092,13.4278998565674,10.9415998744965,4.73796034406351,4.73796034406351,1.2748080097608,1.6251354617503,26.9062617072785,13386543.1348705,13386543.1348705
107008,,142996,0,2.48629998207092,13.4278998565674,10.9415998744965,5.72226607834749,5.72226607834749,1.95712199435947,3.8303265008056,34.2018698110708,818261.160139377,818261.160139377
107009,,279896,0,2.48629998207092,11.5807997131348,9.09449973106384,4.16429915610044,4.16429915610044,0.908774127616189,0.825870415024565,21.82297893476,1165570.67659589,1165570.67659589
108001,,130001,0,2.59910009860992,103.291902008057,100.692801909447,11.9888122580155,11.9888122580155,4.67856706545813,21.8889897859895,39.0244418276726,1558557.58235427,1558557.58235427
108002,,201155,0,2.35470010757446,52.2357997131348,49.8810996055603,12.4801910587022,12.4801910587022,3.48216984320494,12.1255068169259,27.9015747982231,2510452.83241324,2510452.83241324
108003,,412163,0,2.35470010757446,109.589899139404,107.23519903183,15.3353386328617,15.3353386328617,7.35023155614799,54.0259039289936,47.9300244495244,6320659.17693619,6320659.17693619
108004,,554688,0,2.35470010757446,111.145597991943,108.790897884369,18.9986895958351,18.9986895958351,12.2633148790945,150.38889182382,64.5482143241228,10538345.1345346,10538345.1345346
108005,,13860,0,3.91039985656738,107.183501434326,103.273101577759,18.9690153030298,18.9690153030298,14.4633985104737,209.189896472773,76.2474924471359,262910.552099993,262910.552099993
108006,,580597,0,2.35470010757446,107.183501434326,104.828801326752,12.3377971396862,12.3377971396862,5.50138847773608,30.2652751829673,44.5897141560233,7163288.00591037,7163288.00591037
108007,,2438692,0,1.32539996862411,109.589899139404,108.26449917078,14.8078600125519,14.8078600125519,8.15289891205968,66.469760670264,55.0579145477392,36111809.7497303,36111809.7497303
108008,,329121,0,2.35470010757446,107.183501434326,104.828801326752,17.398377967532,17.398377967532,13.8092027105877,190.694079502104,79.3706329196768,5726171.5550521,5726171.5550521
108009,,308370,0,2.35470010757446,103.291902008057,100.937201900482,11.0809903076648,11.0809903076648,4.81983605415544,23.2308195889367,43.4964377761574,3417044.98117459,3417044.98117459
109001,,5734,0,3.96679980278015,103.291902008057,99.3251022052765,19.4533553031242,19.4533553031242,12.8938482956861,166.251323872166,66.2808451024144,111545.539308114,111545.539308114
109002,,3738,0,0,103.291902008057,103.291902008057,23.0073243486661,23.0073243486661,11.9952422179729,143.885835867839,52.1366241297342,86001.378415314,86001.378415314
109003,,99500,0,0,107.183501434326,107.183501434326,30.896425596342,30.896425596342,20.8975309628463,436.706800343121,67.6373740958581,3074194.34683603,3074194.34683603
109004,,190627,0,0,107.183501434326,107.183501434326,39.3172648854685,39.3172648854685,19.6664901052333,386.770833059239,50.0199852724291,7494932.2533222,7494932.2533222
109005,,889,0,5.67289985656738,103.291902008057,97.6190021514893,40.7830679173893,40.7830679173893,14.9479473130031,223.441128872317,36.6523365610499,36256.1473785591,36256.1473785591
109006,,146759,0,2.59910009860992,103.291902008057,100.692801909447,27.8909857024967,27.8909857024967,19.6414951480415,385.788331650539,70.4223771707119,4093253.17071271,4093253.17071271
109007,,676006,0,0,111.145597991943,111.145597991943,39.3049693998389,39.3049693998389,21.5534978853037,464.553271091791,54.8365721037606,26570395.1441075,26570395.1441075
109008,,191446,0,0,111.145597991943,111.145597991943,50.8282568694363,50.8282568694363,28.9585812525716,838.599428161792,56.9733904645956,9730866.46462611,9730866.46462611
109009,,49489,0,0,103.291902008057,103.291902008057,25.6463128101649,25.6463128101649,19.5793410784793,383.350597067427,76.3436881683789,1269210.37466225,1269210.37466225
110001,,1,0,0,0,0,0,0,0,0,nan,0,0
110002,,8666,0,0,0,0,0,0,0,0,nan,0,0
110003,,1137,0,0,0,0,0,0,0,0,nan,0,0
110004,,7893,0,0,0,0,0,0,0,0,nan,0,0
110005,,11,0,0,0,0,0,0,0,0,nan,0,0
110006,,1322,0,0,0,0,0,0,0,0,nan,0,0
110007,,40369,0,0,0,0,0,0,0,0,nan,0,0
110008,,1567,0,0,0,0,0,0,0,0,nan,0,0
111002,,141,0,0,0,0,0,0,0,0,nan,0,0
111003,,1504,0,0,0,0,0,0,0,0,nan,0,0
111004,,6403,0,0,0,0,0,0,0,0,nan,0,0
111005,,18,0,0,0,0,0,0,0,0,nan,0,0
111006,,9967,0,0,0,0,0,0,0,0,nan,0,0
111007,,23329,0,0,0,0,0,0,0,0,nan,0,0
111008,,5326,0,0,0,0,0,0,0,0,nan,0,0
200001,,786,0,0,0,0,0,0,0,0,nan,0,0
200002,,9105,0,0,0,0,0,0,0,0,nan,0,0
200003,,33829,0,0,0,0,0,0,0,0,nan,0,0
200004,,50478,0,0,0,0,0,0,0,0,nan,0,0
200006,,37443,0,0,0,0,0,0,0,0,nan,0,0
200007,,389494,0,0,0,0,0,0,0,0,nan,0,0
200008,,50587,0,0,0,0,0,0,0,0,nan,0,0
202001,,57262,0,0,0,0,0,0,0,0,nan,0,0
202002,,4665,0,0,0,0,0,0,0,0,nan,0,0
202003,,30962,0,0,0,0,0,0,0,0,nan,0,0
202004,,4677,0,0,0,0,0,0,0,0,nan,0,0
202006,,14073,0,0,0,0,0,0,0,0,nan,0,0
202007,,718366,0,0,0,0,0,0,0,0,nan,0,0
202008,,18689,0,0,0,0,0,0,0,0,nan,0,0
203001,,2631,0,0,0,0,0,0,0,0,nan,0,0
203002,,311,0,0,0,0,0,0,0,0,nan,0,0
203003,,9799,0,0,0,0,0,0,0,0,nan,0,0
203004,,1182,0,0,0,0,0,0,0,0,nan,0,0
203006,,2329,0,0,0,0,0,0,0,0,nan,0,0
203007,,85634,0,0,0,0,0,0,0,0,nan,0,0
203008,,3355,0,0,0,0,0,0,0,0,nan,0,0
204001,,46092,0,0,1.87530000448227,1.87530000448227,0.636664921973156,0.636664921973156,0.753229338942289,0.567354437043438,118.308597340007,29345.1595835867,29345.1595835867
204002,,307,0,0.0329000001400709,0.0329000001400709,0,0.0329000001400708,0.0329000001400708,0,0,0,10.1003000430017,10.1003000430017
