zone,label,non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs
100001,,5686,0,0,0,0,0,0,0,0,nan,0,0
100002,,4532,0,0,0,0,0,0,0,0,nan,0,0
100003,,4014,0,0,0,0,0,0,0,0,nan,0,0
100004,,82616,0,0,0,0,0,0,0,0,nan,0,0
100005,,257,0,0,0,0,0,0,0,0,nan,0,0
100006,,120691,0,0,0,0,0,0,0,0,nan,0,0
100007,,145823,0,0,0,0,0,0,0,0,nan,0,0
100008,,40336,0,0,0,0,0,0,0,0,nan,0,0
100009,,71,0,0,0,0,0,0,0,0,nan,0,0
102001,,254695,0,0,0,0,0,0,0,0,nan,0,0
102002,,4026,0,0,0,0,0,0,0,0,nan,0,0
102003,,4485,0,0,0,0,0,0,0,0,nan,0,0
102004,,5874,0,0,0,0,0,0,0,0,nan,0,0
102005,,1340,0,0,0,0,0,0,0,0,nan,0,0
102006,,13690,0,0,0,0,0,0,0,0,nan,0,0
102007,,664068,0,0,0,0,0,0,0,0,nan,0,0
102008,,27666,0,0,0,0,0,0,0,0,nan,0,0
102009,,8221,0,0,0,0,0,0,0,0,nan,0,0
103001,,27459,0,0,0,0,0,0,0,0,nan,0,0
103002,,1435,0,0,0,0,0,0,0,0,nan,0,0
103003,,3070,0,0,0,0,0,0,0,0,nan,0,0
103004,,2666,0,0,0,0,0,0,0,0,nan,0,0
103005,,1047,0,0,0,0,0,0,0,0,nan,0,0
103006,,7746,0,0,0,0,0,0,0,0,nan,0,0
103007,,96733,0,0,0,0,0,0,0,0,nan,0,0
103008,,3811,0,0,0,0,0,0,0,0,nan,0,0
103009,,5026,0,0,0,0,0,0,0,0,nan,0,0
104001,,268038,0,0,2.585,2.585,7.60310107624731e-05,7.60310107624731e-05,0.0126419964155773,0.000159820073371469,16627.4212177343,20.3792000627518,20.3792000627518
104002,,61644,0,0,0,0,0,0,0,0,nan,0,0
104003,,125751,0,0,2.585,2.585,0.000822783122977407,0.000822783122977407,0.0411805842904556,0.00169584052250332,5005.03512291736,103.465800497532,103.465800497532
104004,,93600,0,0,0,0,0,0,0,0,nan,0,0
104005,,21227,0,0,0,0,0,0,0,0,nan,0,0
104006,,25390,0,0,2.585,2.585,0.000994052781979838,0.000994052781979838,0.0446378858103998,0.00199254084962229,4490.49453103438,25.2390001344681,25.2390001344681
104007,,2697473,0,0,2.585,2.585,5.67629780386656e-05,5.67629780386656e-05,0.010884953956818,0.000118482222642048,19176.1502530812,153.116600658893,153.116600658893
104008,,120507,0,0,0,0,0,0,0,0,nan,0,0
104009,,37452,0,0,2.585,2.585,0.000349124214479356,0.000349124214479356,0.025846284666096,0.000668030431040869,7403.17732032428,13.0754000806808,13.0754000806808
105001,,705833,0,0,0,0,0,0,0,0,nan,0,0
105002,,158453,0,0,0,0,0,0,0,0,nan,0,0
105003,,243844,0,0,0,0,0,0,0,0,nan,0,0
105004,,205509,0,0,0,0,0,0,0,0,nan,0,0
105005,,71769,0,0,0,0,0,0,0,0,nan,0,0
105006,,265427,0,0,0,0,0,0,0,0,nan,0,0
105007,,3571059,0,0,0,0,0,0,0,0,nan,0,0
105008,,184060,0,0,0,0,0,0,0,0,nan,0,0
105009,,469678,0,0,0,0,0,0,0,0,nan,0,0
106001,,731641,0,0,0,0,0,0,0,0,nan,0,0
106002,,429150,0,0,0,0,0,0,0,0,nan,0,0
106003,,502272,0,0,0,0,0,0,0,0,nan,0,0
106004,,440833,0,0,0,0,0,0,0,0,nan,0,0
106005,,14718,0,0,0,0,0,0,0,0,nan,0,0
106006,,822389,0,0,0,0,0,0,0,0,nan,0,0
106007,,9606133,0,0,0,0,0,0,0,0,nan,0,0
106008,,394578,0,0,0,0,0,0,0,0,nan,0,0
106009,,285935,0,0,0,0,0,0,0,0,nan,0,0
107001,,292631,0,0.00469999989494681,8.01349964141846,8.00879964152351,0.412607881140155,0.412607881140155,0.671476967544423,0.450881317942654,162.739733833716,120741.856865925,120741.856865925
107002,,91629,0,0.00469999989494681,8.01349964141846,8.00879964152351,0.443812424214029,0.443812424214029,0.362643194125025,0.131510086245201,81.7109153190673,40666.0886183073,40666.0886183073
107003,,174601,0,0,31.4242002868652,31.4242002868652,1.00735757098722,1.00735757098722,2.33363706705353,5.44586196072621,231.659257275106,175885.639251939,175885.639251939
107004,,115301,0,0,33.5203998565674,33.5203998565674,1.38646202288192,1.38646202288192,2.71939041536675,7.39508423118856,196.138831824198,159860.457700309,159860.457700309
107005,,26269,0,0,33.5203998565674,33.5203998565674,0.542372920329384,0.542372920329384,1.66119827786359,2.75957971837697,306.283410472401,14247.5942441326,14247.5942441326
107006,,148951,0,0.00469999989494681,31.4242002868652,31.4195002869703,0.606640322336613,0.606640322336613,1.06549936051446,1.13528888725672,175.639389813464,90359.6826523608,90359.6826523608
107007,,2825381,0,0,33.5203998565674,33.5203998565674,0.60176165707549,0.60176165707549,1.4692796747129,2.15878276252445,244.163059815655,1700205.95242961,1700205.95242961
107008,,142996,0,0,35.6823991394043,35.6823991394043,1.75681732125893,1.75681732125893,4.51055687779056,20.3451233477838,256.745924758889,251217.849670741,251217.849670741
107009,,279896,0,0.00469999989494681,29.3938004302979,29.3891004304029,0.33155488728698,0.33155488728698,0.670219414735814,0.449194063888817,202.144332789068,92800.8867320766,92800.8867320766
108001,,130001,0,0,35.4192002868652,35.4192002868652,1.880630888036,1.880630888036,1.25156952284954,1.56642627052583,66.5505140222703,244483.896075568,244483.896075568
108002,,201155,0,0,14.2692002868652,14.2692002868652,1.97940983973885,1.97940983973885,0.841913049260276,0.708817582514736,42.5335386516696,398168.186312669,398168.186312669
108003,,412163,0,0,35.4192002868652,35.4192002868652,2.61534208906545,2.61534208906545,2.02126629589425,4.08551743891808,77.2849679720684,1077947.24145548,1077947.24145548
108004,,554688,0,0,35.4192002868652,35.4192002868652,3.43833305556086,3.43833305556086,3.36424583709804,11.3181500524315,97.8452576505642,1907202.08592294,1907202.08592294
108005,,13860,0,0,31.6356988525391,31.6356988525391,3.26908258506025,3.26908258506025,3.63618896999858,13.2218702255393,111.22964548574,45309.4846289351,45309.4846289351
108006,,580597,0,0,31.6356988525391,31.6356988525391,1.94621011358897,1.94621011358897,1.40337438218271,1.96945965656671,72.1080613230796,1129963.75331942,1129963.75331942
108007,,2438692,0,0,40.7818984222412,40.7818984222412,2.51172081462718,2.51172081462718,2.22741957907162,4.9613979812316,88.68101765531,6125313.45686478,6125313.45686478
108008,,329121,0,0,35.4192002868652,35.4192002868652,3.2039573275943,3.2039573275943,3.89639914337438,15.1819262844886,121.612079843148,1054489.63961516,1054489.63961516
108009,,308370,0,0,31.6356988525391,31.6356988525391,1.64881109822422,1.64881109822422,1.25259318997938,1.56898969958272,75.9694783306853,508443.878359401,508443.878359401
109001,,5734,0,0.0140999996848404,40.7818984222412,40.7677984225564,3.82660409554624,3.82660409554624,3.91098853559325,15.2958313255418,102.205204351953,21941.7478838622,21941.7478838622
109002,,3738,0,0,30.4372010040283,30.4372010040283,4.80704002383792,4.80704002383792,3.2898359517162,10.8230205892044,68.4378731069855,17968.7156091061,17968.7156091061
109003,,99500,0,0,35.4192002868652,35.4192002868652,6.79279210652902,6.79279210652902,5.87143365727637,34.4737331917977,86.4362336605727,675882.814599638,675882.814599638
109004,,190627,0,0,40.7818984222412,40.7818984222412,8.81779061239385,8.81779061239385,6.04887568015425,36.5888969939615,68.5985406781178,1680908.9710688,1680908.9710688
109005,,889,0,0.220899999439716,30.4372010040283,30.2163010045886,8.19598049530323,8.19598049530323,4.0864749949685,16.6992778845028,49.8595012190461,7286.22666032458,7286.22666032458
109006,,146759,0,0.00469999989494681,46.5206015777588,46.5159015778638,7.34692519400155,7.34692519400155,7.35920695803773,54.1579270512309,100.167168763964,1078227.39454647,1078227.39454647
109007,,676006,0,0,40.7818984222412,40.7818984222412,9.18283966989068,9.18283966989068,6.77484591722938,45.8985372021996,73.7772427786495,6207654.71388412,6207654.71388412
109008,,191446,0,0,46.5206015777588,46.5206015777588,12.455855283169,12.455855283169,9.15228357964457,83.7642947222315,73.4777610334926,2384623.67054157,2384623.67054157
109009,,49489,0,0,40.7818984222412,40.7818984222412,6.36028266872768,6.36028266872768,6.98784671968879,48.8300017778654,109.866920758832,314764.028992664,314764.028992664
110001,,1,0,0,0,0,0,0,0,0,nan,0,0
110002,,8666,0,0,0,0,0,0,0,0,nan,0,0
110003,,1137,0,0,0,0,0,0,0,0,nan,0,0
110004,,7893,0,0,0,0,0,0,0,0,nan,0,0
110005,,11,0,0,0,0,0,0,0,0,nan,0,0
110006,,1322,0,0,0,0,0,0,0,0,nan,0,0
110007,,40369,0,0,0,0,0,0,0,0,nan,0,0
110008,,1567,0,0,0,0,0,0,0,0,nan,0,0
111002,,141,0,0,0,0,0,0,0,0,nan,0,0
111003,,1504,0,0,0,0,0,0,0,0,nan,0,0
111004,,6403,0,0,0,0,0,0,0,0,nan,0,0
111005,,18,0,0,0,0,0,0,0,0,nan,0,0
111006,,9967,0,0,0,0,0,0,0,0,nan,0,0
111007,,23329,0,0,0,0,0,0,0,0,nan,0,0
111008,,5326,0,0,0,0,0,0,0,0,nan,0,0
200001,,786,0,0,0,0,0,0,0,0,nan,0,0
200002,,9105,0,0,0,0,0,0,0,0,nan,0,0
200003,,33829,0,0,0,0,0,0,0,0,nan,0,0
200004,,50478,0,0,0,0,0,0,0,0,nan,0,0
200006,,37443,0,0,0,0,0,0,0,0,nan,0,0
200007,,389494,0,0,0,0,0,0,0,0,nan,0,0
200008,,50587,0,0,0,0,0,0,0,0,nan,0,0
202001,,57262,0,0,0,0,0,0,0,0,nan,0,0
202002,,4665,0,0,0,0,0,0,0,0,nan,0,0
202003,,30962,0,0,0,0,0,0,0,0,nan,0,0
202004,,4677,0,0,0,0,0,0,0,0,nan,0,0
202006,,14073,0,0,0,0,0,0,0,0,nan,0,0
202007,,718366,0,0,0,0,0,0,0,0,nan,0,0
202008,,18689,0,0,0,0,0,0,0,0,nan,0,0
203001,,2631,0,0,0,0,0,0,0,0,nan,0,0
203002,,311,0,0,0,0,0,0,0,0,nan,0,0
203003,,9799,0,0,0,0,0,0,0,0,nan,0,0
203004,,1182,0,0,0,0,0,0,0,0,nan,0,0
203006,,2329,0,0,0,0,0,0,0,0,nan,0,0
203007,,85634,0,0,0,0,0,0,0,0,nan,0,0
203008,,3355,0,0,0,0,0,0,0,0,nan,0,0
204001,,46092,0,0,0,0,0,0,0,0,nan,0,0
204002,,307,0,0,0,0,0,0,0,0,nan,0,0
204003,,60086,0,0,0,0,0,0,0,0,nan,0,0
204004,,4492,0,0,0,0,0,0,0,0,nan,0,0
204006,,14220,0,0,0,0,0,0,0,0,nan,0,0
204007,,431375,0,0,2.585,2.585,3.5954795711388e-05,3.5954795711388e-05,0.00964063556860248,9.29418541666034e-05,26813.2119175106,15.51,15.51
204008,,12868,0,0,0,0,0,0,0,0,nan,0,0
205001,,16375,0,0,0,0,0,0,0,0,nan,0,0
205002,,20832,0,0,0,0,0,0,0,0,nan,0,0
205003,,517599,0,0,0,0,0,0,0,0,nan,0,0
205004,,48878,0,0,0,0,0,0,0,0,nan,0,0
205006,,75682,0,0,0,0,0,0,0,0,nan,0,0
205007,,3525833,0,0,0,0,0,0,0,0,nan,0,0
205008,,95360,0,0,0,0,0,0,0,0,nan,0,0
206001,,113289,0,0,0,0,0,0,0,0,nan,0,0
206002,,37947,0,0,0,0,0,0,0,0,nan,0,0
206003,,559211,0,0,0,0,0,0,0,0,nan,0,0
206004,,29548,0,0,0,0,0,0,0,0,nan,0,0
206006,,147437,0,0,0,0,0,0,0,0,nan,0,0
206007,,3260853,0,0,0,0,0,0,0,0,nan,0,0
206008,,95907,0,0,0,0,0,0,0,0,nan,0,0
207001,,2174,0,0.00469999989494681,4.38980007171631,4.38510007182136,0.549772460045759,0.549772460045759,0.768044233894183,0.589891945218103,139.702202222035,1195.20532813948,1195.20532813948
207002,,1261,0,0.00469999989494681,1.15620001792908,1.15150001803413,0.257389294445707,0.257389294445707,0.216325786521758,0.0467968459142573,84.0461476797706,324.567900296036,324.567900296036
207003,,61323,0,0,8.01349964141846,8.01349964141846,0.244461395016311,0.244461395016311,0.277801704165911,0.0771737868374844,113.638271657321,14991.1061265852,14991.1061265852
