zone,label,non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs
100001,,5686,0,0,0,0,0,0,0,0,nan,0,0
100002,,4532,0,0,0,0,0,0,0,0,nan,0,0
100003,,4014,0,0,0,0,0,0,0,0,nan,0,0
100004,,82616,0,0,0,0,0,0,0,0,nan,0,0
100005,,257,0,0,0,0,0,0,0,0,nan,0,0
100006,,120691,0,0,0,0,0,0,0,0,nan,0,0
100007,,145823,0,0,0,0,0,0,0,0,nan,0,0
100008,,40336,0,0,0,0,0,0,0,0,nan,0,0
100009,,71,0,0,0,0,0,0,0,0,nan,0,0
102001,,254695,0,0,0,0,0,0,0,0,nan,0,0
102002,,4026,0,0,0,0,0,0,0,0,nan,0,0
102003,,4485,0,0,0,0,0,0,0,0,nan,0,0
102004,,5874,0,0,0,0,0,0,0,0,nan,0,0
102005,,1340,0,0,0,0,0,0,0,0,nan,0,0
102006,,13690,0,0,0,0,0,0,0,0,nan,0,0
102007,,664068,0,0,0,0,0,0,0,0,nan,0,0
102008,,27666,0,0,0,0,0,0,0,0,nan,0,0
102009,,8221,0,0,0,0,0,0,0,0,nan,0,0
103001,,27459,0,0,0,0,0,0,0,0,nan,0,0
103002,,1435,0,0,0,0,0,0,0,0,nan,0,0
103003,,3070,0,0,0,0,0,0,0,0,nan,0,0
103004,,2666,0,0,0,0,0,0,0,0,nan,0,0
103005,,1047,0,0,0,0,0,0,0,0,nan,0,0
103006,,7746,0,0,0,0,0,0,0,0,nan,0,0
103007,,96733,0,0,0,0,0,0,0,0,nan,0,0
103008,,3811,0,0,0,0,0,0,0,0,nan,0,0
103009,,5026,0,0,0,0,0,0,0,0,nan,0,0
104001,,268038,0,0.0329000001400709,1.56039996862412,1.52749996848404,0.182320353219539,0.182320353219539,0.092265699447387,0.00851295929451555,50.6063628213171,48868.7828362589,48868.7828362589
104002,,61644,0,0.0892999988794327,0.338400013446808,0.249100014567375,0.338137809488284,0.338137809488284,0.00755685292542675,5.71060261365308e-05,2.23484411189118,20844.1671280958,20844.1671280958
104003,,125751,0,0,1.56039996862412,1.56039996862412,0.317329080135564,0.317329080135564,0.0677762371837583,0.00459361832678906,21.3583442005391,39904.4491561273,39904.4491561273
104004,,93600,0,0,0.338400013446808,0.338400013446808,0.295889314407053,0.295889314407053,0.0938475258007573,0.0088073580989238,31.7171054280291,27695.2398285001,27695.2398285001
104005,,21227,0,0,0.338400013446808,0.338400013446808,0.230436842709293,0.230436842709293,0.117552793669035,0.0138186592993948,51.0130204384608,4891.48286019016,4891.48286019016
104006,,25390,0,0,1.56039996862412,1.56039996862412,0.305203647017129,0.305203647017129,0.0825523371573885,0.00681488837014714,27.048280046521,7749.12059776491,7749.12059776491
104007,,2697473,0,0,1.56039996862412,1.56039996862412,0.296925090690139,0.296925090690139,0.0832619438896852,0.00693255130028908,28.0413971403227,800947.415159201,800947.415159201
104008,,120507,0,0,0.338400013446808,0.338400013446808,0.28577792870925,0.28577792870925,0.0856241282038173,0.00733149133066374,29.9617708724215,34438.2408549655,34438.2408549655
104009,,37452,0,0,1.56039996862412,1.56039996862412,0.303389705151225,0.303389705151225,0.0818126911978173,0.00669331644102941,26.9662054475572,11362.5512373237,11362.5512373237
105001,,705833,0,0.00469999989494681,13.1834996414185,13.1787996415235,2.17654303161499,2.17654303161499,2.52215215656796,6.3612515008804,115.878809650574,1536275.8976339,1536275.8976339
105002,,158453,0,0.00469999989494681,13.1834996414185,13.1787996415235,5.30381418374206,5.30381418374206,1.4911813629441,2.22362185719182,28.1152640587422,840405.26885648,840405.26885648
105003,,243844,0,0.00469999989494681,13.1834996414185,13.1787996415235,5.21756572744811,5.21756572744811,1.52196454326661,2.31637607096076,29.1700118938607,1272272.09724386,1272272.09724386
105004,,205509,0,0.00469999989494681,13.1834996414185,13.1787996415235,5.39701501373428,5.39701501373428,2.05781939449695,4.23462066036779,38.1288432450202,1109135.15845752,1109135.15845752
105005,,71769,0,0.1175,13.1834996414185,13.0659996414185,5.49153886401246,5.49153886401246,1.38403366479255,1.91554918527911,25.2030204841579,394122.25273131,394122.25273131
105006,,265427,0,0.00469999989494681,13.1834996414185,13.1787996415235,4.70189774658622,4.70189774658622,1.80409137800128,3.25474570017855,38.3694302861249,1248010.61318314,1248010.61318314
105007,,3571059,0,0.00469999989494681,13.1834996414185,13.1787996415235,4.83782049501125,4.83782049501125,2.0320569306967,4.12925536959251,42.0035619922682,17276142.4190944,17276142.4190944
105008,,184060,0,0.00469999989494681,13.1834996414185,13.1787996415235,4.11875529770242,4.11875529770242,2.54084025054771,6.45586917880337,61.6895170238708,758098.100095107,758098.100095107
105009,,469678,0,0.00469999989494681,13.1834996414185,13.1787996415235,4.18107126933218,4.18107126933218,2.44162236229559,5.96151976006192,58.3970519757627,1963757.1916374,1963757.1916374
106001,,731641,0,0,0,0,0,0,0,0,nan,0,0
106002,,429150,0,0,0,0,0,0,0,0,nan,0,0
106003,,502272,0,0,0,0,0,0,0,0,nan,0,0
106004,,440833,0,0,0,0,0,0,0,0,nan,0,0
106005,,14718,0,0,0,0,0,0,0,0,nan,0,0
106006,,822389,0,0,0,0,0,0,0,0,nan,0,0
106007,,9606133,0,0,0,0,0,0,0,0,nan,0,0
106008,,394578,0,0,0,0,0,0,0,0,nan,0,0
106009,,285935,0,0,0,0,0,0,0,0,nan,0,0
107001,,292631,0,0,4.89269992828369,4.89269992828369,0.251424431376881,0.251424431376881,0.409634719850392,0.167800603706909,162.925582691825,73574.5827782481,73574.5827782481
107002,,91629,0,0,4.89269992828369,4.89269992828369,0.270512489481205,0.270512489481205,0.22091593210765,0.0488038490589917,81.6657051699637,24786.7888986733,24786.7888986733
107003,,174601,0,0,19.1853998565674,19.1853998565674,0.614395926984814,0.614395926984814,1.42464991489596,2.02962738001307,231.878150932334,107274.143247476,107274.143247476
107004,,115301,0,0,20.4638004302979,20.4638004302979,0.845830502017384,0.845830502017384,1.66021202025071,2.75630395218495,196.281881096857,97525.1027131063,97525.1027131063
107005,,26269,0,0,20.4638004302979,20.4638004302979,0.330860206638069,0.330860206638069,1.01407501815597,1.02834814244803,306.496519620831,8691.36676817543,8691.36676817543
107006,,148951,0,0,19.1853998565674,19.1853998565674,0.369851886295011,0.369851886295011,0.650310356919188,0.422903560316361,175.829941935316,55089.8083155282,55089.8083155282
107007,,2825381,0,0,20.4638004302979,20.4638004302979,0.366871473818412,0.366871473818412,0.896857359411232,0.804353123130087,244.460914356929,1036551.69156854,1036551.69156854
107008,,142996,0,0,21.7844992828369,21.7844992828369,1.07201420374396,1.07201420374396,2.75368862675112,7.58280105309844,256.87053558936,153293.743078571,153293.743078571
107009,,279896,0,0,17.9446001434326,17.9446001434326,0.202072959977219,0.202072959977219,0.408920185716035,0.167215718286036,202.362644542909,56559.4132057837,56559.4132057837
108001,,130001,0,0.00469999989494681,35.5460987091064,35.5413987092115,1.91802682675795,1.91802682675795,1.300292555832,1.69076073075211,67.7932413505336,249345.40550536,249345.40550536
108002,,201155,0,0.00469999989494681,15.6744992828369,15.669799282942,2.02063150686237,2.02063150686237,0.898253618200956,0.806859562611108,44.4541033409779,406460.1307629,406460.1307629
108003,,412163,0,0.00469999989494681,38.2956015777588,38.2909015778638,2.74501812512226,2.74501812512226,2.16149888519042,4.67207743067943,78.7426088523242,1131394.90550476,1131394.90550476
108004,,554688,0,0.00469999989494681,35.5460987091064,35.5413987092115,3.58497869285927,3.58497869285927,3.4701383012871,12.0418598300597,96.7966227581514,1988544.66118472,1988544.66118472
108005,,13860,0,0.0187999995797873,34.7564985656738,34.737698566094,4.06751227354639,4.06751227354639,3.80961589141939,14.5131732401551,93.659604082715,56375.720111353,56375.720111353
108006,,580597,0,0.00469999989494681,34.7564985656738,34.7517985657789,1.97581670650397,1.97581670650397,1.45075159127359,2.10468017958286,73.4254137288154,1147153.25234608,1147153.25234608
108007,,2438692,0,0.00469999989494681,40.9276008605957,40.9229008607008,2.61279989707722,2.61279989707722,2.34463650576064,5.49732034414547,89.7365507547455,6371814.20660305,6371814.20660305
108008,,329121,0,0.00469999989494681,35.5460987091064,35.5413987092115,3.35365331410678,3.35365331410678,4.04740900806023,16.3815196785271,120.686565633819,1103757.73239214,1103757.73239214
108009,,308370,0,0.00469999989494681,34.7564985656738,34.7517985657789,1.68819005030402,1.68819005030402,1.31761960312728,1.73612141854528,78.0492458707472,520587.165812251,520587.165812251
109001,,5734,0,0.0140999996848404,40.9276008605957,40.9135008609109,3.87073445068567,3.87073445068567,3.9033158313792,15.2358744794955,100.841736396765,22194.7913402317,22194.7913402317
109002,,3738,0,0,30.5452989959717,30.5452989959717,4.82964986669361,4.82964986669361,3.29567321164327,10.8614619179431,68.2383465180572,18053.2312017007,18053.2312017007
109003,,99500,0,0,35.9361995697021,35.9361995697021,6.83990328450536,6.83990328450536,5.89019255540929,34.694368339799,86.1151438903021,680570.376808283,680570.376808283
109004,,190627,0,0,40.9276008605957,40.9276008605957,8.85051700405604,8.85051700405604,6.06978602653386,36.8423024079057,68.5811464319223,1687147.50493219,1687147.50493219
109005,,889,0,0.220899999439716,30.5452989959717,30.324398996532,8.3011886723147,8.3011886723147,4.12297072684377,16.9988876144106,49.6672330866818,7379.75672968777,7379.75672968777
109006,,146759,0,0.00469999989494681,46.6897982788086,46.6850982789136,7.37355956118082,7.37355956118082,7.38497643856215,54.5378769981181,100.154835358508,1082136.22763934,1082136.22763934
109007,,676006,0,0,40.9276008605957,40.9276008605957,9.2236293475589,9.2236293475589,6.79585244143499,46.183610405758,73.678724343293,6235228.7807259,6235228.7807259
109008,,191446,0,0,46.6897982788086,46.6897982788086,12.5027184343802,12.5027184343802,9.18173991206413,84.3043478127913,73.4379483970143,2393595.43338835,2393595.43338835
109009,,49489,0,0,40.9276008605957,40.9276008605957,6.38497166387668,6.38497166387668,7.01108622226827,49.1553300160799,109.806066359446,315985.862673593,315985.862673593
110001,,1,0,0,0,0,0,0,0,0,nan,0,0
110002,,8666,0,0,0,0,0,0,0,0,nan,0,0
110003,,1137,0,0,0,0,0,0,0,0,nan,0,0
110004,,7893,0,0,0,0,0,0,0,0,nan,0,0
110005,,11,0,0,0,0,0,0,0,0,nan,0,0
110006,,1322,0,0,0,0,0,0,0,0,nan,0,0
110007,,40369,0,0,0,0,0,0,0,0,nan,0,0
110008,,1567,0,0,0,0,0,0,0,0,nan,0,0
111002,,141,0,0,0,0,0,0,0,0,nan,0,0
111003,,1504,0,0,0,0,0,0,0,0,nan,0,0
111004,,6403,0,0,0,0,0,0,0,0,nan,0,0
111005,,18,0,0,0,0,0,0,0,0,nan,0,0
111006,,9967,0,0,0,0,0,0,0,0,nan,0,0
111007,,23329,0,0,0,0,0,0,0,0,nan,0,0
111008,,5326,0,0,0,0,0,0,0,0,nan,0,0
200001,,786,0,0,0,0,0,0,0,0,nan,0,0
200002,,9105,0,0,0,0,0,0,0,0,nan,0,0
200003,,33829,0,0,0,0,0,0,0,0,nan,0,0
200004,,50478,0,0,0,0,0,0,0,0,nan,0,0
200006,,37443,0,0,0,0,0,0,0,0,nan,0,0
200007,,389494,0,0,0,0,0,0,0,0,nan,0,0
200008,,50587,0,0,0,0,0,0,0,0,nan,0,0
202001,,57262,0,0,0,0,0,0,0,0,nan,0,0
202002,,4665,0,0,0,0,0,0,0,0,nan,0,0
202003,,30962,0,0,0,0,0,0,0,0,nan,0,0
202004,,4677,0,0,0,0,0,0,0,0,nan,0,0
202006,,14073,0,0,0,0,0,0,0,0,nan,0,0
202007,,718366,0,0,0,0,0,0,0,0,nan,0,0
202008,,18689,0,0,0,0,0,0,0,0,nan,0,0
203001,,2631,0,0,0,0,0,0,0,0,nan,0,0
203002,,311,0,0,0,0,0,0,0,0,nan,0,0
203003,,9799,0,0,0,0,0,0,0,0,nan,0,0
203004,,1182,0,0,0,0,0,0,0,0,nan,0,0
203006,,2329,0,0,0,0,0,0,0,0,nan,0,0
203007,,85634,0,0,0,0,0,0,0,0,nan,0,0
203008,,3355,0,0,0,0,0,0,0,0,nan,0,0
204001,,46092,0,0.042300001680851,0.338400013446808,0.296100011765957,0.151786999190281,0.151786999190281,0.11336239640389,0.0128510329184326,74.6851818723805,6996.16636667841,6996.16636667841
