zone,label,non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs
100001,,5686,0,0,0,0,0,0,0,0,nan,0,0
100002,,4532,0,0,0,0,0,0,0,0,nan,0,0
100003,,4014,0,0,0,0,0,0,0,0,nan,0,0
100004,,82616,0,0,0,0,0,0,0,0,nan,0,0
100005,,257,0,0,0,0,0,0,0,0,nan,0,0
100006,,120691,0,0,0,0,0,0,0,0,nan,0,0
100007,,145823,0,0,0,0,0,0,0,0,nan,0,0
100008,,40336,0,0,0,0,0,0,0,0,nan,0,0
100009,,71,0,0,0,0,0,0,0,0,nan,0,0
102001,,254695,0,0,0,0,0,0,0,0,nan,0,0
102002,,4026,0,0,0,0,0,0,0,0,nan,0,0
102003,,4485,0,0,0,0,0,0,0,0,nan,0,0
102004,,5874,0,0,0,0,0,0,0,0,nan,0,0
102005,,1340,0,0,0,0,0,0,0,0,nan,0,0
102006,,13690,0,0,0,0,0,0,0,0,nan,0,0
102007,,664068,0,0,0,0,0,0,0,0,nan,0,0
102008,,27666,0,0,0,0,0,0,0,0,nan,0,0
102009,,8221,0,0,0,0,0,0,0,0,nan,0,0
103001,,27459,0,0,0,0,0,0,0,0,nan,0,0
103002,,1435,0,0,0,0,0,0,0,0,nan,0,0
103003,,3070,0,0,0,0,0,0,0,0,nan,0,0
103004,,2666,0,0,0,0,0,0,0,0,nan,0,0
103005,,1047,0,0,0,0,0,0,0,0,nan,0,0
103006,,7746,0,0,0,0,0,0,0,0,nan,0,0
103007,,96733,0,0,0,0,0,0,0,0,nan,0,0
103008,,3811,0,0,0,0,0,0,0,0,nan,0,0
103009,,5026,0,0,0,0,0,0,0,0,nan,0,0
104001,,268038,0,0,10.6877998924255,10.6877998924255,0.000338229278180362,0.000338229278180362,0.0557187314849315,0.0031045770382899,16473.6570957702,90.6582992649078,90.6582992649078
104002,,61644,0,0,0,0,0,0,0,0,nan,0,0
104003,,125751,0,0,10.6877998924255,10.6877998924255,0.00398276518848646,0.00398276518848646,0.196653088294502,0.0386724371357652,4937.60186673808,500.836705217361,500.836705217361
104004,,93600,0,0,0,0,0,0,0,0,nan,0,0
104005,,21227,0,0,0,0,0,0,0,0,nan,0,0
104006,,25390,0,0,10.8334996414185,10.8334996414185,0.0050248720109721,0.0050248720109721,0.222843713084297,0.0496593204611964,4434.81371461213,127.581500358582,127.581500358582
104007,,2697473,0,0,11.3364003944397,11.3364003944397,0.000270327192701555,0.000270327192701555,0.0512019439287513,0.00262163906208299,18940.730089732,729.200303478241,729.200303478241
104008,,120507,0,0,0,0,0,0,0,0,nan,0,0
104009,,37452,0,0,10.8334996414185,10.8334996414185,0.00189445691728495,0.00189445691728495,0.138772620353232,0.0192578401597022,7325.1927286958,70.951200466156,70.951200466156
105001,,705833,0,0,0,0,0,0,0,0,nan,0,0
105002,,158453,0,0,0,0,0,0,0,0,nan,0,0
105003,,243844,0,0,0,0,0,0,0,0,nan,0,0
105004,,205509,0,0,0,0,0,0,0,0,nan,0,0
105005,,71769,0,0,0,0,0,0,0,0,nan,0,0
105006,,265427,0,0,0,0,0,0,0,0,nan,0,0
105007,,3571059,0,0,0,0,0,0,0,0,nan,0,0
105008,,184060,0,0,0,0,0,0,0,0,nan,0,0
105009,,469678,0,0,0,0,0,0,0,0,nan,0,0
106001,,731641,0,0,0,0,0,0,0,0,nan,0,0
106002,,429150,0,0,0,0,0,0,0,0,nan,0,0
106003,,502272,0,0,0,0,0,0,0,0,nan,0,0
106004,,440833,0,0,0,0,0,0,0,0,nan,0,0
106005,,14718,0,0,0,0,0,0,0,0,nan,0,0
106006,,822389,0,0,0,0,0,0,0,0,nan,0,0
106007,,9606133,0,0,0,0,0,0,0,0,nan,0,0
106008,,394578,0,0,0,0,0,0,0,0,nan,0,0
106009,,285935,0,0,0,0,0,0,0,0,nan,0,0
107001,,292631,0,0.888299993276596,0.888299993276596,0,0.888299993273979,0.888299993273979,6.01927930479723e-07,3.62317233491602e-13,6.7761784874186e-05,259944.115331758,259944.115331758
107002,,91629,0,0.888299993276596,0.888299993276596,0,0.888299993277232,0.888299993277232,0,0,0,81394.0400839995,81394.0400839995
107003,,174601,0,0.888299993276596,0.888299993276596,0,0.888299993277718,0.888299993277718,0,0,0,155098.067126283,155098.067126283
107004,,115301,0,0.888299993276596,0.888299993276596,0,0.888299993278416,0.888299993278416,0,0,0,102421.877524995,102421.877524995
107005,,26269,0,0.888299993276596,0.888299993276596,0,0.888299993276041,0.888299993276041,9.60240916355498e-07,9.22062617443246e-13,0.000108098719309244,23334.7525233683,23334.7525233683
107006,,148951,0,0.888299993276596,0.888299993276596,0,0.888299993279315,0.888299993279315,0,0,0,132313.172298947,132313.172298947
107007,,2825381,0,0.888299993276596,0.888299993276596,0,0.888299993249036,0.888299993249036,6.29169540920304e-06,3.95854311221866e-11,0.000708284977712384,2509785.92322595,2509785.92322595
107008,,142996,0,0.888299993276596,0.888299993276596,0,0.888299993279304,0.888299993279304,0,0,0,127023.345838967,127023.345838967
107009,,279896,0,0.888299993276596,0.888299993276596,0,0.88829999327423,0.88829999327423,6.84042344407524e-08,4.67913928942542e-15,7.7005780658196e-06,248631.614917484,248631.614917484
108001,,130001,0,0,17.2913004302979,17.2913004302979,8.70564294624052,8.70564294624052,0.820951335398097,0.673961095091919,9.43010574253588,1131742.28865421,1131742.28865421
108002,,201155,0,0,11.985,11.985,8.78868676448986,8.78868676448986,0.675838902424866,0.456758222030847,7.68987359016538,1767888.28611096,1767888.28611096
108003,,412163,0,0,19.0115003585815,19.0115003585815,8.91943374363085,8.91943374363085,1.2332271003872,1.52084908112943,13.8262936396362,3676260.57007612,3676260.57007612
108004,,554688,0,0,19.0115003585815,19.0115003585815,9.18310646739368,9.18310646739368,1.63447246820611,2.67150024932378,17.7986879931057,5093758.96018567,5093758.96018567
108005,,13860,0,0,19.0115003585815,19.0115003585815,8.4322875588599,8.4322875588599,3.07229975658895,9.43902579433652,36.4349500078522,116871.505565798,116871.505565798
108006,,580597,0,0,19.0115003585815,19.0115003585815,8.74712133234224,8.74712133234224,0.757440712923003,0.573716433593307,8.65931412340637,5078552.40419391,5078552.40419391
108007,,2438692,0,0,19.0115003585815,19.0115003585815,8.90214109486659,8.90214109486659,1.21347233324355,1.47251510354755,13.6312412970325,21709580.2709224,21709580.2709224
108008,,329121,0,0,19.0115003585815,19.0115003585815,9.15741633275112,9.15741633275112,1.76953618219475,3.13125830009636,19.3235309818346,3013898.02085138,3013898.02085138
108009,,308370,0,0,19.0115003585815,19.0115003585815,8.58012451235859,8.58012451235859,0.837688874423526,0.701722650332954,9.76313191279382,2645852.99587602,2645852.99587602
109001,,5734,0,7.26620001792908,17.2913004302979,10.0251004123688,9.553905987426,9.553905987426,1.45871727663985,2.12785609316757,15.2682816699231,54782.0969319007,54782.0969319007
109002,,3738,0,0,17.2913004302979,17.2913004302979,9.99779171428803,9.99779171428803,1.41016175864304,1.98855618553924,14.1047323143145,37371.7454280087,37371.7454280087
109003,,99500,0,0,17.2913004302979,17.2913004302979,9.87465818237631,9.87465818237631,3.97977966934642,15.8386462165431,40.3029613364166,982528.489146443,982528.489146443
109004,,190627,0,0,17.2913004302979,17.2913004302979,11.6304873413373,11.6304873413373,1.96494529679307,3.86101001938919,16.8947804088073,2217084.91041711,2217084.91041711
109005,,889,0,7.68920028686523,17.2913004302979,9.60210014343262,11.5916857637463,11.5916857637463,1.51885544867753,2.30692187397741,13.1029729379642,10305.0086439705,10305.0086439705
109006,,146759,0,7.26620001792908,17.2913004302979,10.0251004123688,10.6764484575147,10.6764484575147,2.15467879374401,4.64264070421016,20.1816062927501,1566864.8991764,1566864.8991764
109007,,676006,0,0,17.2913004302979,17.2913004302979,11.6641979523873,11.6641979523873,2.16613310480569,4.69213262773512,18.5707848379095,7885067.80100152,7885067.80100152
109008,,191446,0,0,17.2913004302979,17.2913004302979,12.7499676404851,12.7499676404851,2.80801681308601,7.8849584225737,22.0237171753259,2440930.30490031,2440930.30490031
109009,,49489,0,0,17.2913004302979,17.2913004302979,10.3463535049681,10.3463535049681,2.15528952831587,4.64527295086805,20.8313926958029,512030.688607365,512030.688607365
110001,,1,0,0,0,0,0,0,0,0,nan,0,0
110002,,8666,0,0,0,0,0,0,0,0,nan,0,0
110003,,1137,0,0,0,0,0,0,0,0,nan,0,0
110004,,7893,0,0,0,0,0,0,0,0,nan,0,0
110005,,11,0,0,0,0,0,0,0,0,nan,0,0
110006,,1322,0,0,0,0,0,0,0,0,nan,0,0
110007,,40369,0,0,0,0,0,0,0,0,nan,0,0
110008,,1567,0,0,0,0,0,0,0,0,nan,0,0
111002,,141,0,0,0,0,0,0,0,0,nan,0,0
111003,,1504,0,0,0,0,0,0,0,0,nan,0,0
111004,,6403,0,0,0,0,0,0,0,0,nan,0,0
111005,,18,0,0,0,0,0,0,0,0,nan,0,0
111006,,9967,0,0,0,0,0,0,0,0,nan,0,0
111007,,23329,0,0,0,0,0,0,0,0,nan,0,0
111008,,5326,0,0,0,0,0,0,0,0,nan,0,0
200001,,786,0,0,0,0,0,0,0,0,nan,0,0
200002,,9105,0,0,0,0,0,0,0,0,nan,0,0
200003,,33829,0,0,0,0,0,0,0,0,nan,0,0
200004,,50478,0,0,0,0,0,0,0,0,nan,0,0
200006,,37443,0,0,0,0,0,0,0,0,nan,0,0
200007,,389494,0,0,0,0,0,0,0,0,nan,0,0
200008,,50587,0,0,0,0,0,0,0,0,nan,0,0
202001,,57262,0,0,0,0,0,0,0,0,nan,0,0
202002,,4665,0,0,0,0,0,0,0,0,nan,0,0
202003,,30962,0,0,0,0,0,0,0,0,nan,0,0
202004,,4677,0,0,0,0,0,0,0,0,nan,0,0
202006,,14073,0,0,0,0,0,0,0,0,nan,0,0
202007,,718366,0,0,0,0,0,0,0,0,nan,0,0
202008,,18689,0,0,0,0,0,0,0,0,nan,0,0
203001,,2631,0,0,0,0,0,0,0,0,nan,0,0
203002,,311,0,0,0,0,0,0,0,0,nan,0,0
203003,,9799,0,0,0,0,0,0,0,0,nan,0,0
203004,,1182,0,0,0,0,0,0,0,0,nan,0,0
203006,,2329,0,0,0,0,0,0,0,0,nan,0,0
203007,,85634,0,0,0,0,0,0,0,0,nan,0,0
203008,,3355,0,0,0,0,0,0,0,0,nan,0,0
204001,,46092,0,0,0,0,0,0,0,0,nan,0,0
204002,,307,0,0,0,0,0,0,0,0,nan,0,0
204003,,60086,0,0,0,0,0,0,0,0,nan,0,0
204004,,4492,0,0,0,0,0,0,0,0,nan,0,0
204006,,14220,0,0,0,0,0,0,0,0,nan,0,0
204007,,431375,0,0,10.6877998924255,10.6877998924255,0.000148656735681375,0.000148656735681375,0.0398596455679007,0.00158879134479867,26813.2119175106,64.1267993545532,64.1267993545532
204008,,12868,0,0,0,0,0,0,0,0,nan,0,0
205001,,16375,0,0,0,0,0,0,0,0,nan,0,0
205002,,20832,0,0,0,0,0,0,0,0,nan,0,0
205003,,517599,0,0,0,0,0,0,0,0,nan,0,0
205004,,48878,0,0,0,0,0,0,0,0,nan,0,0
205006,,75682,0,0,0,0,0,0,0,0,nan,0,0
205007,,3525833,0,0,0,0,0,0,0,0,nan,0,0
205008,,95360,0,0,0,0,0,0,0,0,nan,0,0
206001,,113289,0,0,0,0,0,0,0,0,nan,0,0
206002,,37947,0,0,0,0,0,0,0,0,nan,0,0
206003,,559211,0,0,0,0,0,0,0,0,nan,0,0
206004,,29548,0,0,0,0,0,0,0,0,nan,0,0
206006,,147437,0,0,0,0,0,0,0,0,nan,0,0
206007,,3260853,0,0,0,0,0,0,0,0,nan,0,0
206008,,95907,0,0,0,0,0,0,0,0,nan,0,0
207001,,2174,0,0.888299993276596,0.888299993276596,0,0.88829999327662,0.88829999327662,0,0,0,1931.16418538337,1931.16418538337
207002,,1261,0,0.888299993276596,0.888299993276596,0,0.888299993276612,0.888299993276612,0,0,0,1120.14629152181,1120.14629152181
207003,,61323,0,0.888299993276596,0.888299993276596,0,0.888299993275859,0.888299993275859,1.36562678389318e-06,1.86493651288644e-12,0.000153734863698135,54473.2204876555,54473.2204876555
207004,,14713,0,0.888299993276596,0.888299993276596,0,0.888299993276291,0.888299993276291,6.12250383101695e-07,3.74850531608172e-13,6.89238306581034e-05,13069.5578010741,13069.5578010741
