zone,label,non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs
100001,,5686,0,0,0,0,0,0,0,0,nan,0,0
100002,,4532,0,0,0,0,0,0,0,0,nan,0,0
100003,,4014,0,0,0,0,0,0,0,0,nan,0,0
100004,,82616,0,0,0,0,0,0,0,0,nan,0,0
100005,,257,0,0,0,0,0,0,0,0,nan,0,0
100006,,120691,0,0,0,0,0,0,0,0,nan,0,0
100007,,145823,0,0,0,0,0,0,0,0,nan,0,0
100008,,40336,0,0,0,0,0,0,0,0,nan,0,0
100009,,71,0,0,0,0,0,0,0,0,nan,0,0
102001,,254695,0,0,0,0,0,0,0,0,nan,0,0
102002,,4026,0,0,0,0,0,0,0,0,nan,0,0
102003,,4485,0,0,0,0,0,0,0,0,nan,0,0
102004,,5874,0,0,0,0,0,0,0,0,nan,0,0
102005,,1340,0,0,0,0,0,0,0,0,nan,0,0
102006,,13690,0,0,0,0,0,0,0,0,nan,0,0
102007,,664068,0,0,0,0,0,0,0,0,nan,0,0
102008,,27666,0,0,0,0,0,0,0,0,nan,0,0
102009,,8221,0,0,0,0,0,0,0,0,nan,0,0
103001,,27459,0,0,0,0,0,0,0,0,nan,0,0
103002,,1435,0,0,0,0,0,0,0,0,nan,0,0
103003,,3070,0,0,0,0,0,0,0,0,nan,0,0
103004,,2666,0,0,0,0,0,0,0,0,nan,0,0
103005,,1047,0,0,0,0,0,0,0,0,nan,0,0
103006,,7746,0,0,0,0,0,0,0,0,nan,0,0
103007,,96733,0,0,0,0,0,0,0,0,nan,0,0
103008,,3811,0,0,0,0,0,0,0,0,nan,0,0
103009,,5026,0,0,0,0,0,0,0,0,nan,0,0
104001,,268038,0,0,61.7768011474609,61.7768011474609,6.26593419069404,6.26593419069404,10.0482225556394,100.96677652766,160.362720862321,1679508.46860525,1679508.46860525
104002,,61644,0,0.606299982070923,24.5528007888794,23.9465008068085,24.5234604789988,24.5234604789988,0.835117401012787,0.697421073474352,3.40538155994729,1511724.1977674,1511724.1977674
104003,,125751,0,0.0140999996848404,61.7768011474609,61.7627011477761,22.179645982753,22.179645982753,7.18343349434483,51.6017167676752,32.3875029381925,2789112.66197718,2789112.66197718
104004,,93600,0,0.0140999996848404,24.5528007888794,24.5387007891946,20.4972511952675,20.4972511952675,8.9312196208664,79.7666839161489,43.5727675666505,1918542.71187704,1918542.71187704
104005,,21227,0,0.0140999996848404,24.5528007888794,24.5387007891946,13.5020261060497,13.5020261060497,11.8587545349991,140.630059121362,87.8294445726604,286607.508153118,286607.508153118
104006,,25390,0,0.0140999996848404,62.6087031555176,62.5946031558327,20.9097843870973,20.9097843870973,8.62133406271303,74.3274010208959,41.2310997718032,530899.425588402,530899.425588402
104007,,2697473,0,0,65.5320965576172,65.5320965576172,19.6459255239131,19.6459255239131,9.63583641475346,92.8493434118888,49.0475055655926,52994353.6607665,52994353.6607665
104008,,120507,0,0,24.5528007888794,24.5528007888794,17.9144788250933,17.9144788250933,10.7088912137269,114.680351027438,59.7778552102039,2158820.09977552,2158820.09977552
104009,,37452,0,0.0140999996848404,62.6087031555176,62.5946031558327,20.6809890490079,20.6809890490079,8.80005555869994,77.4409778362057,42.5514250689191,774544.401863443,774544.401863443
105001,,705833,0,0,25.5726999282837,25.5726999282837,6.43369037952094,6.43369037952094,8.76063120417679,76.7486590955961,136.168057326208,4541110.9816484,4541110.9816484
105002,,158453,0,0,25.5726999282837,25.5726999282837,9.01265948603162,9.01265948603162,10.5361301214425,111.010037935968,116.903674634242,1428082.93354017,1428082.93354017
105003,,243844,0,0,25.5726999282837,25.5726999282837,13.1162315978692,13.1162315978692,11.0574197611475,122.266531774215,84.3033281216518,3198314.37775082,3198314.37775082
105004,,205509,0,0,25.5726999282837,25.5726999282837,13.8920722489426,13.8920722489426,11.1953566291621,125.336010054124,80.5880967831438,2854945.87580794,2854945.87580794
105005,,71769,0,0,25.5726999282837,25.5726999282837,6.54197697093618,6.54197697093618,9.51192894500831,90.4767922548869,145.398386256427,469511.145227119,469511.145227119
105006,,265427,0,0,25.5726999282837,25.5726999282837,9.18327204314491,9.18327204314491,10.5901780739451,112.151871637868,115.320313110515,2437488.34859583,2437488.34859583
105007,,3571059,0,0,25.5726999282837,25.5726999282837,11.705685284996,11.705685284996,11.0549833360516,122.212656560379,94.4411460491043,41801692.7881527,41801692.7881527
105008,,184060,0,0,25.5726999282837,25.5726999282837,10.7992841818881,10.7992841818881,11.1743726828624,124.866604855501,103.473271882254,1987716.24651833,1987716.24651833
105009,,469678,0,0,25.5726999282837,25.5726999282837,8.14678816169815,8.14678816169815,10.2286794537585,104.625883367742,125.554749316403,3826367.17021006,3826367.17021006
106001,,731641,0,0,0,0,0,0,0,0,nan,0,0
106002,,429150,0,0,0,0,0,0,0,0,nan,0,0
106003,,502272,0,0,0,0,0,0,0,0,nan,0,0
106004,,440833,0,0,0,0,0,0,0,0,nan,0,0
106005,,14718,0,0,0,0,0,0,0,0,nan,0,0
106006,,822389,0,0,0,0,0,0,0,0,nan,0,0
106007,,9606133,0,0,0,0,0,0,0,0,nan,0,0
106008,,394578,0,0,0,0,0,0,0,0,nan,0,0
106009,,285935,0,0,0,0,0,0,0,0,nan,0,0
107001,,292631,0,56.9781015777588,56.9781015777588,0,56.9781015776331,56.9781015776331,0.000185644733093054,3.44639669251913e-08,0.000325817687765731,16673558.8427644,16673558.8427644
107002,,91629,0,56.9781015777588,56.9781015777588,0,56.9781015776843,56.9781015776843,0.000101065066268682,1.02141476198931e-08,0.000177375278344241,5220846.46946164,5220846.46946164
107003,,174601,0,56.9781015777588,56.9781015777588,0,56.9781015776489,56.9781015776489,0.000164288089725951,2.69905764258022e-08,0.000288335492368172,9948433.51355908,9948433.51355908
107004,,115301,0,56.9781015777588,56.9781015777588,0,56.978101577669,56.978101577669,0.000132145791849671,1.74625103035767e-08,0.00023192382369837,6569632.09000682,6569632.09000682
107005,,26269,0,56.9781015777588,56.9781015777588,0,56.9781015777764,56.9781015777764,0,0,0,1496757.75034661,1496757.75034661
107006,,148951,0,56.9781015777588,56.9781015777588,0,56.9781015776556,56.9781015776556,0.000154272748458545,2.38000809169534e-08,0.000270757965230354,8486945.20809339,8486945.20809339
107007,,2825381,0,56.9781015777588,56.9781015777588,0,56.978101580561,56.978101580561,0,0,0,160984845.621787,160984845.621787
107008,,142996,0,56.9781015777588,56.9781015777588,0,56.9781015776575,56.9781015776575,0.000151316699542246,2.28967435603582e-08,0.000265569921342519,8147640.61319872,8147640.61319872
107009,,279896,0,56.9781015777588,56.9781015777588,0,56.9781015776342,56.9781015776342,0.000184284739506389,3.39608652149377e-08,0.000323430817110142,15947942.7191735,15947942.7191735
108001,,130001,0,29.6898991394043,117.467096557617,87.7771974182129,59.1238961657424,59.1238961657424,4.97640895467905,24.7646460842098,8.41691647101309,7686165.62544267,7686165.62544267
108002,,201155,0,29.6898991394043,79.1151008605957,49.4252017211914,59.5981991897209,59.5981991897209,4.00025882524622,16.0020706689603,6.71204647058558,11988475.7580083,11988475.7580083
108003,,412163,0,29.6898991394043,125.480605163574,95.7907060241699,60.7693467286856,60.7693467286856,6.30317851455464,39.7300593863432,10.3722992822289,25046876.2557353,25046876.2557353
108004,,554688,0,29.6898991394043,125.480605163574,95.7907060241699,62.5716596458444,62.5716596458444,9.48224286548379,89.9129297600182,15.1542134556655,34707748.7456342,34707748.7456342
108005,,13860,0,29.6898991394043,125.480605163574,95.7907060241699,59.8937636301131,59.8937636301131,13.9320602626183,194.102303161227,23.2612870158882,830127.563913367,830127.563913367
108006,,580597,0,29.6898991394043,125.480605163574,95.7907060241699,59.3249433277566,59.3249433277566,4.94425521166061,24.4456595980331,8.33419289479088,34443884.1212655,34443884.1212655
108007,,2438692,0,29.6898991394043,125.480605163574,95.7907060241699,60.5431754873372,60.5431754873372,6.80977778276687,46.3730734506652,11.2478041132665,147646157.715565,147646157.715565
108008,,329121,0,29.6898991394043,125.480605163574,95.7907060241699,62.3817065895754,62.3817065895754,10.4853435876883,109.942430151875,16.8083628373201,20531129.6544676,20531129.6544676
108009,,308370,0,29.6898991394043,125.480605163574,95.7907060241699,58.2518065184476,58.2518065184476,5.08225169396329,25.8292822807928,8.72462503348083,17963109.5760937,17963109.5760937
109001,,5734,0,49.3688004302978,117.467096557617,68.0982961273193,66.0692088336622,66.0692088336622,9.33573293605713,87.1559094533819,14.1302326770115,378840.843452219,378840.843452219
109002,,3738,0,0,117.467096557617,117.467096557617,68.1029733784387,68.1029733784387,9.44246432518509,89.1601325323932,13.8649810085598,254568.914488604,254568.914488604
109003,,99500,0,0,117.467096557617,117.467096557617,67.328493384575,67.328493384575,26.9957635683771,728.771250639715,40.0956002597287,6699185.09176521,6699185.09176521
109004,,190627,0,0,117.467096557617,117.467096557617,79.0239189757739,79.0239189757739,13.3355629078077,177.837238068096,16.8753499961144,15064092.6025948,15064092.6025948
109005,,889,0,52.2310987091064,117.467096557617,65.2359978485107,79.2110459512842,79.2110459512842,9.6283849422579,92.7057965962987,12.1553563983734,70418.6198506917,70418.6198506917
109006,,146759,0,49.3688004302978,117.467096557617,68.0982961273193,72.5331035066525,72.5331035066525,14.6371552330413,214.246313316147,20.1799654577014,10644885.7375328,10644885.7375328
109007,,676006,0,0,117.467096557617,117.467096557617,79.3287087236072,79.3287087236072,14.6166610744253,213.646780964621,18.4254367802102,53626683.0694108,53626683.0694108
109008,,191446,0,0,117.467096557617,117.467096557617,86.6665114397716,86.6665114397716,19.01107761639,361.421072136405,21.935898077081,16591956.9490985,16591956.9490985
109009,,49489,0,0,117.467096557617,117.467096557617,70.3531415045196,70.3531415045196,14.6000658691196,213.161923382632,20.7525428955887,3481706.61991717,3481706.61991717
110001,,1,0,0,0,0,0,0,0,0,nan,0,0
110002,,8666,0,0,0,0,0,0,0,0,nan,0,0
110003,,1137,0,0,0,0,0,0,0,0,nan,0,0
110004,,7893,0,0,0,0,0,0,0,0,nan,0,0
110005,,11,0,0,0,0,0,0,0,0,nan,0,0
110006,,1322,0,0,0,0,0,0,0,0,nan,0,0
110007,,40369,0,0,0,0,0,0,0,0,nan,0,0
110008,,1567,0,0,0,0,0,0,0,0,nan,0,0
111002,,141,0,0,0,0,0,0,0,0,nan,0,0
111003,,1504,0,0,0,0,0,0,0,0,nan,0,0
111004,,6403,0,0,0,0,0,0,0,0,nan,0,0
111005,,18,0,0,0,0,0,0,0,0,nan,0,0
111006,,9967,0,0,0,0,0,0,0,0,nan,0,0
111007,,23329,0,0,0,0,0,0,0,0,nan,0,0
111008,,5326,0,0,0,0,0,0,0,0,nan,0,0
200001,,786,0,0,0,0,0,0,0,0,nan,0,0
200002,,9105,0,0,0,0,0,0,0,0,nan,0,0
200003,,33829,0,0,0,0,0,0,0,0,nan,0,0
200004,,50478,0,0,0,0,0,0,0,0,nan,0,0
200006,,37443,0,0,0,0,0,0,0,0,nan,0,0
200007,,389494,0,0,0,0,0,0,0,0,nan,0,0
200008,,50587,0,0,0,0,0,0,0,0,nan,0,0
202001,,57262,0,0,0,0,0,0,0,0,nan,0,0
202002,,4665,0,0,0,0,0,0,0,0,nan,0,0
202003,,30962,0,0,0,0,0,0,0,0,nan,0,0
202004,,4677,0,0,0,0,0,0,0,0,nan,0,0
202006,,14073,0,0,0,0,0,0,0,0,nan,0,0
202007,,718366,0,0,0,0,0,0,0,0,nan,0,0
202008,,18689,0,0,0,0,0,0,0,0,nan,0,0
203001,,2631,0,0,0,0,0,0,0,0,nan,0,0
203002,,311,0,0,0,0,0,0,0,0,nan,0,0
203003,,9799,0,0,0,0,0,0,0,0,nan,0,0
203004,,1182,0,0,0,0,0,0,0,0,nan,0,0
203006,,2329,0,0,0,0,0,0,0,0,nan,0,0
203007,,85634,0,0,0,0,0,0,0,0,nan,0,0
203008,,3355,0,0,0,0,0,0,0,0,nan,0,0
204001,,46092,0,0,24.5528007888794,24.5528007888794,6.90056989954846,6.90056989954846,10.11276014834,102.267917817853,146.549637139415,318061.067809988,318061.067809988
204002,,307,0,1.34419995069504,1.34419995069504,0,1.34419995069504,1.34419995069504,0,0,0,412.669384863378,412.669384863378
204003,,60086,0,0,24.5528007888794,24.5528007888794,1.5577678305246,1.5577678305246,3.14159505654338,9.8696194992978,201.672867739566,93600.0378649012,93600.0378649012
