zone,label,non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs
100001,,5686,0,0,0,0,0,0,0,0,nan,0,0
100002,,4532,0,0,0,0,0,0,0,0,nan,0,0
100003,,4014,0,0,0,0,0,0,0,0,nan,0,0
100004,,82616,0,0,0,0,0,0,0,0,nan,0,0
100005,,257,0,0,0,0,0,0,0,0,nan,0,0
100006,,120691,0,0,0,0,0,0,0,0,nan,0,0
100007,,145823,0,0,0,0,0,0,0,0,nan,0,0
100008,,40336,0,0,0,0,0,0,0,0,nan,0,0
100009,,71,0,0,0,0,0,0,0,0,nan,0,0
102001,,254695,0,0,0,0,0,0,0,0,nan,0,0
102002,,4026,0,0,0,0,0,0,0,0,nan,0,0
102003,,4485,0,0,0,0,0,0,0,0,nan,0,0
102004,,5874,0,0,0,0,0,0,0,0,nan,0,0
102005,,1340,0,0,0,0,0,0,0,0,nan,0,0
102006,,13690,0,0,0,0,0,0,0,0,nan,0,0
102007,,664068,0,0,0,0,0,0,0,0,nan,0,0
102008,,27666,0,0,0,0,0,0,0,0,nan,0,0
102009,,8221,0,0,0,0,0,0,0,0,nan,0,0
103001,,27459,0,0,0,0,0,0,0,0,nan,0,0
103002,,1435,0,0,0,0,0,0,0,0,nan,0,0
103003,,3070,0,0,0,0,0,0,0,0,nan,0,0
103004,,2666,0,0,0,0,0,0,0,0,nan,0,0
103005,,1047,0,0,0,0,0,0,0,0,nan,0,0
103006,,7746,0,0,0,0,0,0,0,0,nan,0,0
103007,,96733,0,0,0,0,0,0,0,0,nan,0,0
103008,,3811,0,0,0,0,0,0,0,0,nan,0,0
103009,,5026,0,0,0,0,0,0,0,0,nan,0,0
104001,,268038,0,0,8.1685996055603,8.1685996055603,0.0657733120807917,0.0657733120807917,0.0981331413373461,0.00963011342873555,149.199026524323,17629.7470235113,17629.7470235113
104002,,61644,0,0.0235000003501773,0.220899999439716,0.197399999089539,0.220678738652351,0.220678738652351,0.00632636884255675,4.00229427320728e-05,2.86677768832233,13603.5201654855,13603.5201654855
104003,,125751,0,0,8.1685996055603,8.1685996055603,0.206031336066153,0.206031336066153,0.161144507230065,0.0259675522104206,78.2135913433695,25908.6465416548,25908.6465416548
104004,,93600,0,0,0.220899999439716,0.220899999439716,0.19305686792301,0.19305686792301,0.0615342142678054,0.00378645952555619,31.8736209334675,18070.1228375938,18070.1228375938
104005,,21227,0,0.0140999996848404,0.220899999439716,0.206799999754876,0.140715036760557,0.140715036760557,0.0866510544659714,0.00750840524006474,61.579100898377,2986.95808531633,2986.95808531633
104006,,25390,0,0,7.8114003944397,7.8114003944397,0.196628081481808,0.196628081481808,0.179651883518067,0.0322747992515891,91.3663410455888,4992.38698882311,4992.38698882311
104007,,2697473,0,0,8.1685996055603,8.1685996055603,0.179850212121734,0.179850212121734,0.09044465093922,0.00818023488351734,50.288876433463,485141.091242651,485141.091242651
104008,,120507,0,0,0.220899999439716,0.220899999439716,0.166603917277928,0.166603917277928,0.0877521017257008,0.00770043135727774,52.6710915081986,20076.9382594112,20076.9382594112
104009,,37452,0,0.0140999996848404,7.8114003944397,7.79730039475486,0.193586237859694,0.193586237859694,0.118520584060017,0.0140471288459275,61.2236620590337,7250.19178032128,7250.19178032128
105001,,705833,0,0,3.83990003585815,3.83990003585815,0.0843845012013301,0.0843845012013301,0.48049512422718,0.230875564406093,569.411583154095,59561.3656364385,59561.3656364385
105002,,158453,0,0,3.83990003585815,3.83990003585815,0.0977970942701682,0.0977970942701682,0.474511861185817,0.225161506406028,485.200367891258,15496.242978391,15496.242978391
105003,,243844,0,0,3.83990003585815,3.83990003585815,0.359714183379268,0.359714183379268,1.07392163126919,1.15330767010788,298.548592435371,87714.1453319341,87714.1453319341
105004,,205509,0,0,3.83990003585815,3.83990003585815,0.607923411889942,0.607923411889942,1.37008322978023,1.87712805652502,225.371025853544,124933.73245409,124933.73245409
105005,,71769,0,0,3.83990003585815,3.83990003585815,0.10239161646935,0.10239161646935,0.462924651729255,0.214299233178652,452.111869791435,7348.5439223888,7348.5439223888
105006,,265427,0,0,3.83990003585815,3.83990003585815,0.247535913482999,0.247535913482999,0.871819175257292,0.760068674346305,352.199065982064,65702.714908052,65702.714908052
105007,,3571059,0,0,3.83990003585815,3.83990003585815,0.354281424013559,0.354281424013559,1.06413997037812,1.13239387655634,300.36572573373,1265159.86775643,1265159.86775643
105008,,184060,0,0,3.83990003585815,3.83990003585815,0.637557992505159,0.637557992505159,1.39271573690478,1.93965712382223,218.445341957424,117348.9241005,117348.9241005
105009,,469678,0,0,3.83990003585815,3.83990003585815,0.332490763230972,0.332490763230972,1.02176298001542,1.04399958732999,307.305673723522,156163.596692796,156163.596692796
106001,,731641,0,0,0,0,0,0,0,0,nan,0,0
106002,,429150,0,0,0,0,0,0,0,0,nan,0,0
106003,,502272,0,0,0,0,0,0,0,0,nan,0,0
106004,,440833,0,0,0,0,0,0,0,0,nan,0,0
106005,,14718,0,0,0,0,0,0,0,0,nan,0,0
106006,,822389,0,0,0,0,0,0,0,0,nan,0,0
106007,,9606133,0,0,0,0,0,0,0,0,nan,0,0
106008,,394578,0,0,0,0,0,0,0,0,nan,0,0
106009,,285935,0,0,0,0,0,0,0,0,nan,0,0
107001,,292631,0,7.21450017929077,8.53519992828369,1.32069974899292,8.11153095061958,8.11153095061958,0.16540146950255,0.0273576461136028,2.0390906539032,2373685.41361076,2373685.41361076
107002,,91629,0,7.21450017929077,8.53519992828369,1.32069974899292,8.10377529481017,8.10377529481017,0.181726961573939,0.0330246885628958,2.24249753926815,742540.826488161,742540.826488161
107003,,174601,0,6.79620001792908,8.53519992828369,1.73899991035461,7.89405863616672,7.89405863616672,0.296237679975276,0.0877567630371341,3.75266632322769,1378310.53193335,1378310.53193335
107004,,115301,0,6.79620001792908,8.53519992828369,1.73899991035461,7.73394629936541,7.73394629936541,0.309079850315093,0.0955303538708001,3.99640543586983,891731.742263131,891731.742263131
107005,,26269,0,6.79620001792908,8.53519992828369,1.73899991035461,8.10216765548197,8.10216765548197,0.227704360347823,0.0518492757214114,2.81041284296008,212835.842141856,212835.842141856
107006,,148951,0,6.79620001792908,8.53519992828369,1.73899991035461,8.03709103440684,8.03709103440684,0.274047226712575,0.0751018824688536,3.40978129449296,1197132.74666593,1197132.74666593
107007,,2825381,0,6.79620001792908,8.53519992828369,1.73899991035461,8.03042199089671,8.03042199089671,0.234897904896351,0.0551770257246952,2.92510038902852,22689001.7150617,22689001.7150617
107008,,142996,0,6.79620001792908,8.53519992828369,1.73899991035461,7.86484884923489,7.86484884923489,0.341087193866459,0.116340473819695,4.33685631351504,1124641.92604519,1124641.92604519
107009,,279896,0,7.00299982070923,8.53519992828369,1.53220010757446,8.14080892937042,8.14080892937042,0.186757176519197,0.0348782429814226,2.29408622827904,2278579.85609506,2278579.85609506
108001,,130001,0,1.13270004034042,10.6173000717163,9.48460003137588,6.96825344630151,6.96825344630151,1.04336438207302,1.08860923377861,14.9731118437834,905879.916272642,905879.916272642
108002,,201155,0,3.02680002689362,10.6173000717163,7.59050004482269,6.76969329644014,6.76969329644014,0.892597386900682,0.796730095101927,13.1851968444428,1361757.65504542,1361757.65504542
108003,,412163,0,0.972899968624115,10.6173000717163,9.64440010309219,6.39432770653816,6.39432770653816,0.845400360819158,0.714701770073162,13.2210984425265,2635505.29050989,2635505.29050989
108004,,554688,0,1.13270004034042,10.6173000717163,9.48460003137588,6.15102981557233,6.15102981557233,0.920174137773343,0.846720443826916,14.9596761089301,3411902.42634018,3411902.42634018
108005,,13860,0,1.83770004034042,9.31069974899292,7.4729997086525,5.96423657920753,5.96423657920753,1.27046862139303,1.61409051794432,21.3014457847318,82664.3189878164,82664.3189878164
108006,,580597,0,0.249099986553192,10.6173000717163,10.3682000851631,6.95892545161516,6.95892545161516,1.12594519813571,1.26775258920486,16.1798715328151,4040331.24043141,4040331.24043141
108007,,2438692,0,0.601599986553192,11.4961995697021,10.894599583149,6.53340299602137,6.53340299602137,0.981154261073895,0.962663684023462,15.0175071348176,15932957.6191733,15932957.6191733
108008,,329121,0,0.972899968624115,10.6173000717163,9.64440010309219,6.3169401694577,6.3169401694577,1.03031738820173,1.06155392043083,16.3103870000747,2079037.66551209,2079037.66551209
108009,,308370,0,1.83770004034042,10.6173000717163,8.77960003137588,7.18915382169256,7.18915382169256,1.17006015581017,1.36904076821453,16.2753529112096,2216919.36399533,2216919.36399533
109001,,5734,0,0.601599986553192,9.59269992828369,8.9910999417305,6.09781483013128,6.09781483013128,0.989024006796258,0.978168486019324,16.2193184664967,34964.8702359727,34964.8702359727
109002,,3738,0,0,10.6173000717163,10.6173000717163,5.87905123842022,5.87905123842022,1.25717572084564,1.58049079308376,21.3839898626817,21975.8935292148,21975.8935292148
109003,,99500,0,0,10.6173000717163,10.6173000717163,4.62377511282265,4.62377511282265,1.96919500515116,3.87772896831229,42.5884684505999,460065.623725853,460065.623725853
109004,,190627,0,0,10.6173000717163,10.6173000717163,4.97278414701135,4.97278414701135,1.08565457017393,1.17864584573953,21.8319263028219,947946.923592332,947946.923592332
109005,,889,0,1.83770004034042,8.59630043029785,6.75860038995743,5.13685156391226,5.13685156391226,0.686369083140598,0.471102518291265,13.3616686135633,4566.661040318,4566.661040318
109006,,146759,0,0.235,10.6173000717163,10.3823000717163,5.30137287892574,5.30137287892574,1.75687093874689,3.08659549541338,33.1399239191585,778024.182338263,778024.182338263
109007,,676006,0,0,10.6173000717163,10.6173000717163,4.88752640082704,4.88752640082704,1.21533630263851,1.47704232851104,24.8660815915563,3303997.17211748,3303997.17211748
109008,,191446,0,0,10.6173000717163,10.6173000717163,4.46566833049417,4.46566833049417,1.42346526816697,2.02625336967766,31.8757498949647,854934.339199787,854934.339199787
109009,,49489,0,0,10.6173000717163,10.6173000717163,5.59698973348272,5.59698973348272,1.67922480908233,2.8197959594376,30.0022849610881,276989.424920327,276989.424920327
110001,,1,0,0,0,0,0,0,0,0,nan,0,0
110002,,8666,0,0,0,0,0,0,0,0,nan,0,0
110003,,1137,0,0,0,0,0,0,0,0,nan,0,0
110004,,7893,0,0,0,0,0,0,0,0,nan,0,0
110005,,11,0,0,0,0,0,0,0,0,nan,0,0
110006,,1322,0,0,0,0,0,0,0,0,nan,0,0
110007,,40369,0,0,0,0,0,0,0,0,nan,0,0
110008,,1567,0,0,0,0,0,0,0,0,nan,0,0
111002,,141,0,0,0,0,0,0,0,0,nan,0,0
111003,,1504,0,0,0,0,0,0,0,0,nan,0,0
111004,,6403,0,0,0,0,0,0,0,0,nan,0,0
111005,,18,0,0,0,0,0,0,0,0,nan,0,0
111006,,9967,0,0,0,0,0,0,0,0,nan,0,0
111007,,23329,0,0,0,0,0,0,0,0,nan,0,0
111008,,5326,0,0,0,0,0,0,0,0,nan,0,0
200001,,786,0,0,0,0,0,0,0,0,nan,0,0
200002,,9105,0,0,0,0,0,0,0,0,nan,0,0
200003,,33829,0,0,0,0,0,0,0,0,nan,0,0
200004,,50478,0,0,0,0,0,0,0,0,nan,0,0
200006,,37443,0,0,0,0,0,0,0,0,nan,0,0
200007,,389494,0,0,0,0,0,0,0,0,nan,0,0
200008,,50587,0,0,0,0,0,0,0,0,nan,0,0
202001,,57262,0,0,0,0,0,0,0,0,nan,0,0
202002,,4665,0,0,0,0,0,0,0,0,nan,0,0
202003,,30962,0,0,0,0,0,0,0,0,nan,0,0
202004,,4677,0,0,0,0,0,0,0,0,nan,0,0
202006,,14073,0,0,0,0,0,0,0,0,nan,0,0
202007,,718366,0,0,0,0,0,0,0,0,nan,0,0
202008,,18689,0,0,0,0,0,0,0,0,nan,0,0
203001,,2631,0,0,0,0,0,0,0,0,nan,0,0
203002,,311,0,0,0,0,0,0,0,0,nan,0,0
203003,,9799,0,0,0,0,0,0,0,0,nan,0,0
203004,,1182,0,0,0,0,0,0,0,0,nan,0,0
203006,,2329,0,0,0,0,0,0,0,0,nan,0,0
203007,,85634,0,0,0,0,0,0,0,0,nan,0,0
203008,,3355,0,0,0,0,0,0,0,0,nan,0,0
204001,,46092,0,0,0.220899999439716,0.220899999439716,0.0601048749766869,0.0601048749766869,0.092562459751485,0.00856780895524528,154.001584376288,2770.35389742545,2770.35389742545
204002,,307,0,0,0,0,0,0,0,0,nan,0,0
